吹,tsher
坑,khinn
夾,gereh
尾,bér
抓,jiàu
更,kinn
步,pōo
災,tser
肚,tōo
芋,ōo
阮,gún
事,sīr
兩,niú
初,tshere
卷,kńg
奇,khia
妹,bēr
姓,sìnn
底,teré
庚,kinn
抱,phō
拌,puānn
拔,pue̍h
河,hô
炊,tsher
爭,tsinn
羌,kiunn
芟,sing
近,kīrn
迒,hānn
長,tiúnn
門,mn̂g
雨,hōo
青,tshinn
保,pó
剉,tshò
厚,kāu
契,kherè
度,tōo
星,tshinn
柄,pìnn
洋,iûnn
洗,seré
炱,ter
疥,kerè
相,siùnn
研,gíng
穿,tshīng
穿,tshng
耎,juán
胚,pher
虹,khīng
飛,per
香,hiunn
倍,pēr
倒,tó
倒,tò
哺,pōo
哽,kínn
娘,niû
島,tóo
師,sir
恩,irn
恩,irn
挨,ere
挼,jêr
捋,lua̍h
捏,tīnn
桃,thô
桌,toh
狹,ere̍h
病,pīnn
索,soh
缺,kherh
脆,tshèr
脈,me̍h
舀,ió
草,tshó
荒,hng
討,thó
退,thèr
配,phèr
針,tsam
除,tîr
除,tîr
做,tserè
唱,tshiùnn
問,mn̄g
婆,pô
張,tiunn
捥,ńg
捲,kńg
推,ther
掩,ng
旋,tsn̄g
梅,m̂
欲,berh
清,tshinn
犁,lerê
章,tsiunn
笠,lere̍h
粕,phoh
細,serè
莢,gereh
蚵,ô
蛆,tshir
袋,tēr
被,phēr
貨,hèr
貫,kǹg
跂,kér
軟,nńg
逐,jip
雪,serh
魚,hîr
報,pò
場,tiûnn
帽,bō
掌,tsiúnn
掰,pér
揣,tshēr
晾,nê
替,therè
棗,tsó
棚,pînn
焙,pēr
無,bô
煮,tsír
畫,uī
短,tér
硬,ngī
稅,sèr
筋,kirn
絕,tse̍rh
脹,tiùnn
腔,khiunn
舒,tshir
著,tio̍h
著,to̍h
街,kere
象,tshiūnn
貺,hīng
量,niû
量,niū
飯,pn̄g
黃,n̂g
黍,seré
傳,thn̂g
傷,siunn
園,hn̂g
塊,tèr
嫂,só
想,siūnn
損,sńg
搝,khiú
搝,giú
搣,mi
搶,tshiúnn
會,erē
楗,kīng
歲,hèr
溪,khere
溶,iûnn
睨,gîrn
矮,eré
節,tsereh
經,kinn
號,hō
遇,gū
過,kèr
鉎,san
頓,tǹg
鼠,tshír
像,tshiūnn
僫,oh
劃,ui̍h
墓,bōo
摸,boo
暝,mî
槍,tshiunn
漲,tiùnn
算,sǹg
管,kńg
箸,tīr
粿,kér
綴,tèr
膎,kerê
語,gír
說,serh
趖,sô
踅,se̍rh
遠,hn̄g
酸,sng
銀,gîrn
鼻,phī
齊,tserê
齊,tsâu
廠,tshiúnn
慼,tshereh
撨,tshâu
槳,tsiúnn
槽,tsô
樟,tsiunn
樣,iūnn
漿,tsiunn
熥,thn̄g
瞌,khereh
箠,tshêr
箱,siunn
罵,mā
褒,po
諍,tsìnn
豬,tir
賞,siúnn
賠,pêr
靠,khò
鞋,erê
養,iúnn
餓,gō
學,o̍h
據,kìr
樹,tshiū
磚,tsng
磨,bō
篙,ko
糕,ko
縣,kuān
褪,thǹg
蹄,terê
醒,tshínn
鋸,kìr
髻,kèr
濟,tserē
燥,sò
牆,tshiûnn
瞪,tìnn
糜,bêr
薄,po̍h
薑,kiunn
薯,tsîr
螺,lêr
謝,siā
謝,tsiā
還,hîng
鍋,er
斷,tn̄g
糧,niû
軁,nǹg
轉,tńg
醬,tsiùnn
鎖,só
雙,sang
雞,kere
題,terê
颺,tshiûnn
鵝,giâ
簿,phōo
羹,kinn
關,kuinn
勸,khǹg
寶,pó
癢,tsiūnn
襪,be̍rh
髓,tshér
鱖,kèr
讓,niū
躡,nih
鑽,tsǹg
䖙,the
䘼,ńg
𧮙,tshoh
𠕇,tīng
𣻸,siûnn
苧,terē
稈,kuínn
丈,tiūnn
方,png
全,tsn̂g
危,guî
后,hiō
后,hiō
灰,her
吳,ngôo
車,kir
阮,ńg
乳,jú
呵,o
尚,siūnn
居,kir
帚,tshiú
性,sìnn
斧,póo
昏,hng
果,kér
芹,khîrn
迌,thô
厚,hiō
後,hiō
後,hiō
恨,hīrn
指,tsńg
牲,sinn
玻,po
相,siunn
屐,kia̍h
徐,sîr
殊,sîr
矩,kír
釘,ting
參,sim
參,som
參,sim
參,som
帳,tiùnn
掃,sò
曹,tsô
梁,niû
莖,huînn
莧,hīng
處,tshìr
許,hír
郭,kerh
媒,hm̂
寓,ú
寓,ù
晬,tsèr
腔,tshiunn
菠,per
萄,tô
鄉,hiunn
鈗,ńg
陽,iûnn
勤,khîrn
嗣,sîr
楝,līng
楹,înn
預,īr
慮,līr
樑,niû
範,huān
蓮,liân
課,khèr
鄭,tīnn
鋤,tîr
噤,khiūnn
親,tshinn
謀,biô
頭,thiô
頭,thiô
鴦,iunn
嬰,inn
嶼,sīr
戴,tèr
糙,tshò
舉,kír
螿,tsiong
螿,tsiunn
謝,siā
謝,tsiā
顎,kok
羅,lô
蹬,tinn
鯧,tshiunn
鑢,lerē
驚,kinn
蠶,tshâm
蠶,tshâm
八,pueh
刀,to
上,tsiūnn
上,tshiūnn
女,lú
子,tsú
巾,kun
中,tiong
予,hōo
五,gōo
井,tsínn
反,píng
斤,kun
日,li̍t
月,ge̍h
毛,mn̂g
火,hé
去,khù
可,khó
奶,ni
平,pînn
未,bē
母,bió
母,bú
汁,tsiap
犯,huān
生,tshinn
生,sinn
皮,phê
光,kng
刐,táinn
匠,tshiūnn
囝,kiánn
回,hê
地,tuē
好,hó
字,lī
次,tshù
