tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
kue-bâi,鷄眉,25,koe-bâi,kue1bai5,koe1bai5,ㄍㄨㆤㆠㄞˊ,,kuebai,koebai,ㄍㄨㆤㆠㄞ,,kb,kb,ㄍㆠ,,True,False
iâm-pô,鹽婆,25,iâm-pô,iam5po5,iam5po5,ㄧㆰˊㄅㄛˊ,,iampo,iampo,ㄧㆰㄅㄛ,,ip,ip,ㄧㄅ,,True,False
lo̍k-pn̄g,鹿飯,25,lo̍k-pn̄g,lok8png7,lok8png7,ㄌㆦㆻ̇ㄅㆭ˫,,lokpng,lokpng,ㄌㆦㆻㄅㆭ,,lp,lp,ㄌㄅ,,True,False
be̍h-á,麥仔,25,be̍h-á,beh8a2,beh8a2,ㆠㆤㆷ̇ㄚˋ,,beha,beha,ㆠㆤㆷㄚ,,ba,ba,ㆠㄚ,,True,False
bi̍k-tshong,麥葱,25,be̍k-chhong,bik8tshong1,bek8chhong1,ㆠㄧㆻ̇ㄘㆲ,,biktshong,bekchhong,ㆠㄧㆻㄘㆲ,,bt,bc,ㆠㄘ,,True,False
n̂g-peh,黃柏,25,n̂g-peh,ng5peh4,ng5peh4,ㆭˊㄅㆤㆷ,,ngpeh,ngpeh,ㆭㄅㆤㆷ,,np,np,ㆭㄅ,,True,False
n̂g-kam,黃柑,25,n̂g-kam,ng5kam1,ng5kam1,ㆭˊㄍㆰ,,ngkam,ngkam,ㆭㄍㆰ,,nk,nk,ㆭㄍ,,True,False
n̂g-kun,黃根,25,n̂g-kun,ng5kun1,ng5kun1,ㆭˊㄍㄨㄣ,,ngkun,ngkun,ㆭㄍㄨㄣ,,nk,nk,ㆭㄍ,,True,False
n̂g-tsuí,黃槿,25,n̂g-chúi,ng5tsui2,ng5chui2,ㆭˊㄗㄨㄧˋ,,ngtsui,ngchui,ㆭㄗㄨㄧ,,nt,nc,ㆭㄗ,,True,False
n̂g-kú,黃櫸,25,n̂g-kú,ng5ku2,ng5ku2,ㆭˊㄍㄨˋ,,ngku,ngku,ㆭㄍㄨ,,nk,nk,ㆭㄍ,,True,False
n̂g-phî,黃皮,25,n̂g-phî,ng5phi5,ng5phi5,ㆭˊㄆㄧˊ,,ngphi,ngphi,ㆭㄆㄧ,,np,np,ㆭㄆ,,True,False
n̂g-tîn,黃籐,25,n̂g-tîn,ng5tin5,ng5tin5,ㆭˊㄉㄧㄣˊ,,ngtin,ngtin,ㆭㄉㄧㄣ,,nt,nt,ㆭㄉ,,True,False
n̂g-sik,黃粟,25,n̂g-sek,ng5sik4,ng5sek4,ㆭˊㄒㄧㆻ,,ngsik,ngsek,ㆭㄒㄧㆻ,,ns,ns,ㆭㄒ,,True,False
n̂g-tîn,黃藤,25,n̂g-tîn,ng5tin5,ng5tin5,ㆭˊㄉㄧㄣˊ,,ngtin,ngtin,ㆭㄉㄧㄣ,,nt,nt,ㆭㄉ,,True,False
n̂g-muâ,黃麻,25,n̂g-môa,ng5mua5,ng5moa5,ㆭˊㄇㄨㄚˊ,,ngmua,ngmoa,ㆭㄇㄨㄚ,,nm,nm,ㆭㄇ,,True,False
n̂g-kí,黃𣏌,25,n̂g-kí,ng5ki2,ng5ki2,ㆭˊㄍㄧˋ,,ngki,ngki,ㆭㄍㄧ,,nk,nk,ㆭㄍ,,True,False
sué-á,黍仔,25,sóe-á,sue2a2,soe2a2,ㄙㄨㆤˋㄚˋ,,suea,soea,ㄙㄨㆤㄚ,,sa,sa,ㄙㄚ,,True,False
tshú-khak,鼠麴,25,chhú-khak,tshu2khak4,chhu2khak4,ㄘㄨˋㄎㄚㆻ,,tshukhak,chhukhak,ㄘㄨㄎㄚㆻ,,tk,ck,ㄘㄎ,,True,False
kí-thok,齒托,25,kí-thok,ki2thok4,ki2thok4,ㄍㄧˋㄊㆦㆻ,,kithok,kithok,ㄍㄧㄊㆦㆻ,,kt,kt,ㄍㄊ,,True,False
ku-hue,龜花,25,ku-hoe,ku1hue1,ku1hoe1,ㄍㄨㄏㄨㆤ,,kuhue,kuhoe,ㄍㄨㄏㄨㆤ,,kh,kh,ㄍㄏ,,True,False
ōng-lâi,𦬬萊,25,ōng-lâi,ong7lai5,ong7lai5,ㆲ˫ㄌㄞˊ,,onglai,onglai,ㆲㄌㄞ,,ol,ol,ㆲㄌ,,True,False
it-ki-hiunn,一枝香,16,it-ki-hiuⁿ,it4ki1hiunn1,it4ki1hiunn1,ㄧㆵㄍㄧㄏㄧㆫ,,itkihiunn,itkihiunn,ㄧㆵㄍㄧㄏㄧㆫ,,ikh,ikh,ㄧㄍㄏ,,True,False
it-tiám-hông,一點紅,16,it-tiám-hông,it4tiam2hong5,it4tiam2hong5,ㄧㆵㄉㄧㆰˋㄏㆲˊ,,ittiamhong,ittiamhong,ㄧㆵㄉㄧㆰㄏㆲ,,ith,ith,ㄧㄉㄏ,,True,False
tshit-hōo-liân,七厚蓮,16,chhit-hō͘-liân,tshit4hoo7lian5,chhit4hoo7lian5,ㄑㄧㆵㄏㆦ˫ㄌㄧㄢˊ,,tshithoolian,chhithoolian,ㄑㄧㆵㄏㆦㄌㄧㄢ,,thl,chl,ㄑㄏㄌ,,True,False
tshit-tshùn-kim,七寸金,16,chhit-chhùn-kim,tshit4tshun3kim1,chhit4chhun3kim1,ㄑㄧㆵㄘㄨㄣ˪ㄍㄧㆬ,,tshittshunkim,chhitchhunkim,ㄑㄧㆵㄘㄨㄣㄍㄧㆬ,,ttk,cck,ㄑㄘㄍ,,True,False
tshit-ji̍t-n̄g,七日暈,16,chhit-ji̍t-n̄g,tshit4jit8ng7,chhit4jit8ng7,ㄑㄧㆵㆢㄧㆵ̇ㆭ˫,,tshitjitng,chhitjitng,ㄑㄧㆵㆢㄧㆵㆭ,,tjn,cjn,ㄑㆢㆭ,,True,False
tshit-lí-hiong,七星香,16,chhit-lí-hiong,tshit4li2hiong1,chhit4li2hiong1,ㄑㄧㆵㄌㄧˋㄏㄧㆲ,,tshitlihiong,chhitlihiong,ㄑㄧㆵㄌㄧㄏㄧㆲ,,tlh,clh,ㄑㄌㄏ,,True,False
tshit-hio̍h-liân,七葉蓮,16,chhit-hio̍h-liân,tshit4hioh8lian5,chhit4hioh8lian5,ㄑㄧㆵㄏㄧㄛㆷ̇ㄌㄧㄢˊ,,tshithiohlian,chhithiohlian,ㄑㄧㆵㄏㄧㄛㆷㄌㄧㄢ,,thl,chl,ㄑㄏㄌ,,True,False
tshit-lí-hiong,七里香,16,chhit-lí-hiong,tshit4li2hiong1,chhit4li2hiong1,ㄑㄧㆵㄌㄧˋㄏㄧㆲ,,tshitlihiong,chhitlihiong,ㄑㄧㆵㄌㄧㄏㄧㆲ,,tlh,clh,ㄑㄌㄏ,,True,False
sann-pán-to,三版刀,16,saⁿ-pán-to,sann1pan2to1,sann1pan2to1,ㄙㆩㄅㄢˋㄉㄛ,,sannpanto,sannpanto,ㄙㆩㄅㄢㄉㄛ,,spt,spt,ㄙㄅㄉ,,True,False
sann-hī-tsháu,三耳草,16,saⁿ-hī-chháu,sann1hi7tshau2,sann1hi7chhau2,ㄙㆩㄏㄧ˫ㄘㄠˋ,,sannhitshau,sannhichhau,ㄙㆩㄏㄧㄘㄠ,,sht,shc,ㄙㄏㄘ,,True,False
sann-kha-ting,三脚丁,16,saⁿ-kha-teng,sann1kha1ting1,sann1kha1teng1,ㄙㆩㄎㄚㄉㄧㄥ,,sannkhating,sannkhateng,ㄙㆩㄎㄚㄉㄧㄥ,,skt,skt,ㄙㄎㄉ,,True,False
sann-kha-pia̍t,三脚別,16,saⁿ-kha-pia̍t,sann1kha1piat8,sann1kha1piat8,ㄙㆩㄎㄚㄅㄧㄚㆵ̇,,sannkhapiat,sannkhapiat,ㄙㆩㄎㄚㄅㄧㄚㆵ,,skp,skp,ㄙㄎㄅ,,True,False
sann-kha-tiāu,三脚掉,16,saⁿ-kha-tiāu,sann1kha1tiau7,sann1kha1tiau7,ㄙㆩㄎㄚㄉㄧㄠ˫,,sannkhatiau,sannkhatiau,ㄙㆩㄎㄚㄉㄧㄠ,,skt,skt,ㄙㄎㄉ,,True,False
sann-kha-phî,三脚皮,16,saⁿ-kha-phî,sann1kha1phi5,sann1kha1phi5,ㄙㆩㄎㄚㄆㄧˊ,,sannkhaphi,sannkhaphi,ㄙㆩㄎㄚㄆㄧ,,skp,skp,ㄙㄎㄆ,,True,False
sann-kha-hóo,三脚虎,16,saⁿ-kha-hó͘,sann1kha1hoo2,sann1kha1hoo2,ㄙㆩㄎㄚㄏㆦˋ,,sannkhahoo,sannkhahoo,ㄙㆩㄎㄚㄏㆦ,,skh,skh,ㄙㄎㄏ,,True,True
sann-kha-pih,三脚鼈,16,saⁿ-kha-pih,sann1kha1pih4,sann1kha1pih4,ㄙㆩㄎㄚㄅㄧㆷ,,sannkhapih,sannkhapih,ㄙㆩㄎㄚㄅㄧㆷ,,skp,skp,ㄙㄎㄅ,,True,True
sann-kha-puà,三角破,16,saⁿ-kha-pòa,sann1kha1pua3,sann1kha1poa3,ㄙㆩㄎㄚㄅㄨㄚ˪,,sannkhapua,sannkhapoa,ㄙㆩㄎㄚㄅㄨㄚ,,skp,skp,ㄙㄎㄅ,,True,False
sann-kha-pih,三角鼈,16,saⁿ-kha-pih,sann1kha1pih4,sann1kha1pih4,ㄙㆩㄎㄚㄅㄧㆷ,,sannkhapih,sannkhapih,ㄙㆩㄎㄚㄅㄧㆷ,,skp,skp,ㄙㄎㄅ,,True,True
sann-pih-pí,三鼈比,16,saⁿ-pih-pí,sann1pih4pi2,sann1pih4pi2,ㄙㆩㄅㄧㆷㄅㄧˋ,,sannpihpi,sannpihpi,ㄙㆩㄅㄧㆷㄅㄧ,,spp,spp,ㄙㄅㄅ,,True,True
put-liû-hîng,不留行,16,put-liû-hêng,put4liu5hing5,put4liu5heng5,ㄅㄨㆵㄌㄧㄨˊㄏㄧㄥˊ,,putliuhing,putliuheng,ㄅㄨㆵㄌㄧㄨㄏㄧㄥ,,plh,plh,ㄅㄌㄏ,,True,False
m̄-kiann-king,不驚經,16,m̄-kiaⁿ-keng,m7kiann1king1,m7kiann1keng1,ㆬ˫ㄍㄧㆩㄍㄧㄥ,,mkiannking,mkiannkeng,ㆬㄍㄧㆩㄍㄧㄥ,,mkk,mkk,ㆬㄍㄍ,,True,True
m̄-kiann-tê,不驚茶,16,m̄-kiaⁿ-tê,m7kiann1te5,m7kiann1te5,ㆬ˫ㄍㄧㆩㄉㆤˊ,,mkiannte,mkiannte,ㆬㄍㄧㆩㄉㆤ,,mkt,mkt,ㆬㄍㄉ,,True,True
tshǹg-phīnn-lîng,串鼻龍,16,chhǹg-phīⁿ-lêng,tshng3phinn7ling5,chhng3phinn7leng5,ㄘㆭ˪ㄆㆪ˫ㄌㄧㄥˊ,,tshngphinnling,chhngphinnleng,ㄘㆭㄆㆪㄌㄧㄥ,,tpl,cpl,ㄘㄆㄌ,,True,False
kiú-kiong-kū,九芎舅,16,kiú-kiong-kū,kiu2kiong1ku7,kiu2kiong1ku7,ㄍㄧㄨˋㄍㄧㆲㄍㄨ˫,,kiukiongku,kiukiongku,ㄍㄧㄨㄍㄧㆲㄍㄨ,,kkk,kkk,ㄍㄍㄍ,,True,False
káu-tîng-tshe,九重吹,16,káu-têng-chhe,kau2ting5tshe1,kau2teng5chhe1,ㄍㄠˋㄉㄧㄥˊㄘㆤ,,kautingtshe,kautengchhe,ㄍㄠㄉㄧㄥㄘㆤ,,ktt,ktc,ㄍㄉㄘ,,True,False
khit-tshia̍h-uánn,乞食碗,16,khit-chhia̍h-óaⁿ,khit4tshiah8uann2,khit4chhiah8oann2,ㄎㄧㆵㄑㄧㄚㆷ̇ㄨㆩˋ,,khittshiahuann,khitchhiahoann,ㄎㄧㆵㄑㄧㄚㆷㄨㆩ,,ktu,kco,ㄎㄑㄨ,,True,False
lin-á-tsháu,乳仔草,16,lin-á-chháu,lin1a2tshau2,lin1a2chhau2,ㄌㄧㄣㄚˋㄘㄠˋ,,linatshau,linachhau,ㄌㄧㄣㄚㄘㄠ,,lat,lac,ㄌㄚㄘ,,True,True
gōo-the̍h-kiô,五宅茄,16,gō͘-the̍h-kiô,goo7theh8kio5,goo7theh8kio5,ㆣㆦ˫ㄊㆤㆷ̇ㄍㄧㄛˊ,,goothehkio,goothehkio,ㆣㆦㄊㆤㆷㄍㄧㄛ,,gtk,gtk,ㆣㄊㄍ,,True,False
gōo-kun-tsháu,五根草,16,gō͘-kun-chháu,goo7kun1tshau2,goo7kun1chhau2,ㆣㆦ˫ㄍㄨㄣㄘㄠˋ,,gookuntshau,gookunchhau,ㆣㆦㄍㄨㄣㄘㄠ,,gkt,gkc,ㆣㄍㄘ,,True,False
ngóo-jiáu-jiông,五爪絨,16,ngó͘-jiáu-jiông,ngoo2jiau2jiong5,ngoo2jiau2jiong5,ㄫㆦˋㆢㄧㄠˋㆢㄧㆲˊ,,ngoojiaujiong,ngoojiaujiong,ㄫㆦㆢㄧㄠㆢㄧㆲ,,njj,njj,ㄫㆢㆢ,,True,False
ngóo-jiáu-lîng,五爪龍,16,ngó͘-jiáu-lêng,ngoo2jiau2ling5,ngoo2jiau2leng5,ㄫㆦˋㆢㄧㄠˋㄌㄧㄥˊ,,ngoojiauling,ngoojiauleng,ㄫㆦㆢㄧㄠㄌㄧㄥ,,njl,njl,ㄫㆢㄌ,,True,False
gōo-kha-lí,五脚里,16,gō͘-kha-lí,goo7kha1li2,goo7kha1li2,ㆣㆦ˫ㄎㄚㄌㄧˋ,,gookhali,gookhali,ㆣㆦㄎㄚㄌㄧ,,gkl,gkl,ㆣㄎㄌ,,True,False
góo-lîng-lân,五龍蘭,16,gó͘-lêng-lân,goo2ling5lan5,goo2leng5lan5,ㆣㆦˋㄌㄧㄥˊㄌㄢˊ,,goolinglan,goolenglan,ㆣㆦㄌㄧㄥㄌㄢ,,gll,gll,ㆣㄌㄌ,,True,False
tsínn-pinn-tsháu,井邊草,16,chíⁿ-piⁿ-chháu,tsinn2pinn1tshau2,chinn2pinn1chhau2,ㄐㆪˋㄅㆪㄘㄠˋ,,tsinnpinntshau,chinnpinnchhau,ㄐㆪㄅㆪㄘㄠ,,tpt,cpc,ㄐㄅㄘ,,True,False
jîn-biān-tik,人面竹,16,jîn-biān-tek,jin5bian7tik4,jin5bian7tek4,ㆢㄧㄣˊㆠㄧㄢ˫ㄉㄧㆻ,,jinbiantik,jinbiantek,ㆢㄧㄣㆠㄧㄢㄉㄧㆻ,,jbt,jbt,ㆢㆠㄉ,,True,False
jîn-tshì-tshang,仁刺葱,16,jîn-chhì-chhang,jin5tshi3tshang1,jin5chhi3chhang1,ㆢㄧㄣˊㄑㄧ˪ㄘㄤ,,jintshitshang,jinchhichhang,ㆢㄧㄣㄑㄧㄘㄤ,,jtt,jcc,ㆢㄑㄘ,,True,False
sian-pa-tsiúnn,仙巴掌,16,sian-pa-chiúⁿ,sian1pa1tsiunn2,sian1pa1chiunn2,ㄒㄧㄢㄅㄚㄐㄧㆫˋ,,sianpatsiunn,sianpachiunn,ㄒㄧㄢㄅㄚㄐㄧㆫ,,spt,spc,ㄒㄅㄐ,,True,False
hô-siú-oo,何首烏,16,hô-siú-o͘,ho5siu2oo1,ho5siu2oo1,ㄏㄛˊㄒㄧㄨˋㆦ,,hosiuoo,hosiuoo,ㄏㄛㄒㄧㄨㆦ,,hso,hso,ㄏㄒㆦ,,True,False
hu̍t-thâu-kó,佛頭果,16,hu̍t-thâu-kó,hut8thau5ko2,hut8thau5ko2,ㄏㄨㆵ̇ㄊㄠˊㄍㄛˋ,,hutthauko,hutthauko,ㄏㄨㆵㄊㄠㄍㄛ,,htk,htk,ㄏㄊㄍ,,True,False
sù-kun-tsú,使君子,16,sù-kun-chú,su3kun1tsu2,su3kun1chu2,ㄙㄨ˪ㄍㄨㄣㄗㄨˋ,,sukuntsu,sukunchu,ㄙㄨㄍㄨㄣㄗㄨ,,skt,skc,ㄙㄍㄗ,,True,False
tó-tuē-kióng,倒地拱,16,tó-tōe-kióng,to2tue7kiong2,to2toe7kiong2,ㄉㄛˋㄉㄨㆤ˫ㄍㄧㆲˋ,,totuekiong,totoekiong,ㄉㄛㄉㄨㆤㄍㄧㆲ,,ttk,ttk,ㄉㄉㄍ,,True,False
tó-tuē-lîng,倒地柃,16,tó-tōe-lêng,to2tue7ling5,to2toe7leng5,ㄉㄛˋㄉㄨㆤ˫ㄌㄧㄥˊ,,totueling,totoeleng,ㄉㄛㄉㄨㆤㄌㄧㄥ,,ttl,ttl,ㄉㄉㄌ,,True,False
tó-kî-lîn,倒麒麟,16,tó-kî-lîn,to2ki5lin5,to2ki5lin5,ㄉㄛˋㄍㄧˊㄌㄧㄣˊ,,tokilin,tokilin,ㄉㄛㄍㄧㄌㄧㄣ,,tkl,tkl,ㄉㄍㄌ,,True,False
siong-si̍t-tsháu,傷食草,16,siong-si̍t-chháu,siong1sit8tshau2,siong1sit8chhau2,ㄒㄧㆲㄒㄧㆵ̇ㄘㄠˋ,,siongsittshau,siongsitchhau,ㄒㄧㆲㄒㄧㆵㄘㄠ,,sst,ssc,ㄒㄒㄘ,,True,False
guân-siau-kam,元宵柑,16,goân-siau-kam,guan5siau1kam1,goan5siau1kam1,ㆣㄨㄢˊㄒㄧㄠㄍㆰ,,guansiaukam,goansiaukam,ㆣㄨㄢㄒㄧㄠㄍㆰ,,gsk,gsk,ㆣㄒㄍ,,True,False
thòo-á-tshài,兔仔草,16,thò͘-á-chhài,thoo3a2tshai3,thoo3a2chhai3,ㄊㆦ˪ㄚˋㄘㄞ˪,,thooatshai,thooachhai,ㄊㆦㄚㄘㄞ,,tat,tac,ㄊㄚㄘ,,True,False
thòo-hī-tsháu,兔耳草,16,thò͘-hī-chháu,thoo3hi7tshau2,thoo3hi7chhau2,ㄊㆦ˪ㄏㄧ˫ㄘㄠˋ,,thoohitshau,thoohichhau,ㄊㆦㄏㄧㄘㄠ,,tht,thc,ㄊㄏㄘ,,True,False
lāi-tang-tsí,內冬子,16,lāi-tang-chí,lai7tang1tsi2,lai7tang1chi2,ㄌㄞ˫ㄉㄤㄐㄧˋ,,laitangtsi,laitangchi,ㄌㄞㄉㄤㄐㄧ,,ltt,ltc,ㄌㄉㄐ,,True,False
pat-kuà-tsháu,八卦草,16,pat-kòa-chháu,pat4kua3tshau2,pat4koa3chhau2,ㄅㄚㆵㄍㄨㄚ˪ㄘㄠˋ,,patkuatshau,patkoachhau,ㄅㄚㆵㄍㄨㄚㄘㄠ,,pkt,pkc,ㄅㄍㄘ,,True,False
pueh-kak-á,八角仔,16,poeh-kak-á,pueh4kak4a2,poeh4kak4a2,ㄅㄨㆤㆷㄍㄚㆻㄚˋ,,puehkaka,poehkaka,ㄅㄨㆤㆷㄍㄚㆻㄚ,,pka,pka,ㄅㄍㄚ,,True,False
pueh-kak-liân,八角蓮,16,poeh-kak-liân,pueh4kak4lian5,poeh4kak4lian5,ㄅㄨㆤㆷㄍㄚㆻㄌㄧㄢˊ,,puehkaklian,poehkaklian,ㄅㄨㆤㆷㄍㄚㆻㄌㄧㄢ,,pkl,pkl,ㄅㄍㄌ,,True,False
kong-sun-kiat,公孫橘,16,kong-sun-kiat,kong1sun1kiat4,kong1sun1kiat4,ㄍㆲㄙㄨㄣㄍㄧㄚㆵ,,kongsunkiat,kongsunkiat,ㄍㆲㄙㄨㄣㄍㄧㄚㆵ,,ksk,ksk,ㄍㄙㄍ,,True,False
la̍k-ge̍h-seh,六月雪,16,la̍k-ge̍h-seh,lak8geh8seh4,lak8geh8seh4,ㄌㄚㆻ̇ㆣㆤㆷ̇ㄙㆤㆷ,,lakgehseh,lakgehseh,ㄌㄚㆻㆣㆤㆷㄙㆤㆷ,,lgs,lgs,ㄌㆣㄙ,,True,False
la̍k-liàm-á,六棯仔,16,la̍k-liàm-á,lak8liam3a2,lak8liam3a2,ㄌㄚㆻ̇ㄌㄧㆰ˪ㄚˋ,,lakliama,lakliama,ㄌㄚㆻㄌㄧㆰㄚ,,lla,lla,ㄌㄌㄚ,,True,False
la̍k-kiám-á,六檢仔,16,la̍k-kiám-á,lak8kiam2a2,lak8kiam2a2,ㄌㄚㆻ̇ㄍㄧㆰˋㄚˋ,,lakkiama,lakkiama,ㄌㄚㆻㄍㄧㆰㄚ,,lka,lka,ㄌㄍㄚ,,True,False
la̍k-kak-ing,六角英,16,la̍k-kak-eng,lak8kak4ing1,lak8kak4eng1,ㄌㄚㆻ̇ㄍㄚㆻㄧㄥ,,lakkaking,lakkakeng,ㄌㄚㆻㄍㄚㆻㄧㄥ,,lki,lke,ㄌㄍㄧ,,True,False
la̍k-kak-tsháu,六角草,16,la̍k-kak-chháu,lak8kak4tshau2,lak8kak4chhau2,ㄌㄚㆻ̇ㄍㄚㆻㄘㄠˋ,,lakkaktshau,lakkakchhau,ㄌㄚㆻㄍㄚㆻㄘㄠ,,lkt,lkc,ㄌㄍㄘ,,True,False
tsài-sing-kiat,再生橘,16,chài-seng-kiat,tsai3sing1kiat4,chai3seng1kiat4,ㄗㄞ˪ㄒㄧㄥㄍㄧㄚㆵ,,tsaisingkiat,chaisengkiat,ㄗㄞㄒㄧㄥㄍㄧㄚㆵ,,tsk,csk,ㄗㄒㄍ,,True,False
líng-pn̄g-tîn,冷飯藤,16,léng-pn̄g-tîn,ling2png7tin5,leng2png7tin5,ㄌㄧㄥˋㄅㆭ˫ㄉㄧㄣˊ,,lingpngtin,lengpngtin,ㄌㄧㄥㄅㆭㄉㄧㄣ,,lpt,lpt,ㄌㄅㄉ,,True,False
tshìn-pn̄g-tîn,凊飯藤,16,chhìn-pn̄g-tîn,tshin3png7tin5,chhin3png7tin5,ㄑㄧㄣ˪ㄅㆭ˫ㄉㄧㄣˊ,,tshinpngtin,chhinpngtin,ㄑㄧㄣㄅㆭㄉㄧㄣ,,tpt,cpt,ㄑㄅㄉ,,True,False
tshut-sing-láu,出生老,16,chhut-seng-láu,tshut4sing1lau2,chhut4seng1lau2,ㄘㄨㆵㄒㄧㄥㄌㄠˋ,,tshutsinglau,chhutsenglau,ㄘㄨㆵㄒㄧㄥㄌㄠ,,tsl,csl,ㄘㄒㄌ,,True,False
to-siong-tsháu,刀傷草,16,to-siong-chháu,to1siong1tshau2,to1siong1chhau2,ㄉㄛㄒㄧㆲㄘㄠˋ,,tosiongtshau,tosiongchhau,ㄉㄛㄒㄧㆲㄘㄠ,,tst,tsc,ㄉㄒㄘ,,True,False
tò-kè-tsháu,到繼草,16,tò-kè-chháu,to3ke3tshau2,to3ke3chhau2,ㄉㄛ˪ㄍㆤ˪ㄘㄠˋ,,toketshau,tokechhau,ㄉㄛㄍㆤㄘㄠ,,tkt,tkc,ㄉㄍㄘ,,True,False
tshì-tōo-bi̍t,刺杜蜜,16,chhì-tō͘-bi̍t,tshi3too7bit8,chhi3too7bit8,ㄑㄧ˪ㄉㆦ˫ㆠㄧㆵ̇,,tshitoobit,chhitoobit,ㄑㄧㄉㆦㆠㄧㆵ,,ttb,ctb,ㄑㄉㆠ,,True,False
tshì-kam-á,刺柑仔,16,chhì-kam-á,tshi3kam1a2,chhi3kam1a2,ㄑㄧ˪ㄍㆰㄚˋ,,tshikama,chhikama,ㄑㄧㄍㆰㄚ,,tka,cka,ㄑㄍㄚ,,True,False
tshì-keh-á,刺格仔,16,chhì-keh-á,tshi3keh4a2,chhi3keh4a2,ㄑㄧ˪ㄍㆤㆷㄚˋ,,tshikeha,chhikeha,ㄑㄧㄍㆤㆷㄚ,,tka,cka,ㄑㄍㄚ,,True,False
tshì-kiû-hue,刺毬花,16,chhì-kiû-hoe,tshi3kiu5hue1,chhi3kiu5hoe1,ㄑㄧ˪ㄍㄧㄨˊㄏㄨㆤ,,tshikiuhue,chhikiuhoe,ㄑㄧㄍㄧㄨㄏㄨㆤ,,tkh,ckh,ㄑㄍㄏ,,True,False
tshì-tshang-tshiū,刺葱樹,16,chhì-chhang-chhiū,tshi3tshang1tshiu7,chhi3chhang1chhiu7,ㄑㄧ˪ㄘㄤㄑㄧㄨ˫,,tshitshangtshiu,chhichhangchhiu,ㄑㄧㄘㄤㄑㄧㄨ,,ttt,ccc,ㄑㄘㄑ,,True,False
tsián-jiông-hue,剪絨花,16,chián-jiông-hoe,tsian2jiong5hue1,chian2jiong5hoe1,ㄐㄧㄢˋㆢㄧㆲˊㄏㄨㆤ,,tsianjionghue,chianjionghoe,ㄐㄧㄢㆢㄧㆲㄏㄨㆤ,,tjh,cjh,ㄐㆢㄏ,,True,False
ka-ji̍p-kū,加入舅,16,ka-ji̍p-kū,ka1jip8ku7,ka1jip8ku7,ㄍㄚㆢㄧㆴ̇ㄍㄨ˫,,kajipku,kajipku,ㄍㄚㆢㄧㆴㄍㄨ,,kjk,kjk,ㄍㆢㄍ,,True,True
ka-po̍h-mî,加薄棉,16,ka-po̍h-mî,ka1poh8mi5,ka1poh8mi5,ㄍㄚㄅㄛㆷ̇ㄇㄧˊ,,kapohmi,kapohmi,ㄍㄚㄅㄛㆷㄇㄧ,,kpm,kpm,ㄍㄅㄇ,,True,True
sip-lí-hiong,十里香,16,sip-lí-hiong,sip4li2hiong1,sip4li2hiong1,ㄒㄧㆴㄌㄧˋㄏㄧㆲ,,siplihiong,siplihiong,ㄒㄧㆴㄌㄧㄏㄧㆲ,,slh,slh,ㄒㄌㄏ,,True,False
tshian-kun-puih,千斤拔,16,chhian-kun-puih,tshian1kun1puih4,chhian1kun1puih4,ㄑㄧㄢㄍㄨㄣㄅㄨㄧㆷ,,tshiankunpuih,chhiankunpuih,ㄑㄧㄢㄍㄨㄣㄅㄨㄧㆷ,,tkp,ckp,ㄑㄍㄅ,,True,False
tshian-lí-kong,千里光,16,chhian-lí-kong,tshian1li2kong1,chhian1li2kong1,ㄑㄧㄢㄌㄧˋㄍㆲ,,tshianlikong,chhianlikong,ㄑㄧㄢㄌㄧㄍㆲ,,tlk,clk,ㄑㄌㄍ,,True,False
gōo-sî-tsháu,午時草,16,gō͘-sî-chháu,goo7si5tshau2,goo7si5chhau2,ㆣㆦ˫ㄒㄧˊㄘㄠˋ,,goositshau,goosichhau,ㆣㆦㄒㄧㄘㄠ,,gst,gsc,ㆣㄒㄘ,,True,False
lâm-hong-tsháu,南風草,16,lâm-hong-chháu,lam5hong1tshau2,lam5hong1chhau2,ㄌㆰˊㄏㆲㄘㄠˋ,,lamhongtshau,lamhongchhau,ㄌㆰㄏㆲㄘㄠ,,lht,lhc,ㄌㄏㄘ,,True,False
kāu-khak-á,厚殼仔,16,kāu-khak-á,kau7khak4a2,kau7khak4a2,ㄍㄠ˫ㄎㄚㆻㄚˋ,,kaukhaka,kaukhaka,ㄍㄠㄎㄚㆻㄚ,,kka,kka,ㄍㄎㄚ,,True,False
kau-khak-kuì,厚殼桂,16,kau-khak-kùi,kau1khak4kui3,kau1khak4kui3,ㄍㄠㄎㄚㆻㄍㄨㄧ˪,,kaukhakkui,kaukhakkui,ㄍㄠㄎㄚㆻㄍㄨㄧ,,kkk,kkk,ㄍㄎㄍ,,True,False
sim-á-hio̍h,參仔葉,16,sim-á-hio̍h,sim1a2hioh8,sim1a2hioh8,ㄒㄧㆬㄚˋㄏㄧㄛㆷ̇,,simahioh,simahioh,ㄒㄧㆬㄚㄏㄧㄛㆷ,,sah,sah,ㄒㄚㄏ,,True,False
kháu-kha-á,口脚仔,16,kháu-kha-á,khau2kha1a2,khau2kha1a2,ㄎㄠˋㄎㄚㄚˋ,,khaukhaa,khaukhaa,ㄎㄠㄎㄚㄚ,,kka,kka,ㄎㄎㄚ,,True,False
