tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
tshì-á,刺仔,25,chhì-á,tshi3a2,chhi3a2,ㄑㄧ˪ㄚˋ,,tshia,chhia,ㄑㄧㄚ,,ta,ca,ㄑㄚ,,True,False
tshì-keh,刺格,25,chhì-keh,tshi3keh4,chhi3keh4,ㄑㄧ˪ㄍㆤㆷ,,tshikeh,chhikeh,ㄑㄧㄍㆤㆷ,,tk,ck,ㄑㄍ,,True,False
tshì-tông,刺桐,25,chhì-tông,tshi3tong5,chhi3tong5,ㄑㄧ˪ㄉㆲˊ,,tshitong,chhitong,ㄑㄧㄉㆲ,,tt,ct,ㄑㄉ,,True,False
tshì-lâm,刺楠,25,chhì-lâm,tshi3lam5,chhi3lam5,ㄑㄧ˪ㄌㆰˊ,,tshilam,chhilam,ㄑㄧㄌㆰ,,tl,cl,ㄑㄌ,,True,False
tshì-tik,刺竹,25,chhì-tek,tshi3tik4,chhi3tek4,ㄑㄧ˪ㄉㄧㆻ,,tshitik,chhitek,ㄑㄧㄉㄧㆻ,,tt,ct,ㄑㄉ,,True,False
tshì-kiô,刺茄,25,chhì-kiô,tshi3kio5,chhi3kio5,ㄑㄧ˪ㄍㄧㄛˊ,,tshikio,chhikio,ㄑㄧㄍㄧㄛ,,tk,ck,ㄑㄍ,,True,False
tshì-tsháu,刺草,25,chhì-chháu,tshi3tshau2,chhi3chhau2,ㄑㄧ˪ㄘㄠˋ,,tshitshau,chhichhau,ㄑㄧㄘㄠ,,tt,cc,ㄑㄘ,,True,False
tshì-hīng,刺莧,25,chhì-hēng,tshi3hing7,chhi3heng7,ㄑㄧ˪ㄏㄧㄥ˫,,tshihing,chhiheng,ㄑㄧㄏㄧㄥ,,th,ch,ㄑㄏ,,True,False
tshì-tshang,刺葱,25,chhì-chhang,tshi3tshang1,chhi3chhang1,ㄑㄧ˪ㄘㄤ,,tshitshang,chhichhang,ㄑㄧㄘㄤ,,tt,cc,ㄑㄘ,,True,False
tshì-soo,刺蒐,25,chhì-so͘,tshi3soo1,chhi3soo1,ㄑㄧ˪ㄙㆦ,,tshisoo,chhisoo,ㄑㄧㄙㆦ,,ts,cs,ㄑㄙ,,True,False
pak-tsio,北蕉,25,pak-chio,pak4tsio1,pak4chio1,ㄅㄚㆻㄐㄧㄛ,,paktsio,pakchio,ㄅㄚㆻㄐㄧㄛ,,pt,pc,ㄅㄐ,,True,False
puàn-hā,半夏,25,poàn-hā,puan3ha7,poan3ha7,ㄅㄨㄢ˪ㄏㄚ˫,,puanha,poanha,ㄅㄨㄢㄏㄚ,,ph,ph,ㄅㄏ,,True,False
kńg-peh,卷柏,25,kńg-peh,kng2peh4,kng2peh4,ㄍㆭˋㄅㆤㆷ,,kngpeh,kngpeh,ㄍㆭㄅㆤㆷ,,kp,kp,ㄍㄅ,,True,False
kāu-khak,厚殼,25,kāu-khak,kau7khak4,kau7khak4,ㄍㄠ˫ㄎㄚㆻ,,kaukhak,kaukhak,ㄍㄠㄎㄚㆻ,,kk,kk,ㄍㄎ,,True,False
siong-lio̍k,商陸,25,siong-lio̍k,siong1liok8,siong1liok8,ㄒㄧㆲㄌㄧㆦㆻ̇,,siongliok,siongliok,ㄒㄧㆲㄌㄧㆦㆻ,,sl,sl,ㄒㄌ,,True,False
siān-po̍k,善薄,25,siān-po̍k,sian7pok8,sian7pok8,ㄒㄧㄢ˫ㄅㆦㆻ̇,,sianpok,sianpok,ㄒㄧㄢㄅㆦㆻ,,sp,sp,ㄒㄅ,,True,False
tshuì-tsháu,嘴草,25,chhùi-chháu,tshui3tshau2,chhui3chhau2,ㄘㄨㄧ˪ㄘㄠˋ,,tshuitshau,chhuichhau,ㄘㄨㄧㄘㄠ,,tt,cc,ㄘㄘ,,True,True
phùn-seh,噴雪,25,phùn-seh,phun3seh4,phun3seh4,ㄆㄨㄣ˪ㄙㆤㆷ,,phunseh,phunseh,ㄆㄨㄣㄙㆤㆷ,,ps,ps,ㄆㄙ,,True,False
thóo-sam,土杉,25,thó͘-sam,thoo2sam1,thoo2sam1,ㄊㆦˋㄙㆰ,,thoosam,thoosam,ㄊㆦㄙㆰ,,ts,ts,ㄊㄙ,,True,False
thóo-lâm,土楠,25,thó͘-lâm,thoo2lam5,thoo2lam5,ㄊㆦˋㄌㆰˊ,,thoolam,thoolam,ㄊㆦㄌㆰ,,tl,tl,ㄊㄌ,,True,False
thóo-tsiunn,土樟,25,thó͘-chiuⁿ,thoo2tsiunn1,thoo2chiunn1,ㄊㆦˋㄐㄧㆫ,,thootsiunn,thoochiunn,ㄊㆦㄐㄧㆫ,,tt,tc,ㄊㄐ,,True,False
thóo-hun,土烟,25,thó͘-hun,thoo2hun1,thoo2hun1,ㄊㆦˋㄏㄨㄣ,,thoohun,thoohun,ㄊㆦㄏㄨㄣ,,th,th,ㄊㄏ,,True,False
thóo-hun,土煙,25,thó͘-hun,thoo2hun1,thoo2hun1,ㄊㆦˋㄏㄨㄣ,,thoohun,thoohun,ㄊㆦㄏㄨㄣ,,th,th,ㄊㄏ,,True,False
thóo-ho̍k,土茯,25,thó͘-ho̍k,thoo2hok8,thoo2hok8,ㄊㆦˋㄏㆦㆻ̇,,thoohok,thoohok,ㄊㆦㄏㆦㆻ,,th,th,ㄊㄏ,,True,False
thôo-hiunn,土香,25,thô͘-hiuⁿ,thoo5hiunn1,thoo5hiunn1,ㄊㆦˊㄏㄧㆫ,,thoohiunn,thoohiunn,ㄊㆦㄏㄧㆫ,,th,th,ㄊㄏ,,True,True
tē-ting,地丁,25,tē-teng,te7ting1,te7teng1,ㄉㆤ˫ㄉㄧㄥ,,teting,teteng,ㄉㆤㄉㄧㄥ,,tt,tt,ㄉㄉ,,True,False
