tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,itaigi
tsiang-tsīn,將盡,25,chiang-chīn,tsiangtsin7,chiangchin7,tsiangtsin,chiangchin,tt,cc,True
tsiong-tsīn,將盡,25,chiong-chīn,tsiongtsin7,chiongchin7,tsiongtsin,chiongchin,tt,cc,True
tsiang-kūn,將近,25,chiang-kūn,tsiangkun7,chiangkun7,tsiangkun,chiangkun,tk,ck,True
tsun-pi,尊卑,25,chun-pi,tsunpi,chunpi,tsunpi,chunpi,tp,cp,True
tuì-tâng,對同,25,tùi-tâng,tui3tang5,tui3tang5,tuitang,tuitang,tt,tt,True
uì-hiòng,對向,25,ùi-hiòng,ui3hiong3,ui3hiong3,uihiong,uihiong,uh,uh,True
tuì-huè,對歲,25,tùi-hòe,tui3hue3,tui3hoe3,tuihue,tuihoe,th,th,True
tuì-tsîn,對繩,25,tùi-chîn,tui3tsin5,tui3chin5,tuitsin,tuichin,tt,tc,True
tuì-tio̍h,對著,25,tùi-tio̍h,tui3tioh8,tui3tioh8,tuitioh,tuitioh,tt,tt,True
tuì-ke̍h,對逆,25,tùi-ke̍h,tui3keh8,tui3keh8,tuikeh,tuikeh,tk,tk,True
tuì-bīn,對面,25,tùi-bīn,tui3bin7,tui3bin7,tuibin,tuibin,tb,tb,True
sió-pau,小包,25,sió-pau,sio2pau,sio2pau,siopau,siopau,sp,sp,True
sió-tshue,小吹,25,sió-chhoe,sio2tshue,sio2chhoe,siotshue,siochhoe,st,sc,True
sió-ha̍k,小學,25,sió-ha̍k,sio2hak8,sio2hak8,siohak,siohak,sh,sh,True
sió-hân,小寒,25,sió-hân,sio2han5,sio2han5,siohan,siohan,sh,sh,True
sió-kio̍k,小局,25,sió-kio̍k,sio2kiok8,sio2kiok8,siokiok,siokiok,sk,sk,True
siáu-sí,小暑,25,siáu-sí,siau2si2,siau2si2,siausi,siausi,ss,ss,True
sió-sí,小暑,25,sió-sí,sio2si2,sio2si2,siosi,siosi,ss,ss,True
sió-hioh,小歇,25,sió-hioh,sio2hioh,sio2hioh,siohioh,siohioh,sh,sh,True
sió-tiâu,小潮,25,sió-tiâu,sio2tiau5,sio2tiau5,siotiau,siotiau,st,st,True
sió-ò,小澳,25,sió-ò,sio2o3,sio2o3,sioo,sioo,so,so,True
sió-náu,小腦,25,sió-náu,sio2nau2,sio2nau2,sionau,sionau,sn,sn,True
sió-tsu,小資,25,sió-chu,sio2tsu,sio2chu,siotsu,siochu,st,sc,True
sió-suat,小雪,25,sió-soat,sio2suat,sio2soat,siosuat,siosoat,ss,ss,True
sió-tshut,小齣,25,sió-chhut,sio2tshut,sio2chhut,siotshut,siochhut,st,sc,True
siàu-hō,少昊,25,siàu-hō,siau3ho7,siau3ho7,siauho,siauho,sh,sh,True
tsiam-suann,尖山,25,chiam-soaⁿ,tsiamsuann,chiamsoann,tsiamsuann,chiamsoann,ts,cs,True
siōng-tshiánn,尚且,25,siōng-chhiáⁿ,siong7tshiann2,siong7chhiann2,siongtshiann,siongchhiann,st,sc,True
siōng-sir,尚書,25,siōng-sir,siong7sir,siong7sir,siongsir,siongsir,ss,ss,True
iû-khe,尤溪,25,iû-khe,iu5khe,iu5khe,iukhe,iukhe,ik,ik,True
ang-á,尪仔,25,ang-á,anga2,anga2,anga,anga,aa,aa,True
tsiū-uī,就位,25,chiū-ūi,tsiu7ui7,chiu7ui7,tsiuui,chiuui,tu,cu,True
tō-ài,就愛,25,tō-ài,to7ai3,to7ai3,toai,toai,ta,ta,True
tshioh-kut,尺骨,25,chhioh-kut,tshiohkut,chhiohkut,tshiohkut,chhiohkut,tk,ck,True
kha-tshng,尻川,25,kha-chhng,khatshng,khachhng,khatshng,khachhng,kt,kc,True
kha-tshuinn,尻川,25,kha-chhuiⁿ,khatshuinn,khachhuinn,khatshuinn,khachhuinn,kt,kc,True
kha-tshng,尻穿,25,kha-chhng,khatshng,khachhng,khatshng,khachhng,kt,kc,True
bué-á,尾仔,25,bóe-á,bue2a2,boe2a2,buea,boea,ba,ba,True
bér-kháu,尾口,25,bér-kháu,ber2khau2,ber2khau2,berkhau,berkhau,bk,bk,True
bué-tshiú,尾手,25,bóe-chhiú,bue2tshiu2,boe2chhiu2,buetshiu,boechhiu,bt,bc,True
bué-tsiap,尾接,25,bóe-chiap,bue2tsiap,boe2chiap,buetsiap,boechiap,bt,bc,True
bué-tuè,尾綴,25,bóe-tòe,bue2tue3,boe2toe3,buetue,boetoe,bt,bt,True
bué-hō,尾號,25,bóe-hō,bue2ho7,boe2ho7,bueho,boeho,bh,bh,True
bué-suî,尾隨,25,bóe-sûi,bue2sui5,boe2sui5,buesui,boesui,bs,bs,True
jiō-puī,尿蜚,25,jiō-pūi,jio7pui7,jio7pui7,jiopui,jiopui,jp,jp,True
liō-puī,尿蜚,25,liō-pūi,lio7pui7,lio7pui7,liopui,liopui,lp,lp,True
jiō-sui,尿𦉎,25,jiō-sui,jio7sui,jio7sui,jiosui,jiosui,js,js,True
phuì-kiánn,屁囝,25,phùi-kiáⁿ,phui3kiann2,phui3kiann2,phuikiann,phuikiann,pk,pk,True
phuì-uē,屁話,25,phùi-ōe,phui3ue7,phui3oe7,phuiue,phuioe,pu,po,True
khut-kē,屈低,25,khut-kē,khutke7,khutke7,khutke,khutke,kk,kk,True
khut-sè,屈勢,25,khut-sè,khutse3,khutse3,khutse,khutse,ks,ks,True
khut-sí,屈死,25,khut-sí,khutsi2,khutsi2,khutsi,khutsi,ks,ks,True
khut-kak,屈角,25,khut-kak,khutkak,khutkak,khutkak,khutkak,kk,kk,True
khut-lio̍k,屈辱,25,khut-lio̍k,khutliok8,khutliok8,khutliok,khutliok,kl,kl,True
sái-lâng,屎人,25,sái-lâng,sai2lang5,sai2lang5,sailang,sailang,sl,sl,True
sái-bué,屎尾,25,sái-bóe,sai2bue2,sai2boe2,saibue,saiboe,sb,sb,True
sái-bé,屎尾,25,sái-bé,sai2be2,sai2be2,saibe,saibe,sb,sb,True
sái-jiō,屎尿,25,sái-jiō,sai2jio7,sai2jio7,saijio,saijio,sj,sj,True
sái-puah,屎撥,25,sái-poah,sai2puah,sai2poah,saipuah,saipoah,sp,sp,True
