tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
oh kóng,僫講,25,oh kóng,oh4kong2,oh4kong2,ohkong,ohkong
oh-kuè,僫過,25,oh-kòe,oh4kue3,oh4koe3,ohkue,ohkoe
oh-kè,僫過,25,oh-kè,oh4ke3,oh4ke3,ohke,ohke
tshiàm-uī,僭位,25,chhiàm-ūi,tshiam3ui7,chhiam3ui7,tshiamui,chhiamui
tsiàm-uī,僭位,25,chiàm-ūi,tsiam3ui7,chiam3ui7,tsiamui,chiamui
tsiàm-uē,僭話,25,chiàm-ōe,tsiam3ue7,chiam3oe7,tsiamue,chiamoe
kè-tsha,價差,25,kè-chha,ke3tsha1,ke3chha1,ketsha,kechha
kè-tsînn,價錢,25,kè-chîⁿ,ke3tsinn5,ke3chinn5,ketsinn,kechinn
phiah-tsīng,僻靜,25,phiah-chēng,phiah4tsing7,phiah4cheng7,phiahtsing,phiahcheng
gî-khì,儀器,25,gî-khì,gi5khi3,gi5khi3,gikhi,gikhi
gî-sik,儀式,25,gî-sek,gi5sik4,gi5sek4,gisik,gisek
khiām-tsînn,儉錢,25,khiām-chîⁿ,khiam7tsinn5,khiam7chinn5,khiamtsinn,khiamchinn
khiǎm-tsînn,儉錢,25,khiǎm-chîⁿ,khiam6tsinn5,khiam6chinn5,khiamtsinn,khiamchinn
gām-bīn,儑面,25,gām-bīn,gam7bin7,gam7bin7,gambin,gambin
lû-ka,儒家,25,lû-ka,lu5ka1,lu5ka1,luka,luka
siông-huân,償還,25,siông-hoân,siong5huan5,siong5hoan5,sionghuan,sionghoan
iu-sìng,優勝,25,iu-sèng,iu1sing3,iu1seng3,iusing,iuseng
iu-huī,優惠,25,iu-hūi,iu1hui7,iu1hui7,iuhui,iuhui
iu-ī,優異,25,iu-ī,iu1i7,iu1i7,iui,iui
iu-siù,優秀,25,iu-siù,iu1siu3,iu1siu3,iusiu,iusiu
iu-bí,優美,25,iu-bí,iu1bi2,iu1bi2,iubi,iubi
iu-tsit,優質,25,iu-chit,iu1tsit4,iu1chit4,iutsit,iuchit
iu-ua̍t,優越,25,iu-oa̍t,iu1uat8,iu1oat8,iuuat,iuoat
iu-suán,優選,25,iu-soán,iu1suan2,iu1soan2,iusuan,iusoan
iu-ngá,優雅,25,iu-ngá,iu1nga2,iu1nga2,iunga,iunga
iu-tiám,優點,25,iu-tiám,iu1tiam2,iu1tiam2,iutiam,iutiam
thîr-thiok,儲蓄,25,thîr-thiok,thir5thiok4,thir5thiok4,thirthiok,thirthiok
sām-io,儳腰,25,sām-io,sam7io1,sam7io1,samio,samio
giám-ngī,儼硬,25,giám-ngī,giam2ngi7,giam2ngi7,giamngi,giamngi
guân-kiānn,元件,25,goân-kiāⁿ,guan5kiann7,goan5kiann7,guankiann,goankiann
guân-sîn,元神,25,goân-sîn,guan5sin5,goan5sin5,guansin,goansin
guân-ló,元老,25,goân-ló,guan5lo2,goan5lo2,guanlo,goanlo
guân-nóo,元老,25,goân-nó͘,guan5noo2,goan5noo2,guannoo,goannoo
guân-im,元音,25,goân-im,guan5im1,goan5im1,guanim,goanim
guân-siú,元首,25,goân-siú,guan5siu2,goan5siu2,guansiu,goansiu
hiann-sór,兄嫂,25,hiaⁿ-sór,hiann1sor2,hiann1sor2,hiannsor,hiannsor
hiann-tǐ,兄弟,25,hiaⁿ-tǐ,hiann1ti6,hiann1ti6,hiannti,hiannti
hing-tióng,兄長,25,heng-tióng,hing1tiong2,heng1tiong2,hingtiong,hengtiong
tshiong-kong,充公,25,chhiong-kong,tshiong1kong1,chhiong1kong1,tshiongkong,chhiongkong
tshiong-hun,充分,25,chhiong-hun,tshiong1hun1,chhiong1hun1,tshionghun,chhionghun
tshiong-si̍t,充實,25,chhiong-si̍t,tshiong1sit8,chhiong1sit8,tshiongsit,chhiongsit
tshiong-hiat,充血,25,chhiong-hiat,tshiong1hiat4,chhiong1hiat4,tshionghiat,chhionghiat
hiong-ok,兇惡,25,hiong-ok,hiong1ok4,hiong1ok4,hiongok,hiongok
hiong-siú,兇手,25,hiong-siú,hiong1siu2,hiong1siu2,hiongsiu,hiongsiu
hiong-kông,兇狂,25,hiong-kông,hiong1kong5,hiong1kong5,hiongkong,hiongkong
sian-lîn,先人,25,sian-lîn,sian1lin5,sian1lin5,sianlin,sianlin
sian-thian,先天,25,sian-thian,sian1thian1,sian1thian1,sianthian,sianthian
sian-bîn,先民,25,sian-bîn,sian1bin5,sian1bin5,sianbin,sianbin
sian-huat,先發,25,sian-hoat,sian1huat4,sian1hoat4,sianhuat,sianhoat
sian-kak,先覺,25,sian-kak,sian1kak4,sian1kak4,siankak,siankak
kong-ho̍k,光復,25,kong-ho̍k,kong1hok8,kong1hok8,konghok,konghok
kong-îng,光榮,25,kong-êng,kong1ing5,kong1eng5,konging,kongeng
kng-guân,光源,25,kng-goân,kng1guan5,kng1goan5,kngguan,knggoan
kong-tia̍p,光碟,25,kong-tia̍p,kong1tiap8,kong1tiap8,kongtiap,kongtiap
kong-lîm,光臨,25,kong-lîm,kong1lim5,kong1lim5,konglim,konglim
kong-bông,光芒,25,kong-bông,kong1bong5,kong1bong5,kongbong,kongbong
kng-bīn,光面,25,kng-bīn,kng1bin7,kng1bin7,kngbin,kngbin
kng-thâu,光頭,25,kng-thâu,kng1thau5,kng1thau5,kngthau,kngthau
khik-ho̍k,克服,25,khek-ho̍k,khik4hok8,khek4hok8,khikhok,khekhok
tuī-uānn,兌換,25,tūi-ōaⁿ,tui7uann7,tui7oann7,tuiuann,tuioann
bián-i̍k,免疫,25,bián-e̍k,bian2ik8,bian2ek8,bianik,bianek
bián-suè,免稅,25,bián-sòe,bian2sue3,bian2soe3,biansue,biansoe
bián-sè,免稅,25,bián-sè,bian2se3,bian2se3,bianse,bianse
bián-huì,免費,25,bián-hùi,bian2hui3,bian2hui3,bianhui,bianhui
bián-tû,免除,25,bián-tû,bian2tu5,bian2tu5,biantu,biantu
bián-kiann,免驚,25,bián-kiaⁿ,bian2kiann1,bian2kiann1,biankiann,biankiann
thòo-á,兔仔,25,thò͘-á,thoo3a2,thoo3a2,thooa,thooa
kin-sim,兢心,25,kin-sim,kin1sim1,kin1sim1,kinsim,kinsim
ji̍p-tsú,入主,25,ji̍p-chú,jip8tsu2,jip8chu2,jiptsu,jipchu
li̍p-tsú,入主,25,li̍p-chú,lip8tsu2,lip8chu2,liptsu,lipchu
ji̍p-ngóo,入伍,25,ji̍p-ngó͘,jip8ngoo2,jip8ngoo2,jipngoo,jipngoo
li̍p-ngóo,入伍,25,li̍p-ngó͘,lip8ngoo2,lip8ngoo2,lipngoo,lipngoo
li̍p-lâi,入來,25,li̍p-lâi,lip8lai5,lip8lai5,liplai,liplai
ji̍p-tshim,入侵,25,ji̍p-chhim,jip8tshim1,jip8chhim1,jiptshim,jipchhim
li̍p-tshim,入侵,25,li̍p-chhim,lip8tshim1,lip8chhim1,liptshim,lipchhim
li̍p-tshù,入厝,25,li̍p-chhù,lip8tshu3,lip8chhu3,liptshu,lipchhu
li̍p-khì,入去,25,li̍p-khì,lip8khi3,lip8khi3,lipkhi,lipkhi
ji̍p-kháu,入口,25,ji̍p-kháu,jip8khau2,jip8khau2,jipkhau,jipkhau
li̍p-kháu,入口,25,li̍p-kháu,lip8khau2,lip8khau2,lipkhau,lipkhau
ji̍p-uî,入圍,25,ji̍p-ûi,jip8ui5,jip8ui5,jipui,jipui
li̍p-uî,入圍,25,li̍p-ûi,lip8ui5,lip8ui5,lipui,lipui
ji̍p-thóo,入土,25,ji̍p-thó͘,jip8thoo2,jip8thoo2,jipthoo,jipthoo
li̍p-thóo,入土,25,li̍p-thó͘,lip8thoo2,lip8thoo2,lipthoo,lipthoo
li̍p-tiûnn,入場,25,li̍p-tiûⁿ,lip8tiunn5,lip8tiunn5,liptiunn,liptiunn
ji̍p-kíng,入境,25,ji̍p-kéng,jip8king2,jip8keng2,jipking,jipkeng
li̍p-kíng,入境,25,li̍p-kéng,lip8king2,lip8keng2,lipking,lipkeng
ji̍p-ha̍k,入學,25,ji̍p-ha̍k,jip8hak8,jip8hak8,jiphak,jiphak
ji̍p-o̍h,入學,25,ji̍p-o̍h,jip8oh8,jip8oh8,jipoh,jipoh
li̍p-ha̍k,入學,25,li̍p-ha̍k,lip8hak8,lip8hak8,liphak,liphak
li̍p-o̍h,入學,25,li̍p-o̍h,lip8oh8,lip8oh8,lipoh,lipoh
li̍p-sim,入心,25,li̍p-sim,lip8sim1,lip8sim1,lipsim,lipsim
ji̍p-kàu,入教,25,ji̍p-kàu,jip8kau3,jip8kau3,jipkau,jipkau
li̍p-kàu,入教,25,li̍p-kàu,lip8kau3,lip8kau3,lipkau,lipkau
ji̍p-huē,入會,25,ji̍p-hōe,jip8hue7,jip8hoe7,jiphue,jiphoe
li̍p-huē,入會,25,li̍p-hōe,lip8hue7,lip8hoe7,liphue,liphoe
ji̍p-bo̍k,入木,25,ji̍p-bo̍k,jip8bok8,jip8bok8,jipbok,jipbok
li̍p-bo̍k,入木,25,li̍p-bo̍k,lip8bok8,lip8bok8,lipbok,lipbok
ji̍p-liām,入殮,25,ji̍p-liām,jip8liam7,jip8liam7,jipliam,jipliam
li̍p-liām,入殮,25,li̍p-liām,lip8liam7,lip8liam7,lipliam,lipliam
ji̍p-káng,入港,25,ji̍p-káng,jip8kang2,jip8kang2,jipkang,jipkang
li̍p-káng,入港,25,li̍p-káng,lip8kang2,lip8kang2,lipkang,lipkang
ji̍p-ga̍k,入獄,25,ji̍p-ga̍k,jip8gak8,jip8gak8,jipgak,jipgak
li̍p-ga̍k,入獄,25,li̍p-ga̍k,lip8gak8,lip8gak8,lipgak,lipgak
ji̍p-ní,入耳,25,ji̍p-ní,jip8ni2,jip8ni2,jipni,jipni
li̍p-ní,入耳,25,li̍p-ní,lip8ni2,lip8ni2,lipni,lipni
ji̍p-siann,入聲,25,ji̍p-siaⁿ,jip8siann1,jip8siann1,jipsiann,jipsiann
li̍p-siann,入聲,25,li̍p-siaⁿ,lip8siann1,lip8siann1,lipsiann,lipsiann
ji̍p-kóo,入股,25,ji̍p-kó͘,jip8koo2,jip8koo2,jipkoo,jipkoo
li̍p-kóo,入股,25,li̍p-kó͘,lip8koo2,lip8koo2,lipkoo,lipkoo
ji̍p-suán,入選,25,ji̍p-soán,jip8suan2,jip8soan2,jipsuan,jipsoan
li̍p-suán,入選,25,li̍p-soán,lip8suan2,lip8soan2,lipsuan,lipsoan
li̍p-mn̂g,入門,25,li̍p-mn̂g,lip8mng5,lip8mng5,lipmng,lipmng
ji̍p-īnn,入院,25,ji̍p-īⁿ,jip8inn7,jip8inn7,jipinn,jipinn
li̍p-īnn,入院,25,li̍p-īⁿ,lip8inn7,lip8inn7,lipinn,lipinn
lāi-siong,內傷,25,lāi-siong,lai7siong1,lai7siong1,laisiong,laisiong
lāi-kong,內公,25,lāi-kong,lai7kong1,lai7kong1,laikong,laikong
lāi-bū,內務,25,lāi-bū,lai7bu7,lai7bu7,laibu,laibu
lāi-khîn,內勤,25,lāi-khîn,lai7khin5,lai7khin5,laikhin,laikhin
lāi-khûn,內勤,25,lāi-khûn,lai7khun5,lai7khun5,laikhun,laikhun
lāi-tiânn,內埕,25,lāi-tiâⁿ,lai7tiann5,lai7tiann5,laitiann,laitiann
lāi-tiûnn,內場,25,lāi-tiûⁿ,lai7tiunn5,lai7tiunn5,laitiunn,laitiunn
lāi-li̍k,內壢,25,lāi-le̍k,lai7lik8,lai7lek8,lailik,lailek
lāi-thò,內套,25,lāi-thò,lai7tho3,lai7tho3,laitho,laitho
lāi-lin,內奶,25,lāi-lin,lai7lin1,lai7lin1,lailin,lailin
lāi-ling,內奶,25,lāi-leng,lai7ling1,lai7leng1,lailing,laileng
lāi-ni,內奶,25,lāi-ni,lai7ni1,lai7ni1,laini,laini
lāi-má,內媽,25,lāi-má,lai7ma2,lai7ma2,laima,laima
lāi-sun,內孫,25,lāi-sun,lai7sun1,lai7sun1,laisun,laisun
lāi-ke,內家,25,lāi-ke,lai7ke1,lai7ke1,laike,laike
luē-bōo,內幕,25,lōe-bō͘,lue7boo7,loe7boo7,lueboo,loeboo
lāi-bōo,內幕,25,lāi-bō͘,lai7boo7,lai7boo7,laiboo,laiboo
lāi-teré,內底,25,lāi-tére,lai7tere2,lai7tere2,laitere,laitere
luē-sim,內心,25,lōe-sim,lue7sim1,loe7sim1,luesim,loesim
lāi-sim,內心,25,lāi-sim,lai7sim1,lai7sim1,laisim,laisim
lāi-tsiàn,內戰,25,lāi-chiàn,lai7tsian3,lai7chian3,laitsian,laichian
lāi-tsâi,內才,25,lāi-châi,lai7tsai5,lai7chai5,laitsai,laichai
luē-tsìng,內政,25,lōe-chèng,lue7tsing3,loe7cheng3,luetsing,loecheng
lāi-tsìng,內政,25,lāi-chèng,lai7tsing3,lai7cheng3,laitsing,laicheng
luē-hâm,內涵,25,lōe-hâm,lue7ham5,loe7ham5,lueham,loeham
lāi-uan,內灣,25,lāi-oan,lai7uan1,lai7oan1,laiuan,laioan
lāi-sai,內獅,25,lāi-sai,lai7sai1,lai7sai1,laisai,laisai
lāi-tī,內痔,25,lāi-tī,lai7ti7,lai7ti7,laiti,laiti
lāi-kho,內科,25,lāi-kho,lai7kho1,lai7kho1,laikho,laikho
luē-tsōng,內臟,25,lōe-chōng,lue7tsong7,loe7chong7,luetsong,loechong
lāi-sann,內衫,25,lāi-saⁿ,lai7sann1,lai7sann1,laisann,laisann
lāi-ki,內裾,25,lāi-ki,lai7ki1,lai7ki1,laiki,laiki
lāi-ku,內裾,25,lāi-ku,lai7ku1,lai7ku1,laiku,laiku
lāi-kak,內角,25,lāi-kak,lai7kak4,lai7kak4,laikak,laikak
lāi-iá,內野,25,lāi-iá,lai7ia2,lai7ia2,laiia,laiia
lāi-siau,內銷,25,lāi-siau,lai7siau1,lai7siau1,laisiau,laisiau
luē-koh,內閣,25,lōe-koh,lue7koh4,loe7koh4,luekoh,loekoh
lāi-koh,內閣,25,lāi-koh,lai7koh4,lai7koh4,laikoh,laikoh
lāi-lio̍k,內陸,25,lāi-lio̍k,lai7liok8,lai7liok8,lailiok,lailiok
tsuân-li̍k,全力,25,choân-le̍k,tsuan5lik8,choan5lek8,tsuanlik,choanlek
