hanzi,tl,frequency,poj
刣掉,thâi-tiāu,25,thâi-tiāu
利劍,lāi-kiàm,25,lāi-kiàm
刪除,san-tî,25,san-tî
刪除,san-tû,25,san-tû
制衡,tsè-hîng,25,chè-hêng
刺殺,tshì-sat,25,chhì-sat
前跤,tsîng-kha,25,chêng-kha
剪接,tsián-tsiap,25,chián-chiap
剪輯,tsián-tsi̍p,25,chián-chi̍p
劍術,kiàm-su̍t,25,kiàm-su̍t
加碼,ka-bé,25,ka-bé
助殺,tsōo-sat,25,chō͘-sat
勝投,sìng-tâu,25,sèng-tâu
勼排,kiu-pâi,25,kiu-pâi
匿名,li̍k-miâ,25,le̍k-miâ
半勝,puànn-sìng,25,pòaⁿ-sèng
半馬,puànn-má,25,pòaⁿ-má
協作,hia̍p-tsok,25,hia̍p-chok
南刀,lâm-to,25,lâm-to
南拳,lâm-kûn,25,lâm-kûn
南棍,lâm-kùn,25,lâm-kùn
卡粉,kha̍h-hún,25,kha̍h-hún
卵塔,nn̄g-thah,25,nn̄g-thah
卸妝,sià-tsong,25,sià-chong
厚妝,kāu-tsong,25,kāu-chong
厝貸,tshù-tāi,25,chhù-tāi
反向,huán-hiòng,25,hoán-hiòng
口碑,kháu-pi,25,kháu-pi
可送,khó-sòng,25,khó-sòng
司康,sir-kóng,25,sir-kóng
司康,su-kóng,25,su-kóng
合球,ha̍p-kiû,25,ha̍p-kiû
吊環,tiàu-khuân,25,tiàu-khoân
同步,tông-pōo,25,tông-pō͘
和絃,hô-hiân,25,hô-hiân
咖哩,ka-lí,25,ka-lí
品勢,phín-sè,25,phín-sè
啞鈴,à-lîng,25,à-lêng
啟用,khé-iōng,25,khé-iōng
單巡,tuann-sûn,25,toaⁿ-sûn
單打,tan-tánn,25,tan-táⁿ
單槓,tan-kǹg,25,tan-kǹg
回合,huê-ha̍p,25,hôe-ha̍p
回合,hê-ha̍p,25,hê-ha̍p
回沖,huê-tshiong,25,hôe-chhiong
回沖,hê-tshiong,25,hê-chhiong
圍棋,uî-kî,25,ûi-kî
圖示,tôo-sī,25,tô͘-sī
地板,tuē-pán,25,tōe-pán
地板,tē-pán,25,tē-pán
坦邊,thán-pinn,25,thán-piⁿ
場務,tiûnn-bū,25,tiûⁿ-bū
墜機,tuī-ki,25,tūi-ki
壁球,piah-kiû,25,piah-kiû
壓制,ap-tsè,25,ap-chè
壘包,luí-pau,25,lúi-pau
壘球,luí-kiû,25,lúi-kiû
壯遊,tsōng-iû,25,chōng-iû
壺鈴,ôo-lîng,25,ô͘-lêng
外遇,guā-gū,25,gōa-gū
外野,guā-iá,25,gōa-iá
大叉,tuā-tshah,25,tōa-chhah
大寫,tuā-siá,25,tōa-siá
大骨,tuā-kut,25,tōa-kut
大麥,tuā-be̍h,25,tōa-be̍h
失事,sit-sū,25,sit-sū
失分,sit-hun,25,sit-hun
失誤,sit-gōo,25,sit-gō͘
夾殺,kiap-sat,25,kiap-sat
奈米,nāi-bí,25,nāi-bí
奕手,ī-tshiú,25,ī-chhiú
奕跤,ī-kha,25,ī-kha
套用,thò-iōng,25,thò-iōng
套路,thò-lōo,25,thò-lō͘
奶泡,ling-pho,25,leng-pho
奶泡,ni-pho,25,ni-pho
奶酒,ling-tsiú,25,leng-chiú
奶酒,ni-tsiú,25,ni-chiú
好球,hó-kiû,25,hó-kiû
妨礙,hông-gāi,25,hông-gāi
字元,jī-guân,25,jī-goân
字元,lī-guân,25,lī-goân
存檔,tsûn-tóng,25,chûn-tóng
安入,an-ji̍p,25,an-ji̍p
安入,an-li̍p,25,an-li̍p
安打,an-tánn,25,an-táⁿ
完封,uân-hong,25,oân-hong
完投,uân-tâu,25,oân-tâu
定妝,tīng-tsong,25,tēng-chong
寄罪,kià-tsuē,25,kià-chōe
密碼,bi̍t-bé,25,bi̍t-bé
封殺,hong-sat,25,hong-sat
射擊,siā-kik,25,siā-kek
射正,siā-tsiànn,25,siā-chiàⁿ
射箭,siā-tsìnn,25,siā-chìⁿ
射門,siā-mn̂g,25,siā-mn̂g
對拍,tuì-phah,25,tùi-phah
小叉,sió-tshah,25,sió-chhah
小寫,sió-siá,25,sió-siá
尾氣,bué-khuì,25,bóe-khùi
尾氣,bé-khuì,25,bé-khùi
尾節,bué-tsat,25,bóe-chat
尾節,bé-tsat,25,bé-chat
山友,suann-iú,25,soaⁿ-iú
山球,suann-kiû,25,soaⁿ-kiû
山竹,suann-tik,25,soaⁿ-tek
崁名,khàm-miâ,25,khàm-miâ
巨集,kī-tsi̍p,25,kī-chi̍p
巨集,kū-tsi̍p,25,kū-chi̍p
