tl,hanzi,frequency,poj,tl_num,poj_num
sán-ká,產假,25,sán-ká,san2ka2,san2ka2
sán-kho,產科,25,sán-kho,san2kho,san2kho
lut-jīm,甪任,25,lut-jīm,lutjim7,lutjim7
lut-lin,甪奶,25,lut-lin,lutlin,lutlin
lut-ling,甪奶,25,lut-leng,lutling,lutleng
lut-ni,甪奶,25,lut-ni,lutni,lutni
lut-kuann,甪官,25,lut-koaⁿ,lutkuann,lutkoann
lut-tshiú,甪手,25,lut-chhiú,luttshiu2,lutchhiu2
lut-sak,甪捒,25,lut-sak,lutsak,lutsak
lut-tsit,甪職,25,lut-chit,luttsit,lutchit
lut-sian,甪鉎,25,lut-sian,lutsian,lutsian
lu̍t-sian,甪鉎,25,lu̍t-sian,lut8sian,lut8sian
tshân-kînn,田墘,25,chhân-kîⁿ,tshan5kinn5,chhan5kinn5
tshân-inn,田嬰,25,chhân-iⁿ,tshan5inn,chhan5inn
tshân-kìng,田徑,25,chhân-kèng,tshan5king3,chhan5keng3
tshân-pue,田桮,25,chhân-poe,tshan5pue,chhan5poe
tshân-iônn,田洋,25,chhân-iôⁿ,tshan5ionn5,chhan5ionn5
tshân-iûnn,田洋,25,chhân-iûⁿ,tshan5iunn5,chhan5iunn5
iû-î,由於,25,iû-î,iu5i5,iu5i5
kah-tiū,甲冑,25,kah-tiū,kahtiu7,kahtiu7
lâm-sú,男使,25,lâm-sú,lam5su2,lam5su2
lâm-iú,男友,25,lâm-iú,lam5iu2,lam5iu2
lâm-koân,男權,25,lâm-koân,lam5koan5,lam5koan5
uì-tông,畏同,25,ùi-tông,ui3tong5,ui3tong5
uì-kuânn,畏寒,25,ùi-kôaⁿ,ui3kuann5,ui3koann5
uì-lán,畏懶,25,ùi-lán,ui3lan2,ui3lan2
lâu-uē,留話,25,lâu-ōe,lau5ue7,lau5oe7
pùn-ki,畚箕,25,pùn-ki,pun3ki,pun3ki
huan-tē,番地,25,hoan-tē,huante7,hoante7
huan-kài,番界,25,hoan-kài,huankai3,hoankai3
huan-huan,番番,25,hoan-hoan,huanhuan,hoanhoan
huan-siā,番社,25,hoan-siā,huansia7,hoansia7
huan-kiunn,番薑,25,hoan-kiuⁿ,huankiunn,hoankiunn
huan-huè,番貨,25,hoan-hòe,huanhue3,hoanhoe3
huan-lōo,番路,25,hoan-lō͘,huanloo7,hoanloo7
huan-sé,番黍,25,hoan-sé,huanse2,hoanse2
huan-tshí,番鼠,25,hoan-chhí,huantshi2,hoanchhi2
uē-sian,畫仙,25,ōe-sian,ue7sian,oe7sian
uē-tsok,畫作,25,ōe-chok,ue7tsok,oe7chok
uē-sū,畫士,25,ōe-sū,ue7su7,oe7su7
uē-pún,畫本,25,ōe-pún,ue7pun2,oe7pun2
uē-khing,畫框,25,ōe-kheng,ue7khing,oe7kheng
uē-sòo,畫素,25,ōe-sò͘,ue7soo3,oe7soo3
ī-kàu,異教,25,ī-kàu,i7kau3,i7kau3
ī-kài,異界,25,ī-kài,i7kai3,i7kai3
ī-siōng,異象,25,ī-siōng,i7siong7,i7siong7
siâ-tso̍k,畲族,25,siâ-cho̍k,sia5tsok8,sia5chok8
tong-tshoo,當初,25,tong-chho͘,tongtshoo,tongchhoo
tǹg-ki,當機,25,tǹg-ki,tng3ki,tng3ki
tong-tshiong,當沖,25,tong-chhiong,tongtshiong,tongchhiong
tng-tong,當當,25,tng-tong,tngtong,tngtong
tǹg-phòo,當鋪,25,tǹg-phò͘,tng3phoo3,tng3phoo3
