hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge
大破,tuā-phuà,25,tōa-phòa,tua7phua3,toa7phoa3,tuaphua,toaphoa,tp,tp,True
大菁,tuā-tshinn,25,tōa-chhiⁿ,tua7tshinn,toa7chhinn,tuatshinn,toachhinn,tt,tc,True
大鏨,tuā-tsām,25,tōa-chām,tua7tsam7,toa7cham7,tuatsam,toacham,tt,tc,True
夾仔,ngeh-á,25,ngeh-á,ngeha2,ngeha2,ngeha,ngeha,na,na,True
夾枋,kiap-pang,25,kiap-pang,kiappang,kiappang,kiappang,kiappang,kp,kp,True
如意,jû-ì,25,jû-ì,ju5i3,ju5i3,jui,jui,ji,ji,True
定kô,tīng-kô,25,tēng-kô,ting7ko5,teng7ko5,tingko,tengko,tk,tk,True
定闊,tīng-khuah,25,tēng-khoah,ting7khuah,teng7khoah,tingkhuah,tengkhoah,tk,tk,True
寄線,kià-suànn,25,kià-sòaⁿ,kia3suann3,kia3soann3,kiasuann,kiasoann,ks,ks,True
寶扇,pó-sìnn,25,pó-sìⁿ,po2sinn3,po2sinn3,posinn,posinn,ps,ps,True
封帽,hong-bō,25,hong-bō,hongbo7,hongbo7,hongbo,hongbo,hb,hb,True
對破,tuì-phuà,25,tùi-phòa,tui3phua3,tui3phoa3,tuiphua,tuiphoa,tp,tp,True
小旦,sió-tuànn,25,sió-tòaⁿ,sio2tuann3,sio2toann3,siotuann,siotoann,st,st,True
小生,sió-sing,25,sió-seng,sio2sing,sio2seng,siosing,sioseng,ss,ss,True
小菁,sió-tshinn,25,sió-chhiⁿ,sio2tshinn,sio2chhinn,siotshinn,siochhinn,st,sc,True
尺鎚,tshioh-thuî,25,chhioh-thûi,tshiohthui5,chhiohthui5,tshiohthui,chhiohthui,tt,ct,True
屏風,pîn-hong,25,pîn-hong,pin5hong,pin5hong,pinhong,pinhong,ph,ph,True
巧雕,khá-tiau,25,khá-tiau,kha2tiau,kha2tiau,khatiau,khatiau,kt,kt,True
布枋,pòo-pang,25,pò͘-pang,poo3pang,poo3pang,poopang,poopang,pp,pp,True
布碖,pòo-lún,25,pò͘-lún,poo3lun2,poo3lun2,poolun,poolun,pl,pl,True
布袋,pòo-tē,25,pò͘-tē,poo3te7,poo3te7,poote,poote,pt,pt,True
帶鋸,tuà-kù,25,tòa-kù,tua3ku3,toa3ku3,tuaku,toaku,tk,tk,True
帶騎,tài-khiâ,25,tài-khiâ,tai3khia5,tai3khia5,taikhia,taikhia,tk,tk,True
帽仔,bō-á,25,bō-á,bo7a2,bo7a2,boa,boa,ba,ba,True
平尺,phînn-tshioh,25,phîⁿ-chhioh,phinn5tshioh,phinn5chhioh,phinntshioh,phinnchhioh,pt,pc,True
平枋,pênn-pang,25,pêⁿ-pang,penn5pang,penn5pang,pennpang,pennpang,pp,pp,True
幼破,iù-phuà,25,iù-phòa,iu3phua3,iu3phoa3,iuphua,iuphoa,ip,ip,True
幼胚,iù-phue,25,iù-phoe,iu3phue,iu3phoe,iuphue,iuphoe,ip,ip,True
幼蔥,iù-tshong,25,iù-chhong,iu3tshong,iu3chhong,iutshong,iuchhong,it,ic,True
幼針,iù-tsiam,25,iù-chiam,iu3tsiam,iu3chiam,iutsiam,iuchiam,it,ic,True
度針,tōo-tsiam,25,tō͘-chiam,too7tsiam,too7chiam,tootsiam,toochiam,tt,tc,True
