tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit,is_variant
nuā-sê,瀾垂,25,nōa-sê,nua7se5,noa7se5,nuase,noase,ns,ns,True,False
nuā-tshiu,瀾鬚,25,nōa-chhiu,nua7tshiu1,noa7chhiu1,nuatshiu,noachhiu,nt,nc,True,False
kuàn-ji̍p,灌入,25,koàn-ji̍p,kuan3jip8,koan3jip8,kuanjip,koanjip,kj,kj,True,False
kuàn-kháu,灌口,25,koàn-kháu,kuan3khau2,koan3khau2,kuankhau,koankhau,kk,kk,True,False
kuàn-tē,灌地,25,koàn-tē,kuan3te7,koan3te7,kuante,koante,kt,kt,True,False
kuàn-tiān,灌奠,25,koàn-tiān,kuan3tian7,koan3tian7,kuantian,koantian,kt,kt,True,False
kuàn-sái,灌屎,25,koàn-sái,kuan3sai2,koan3sai2,kuansai,koansai,ks,ks,True,False
kuàn-bo̍k,灌木,25,koàn-bo̍k,kuan3bok8,koan3bok8,kuanbok,koanbok,kb,kb,True,False
kuàn-tsuí,灌水,25,koàn-chúi,kuan3tsui2,koan3chui2,kuantsui,koanchui,kt,kc,True,False
kuàn-khài,灌溉,25,koàn-khài,kuan3khai3,koan3khai3,kuankhai,koankhai,kk,kk,True,False
kuàn-tsiunn,灌漿,25,koàn-chiuⁿ,kuan3tsiunn1,koan3chiunn1,kuantsiunn,koanchiunn,kt,kc,True,False
kuànn-kuànn,灌灌,25,kòaⁿ-kòaⁿ,kuann3kuann3,koann3koann3,kuannkuann,koannkoann,kk,kk,True,False
kuàn-kui,灌管,25,koàn-kui,kuan3kui1,koan3kui1,kuankui,koankui,kk,kk,True,False
kuàn-tn̂g,灌腸,25,koàn-tn̂g,kuan3tng5,koan3tng5,kuantng,koantng,kt,kt,True,False
kuàn-tshiâng,灌腸,25,koàn-chhiâng,kuan3tshiang5,koan3chhiang5,kuantshiang,koanchhiang,kt,kc,True,False
kuàn-lâng,灌膿,25,koàn-lâng,kuan3lang5,koan3lang5,kuanlang,koanlang,kl,kl,True,False
kuàn-io̍h,灌藥,25,koàn-io̍h,kuan3ioh8,koan3ioh8,kuanioh,koanioh,ki,ki,True,False
kuàn-iân,灌鉛,25,koàn-iân,kuan3ian5,koan3ian5,kuanian,koanian,ki,ki,True,False
kuàn-hong,灌風,25,koàn-hong,kuan3hong1,koan3hong1,kuanhong,koanhong,kh,kh,True,False
sá-liù,灑流,25,sá-liù,sa2liu3,sa2liu3,saliu,saliu,sl,sl,True,False
sa-thuat,灑脫,25,sa-thoat,sa1thuat4,sa1thoat4,sathuat,sathoat,st,st,True,False
thuann-tsuí,灘水,25,thoaⁿ-chúi,thuann1tsui2,thoann1chui2,thuanntsui,thoannchui,tt,tc,True,False
uann-ò,灣澳,25,oaⁿ-ò,uann1o3,oann1o3,uanno,oanno,uo,oo,True,False
uann-pinn,灣邊,25,oaⁿ-piⁿ,uann1pinn1,oann1pinn1,uannpinn,oannpinn,up,op,True,False
hé-hāng,火hāng,25,hé-hāng,he2hang7,he2hang7,hehang,hehang,hh,hh,True,False
hé-pû,火pû,25,hé-pû,he2pu5,he2pu5,hepu,hepu,hp,hp,True,False
hé-tsínn,火井,25,hé-chíⁿ,he2tsinn2,he2chinn2,hetsinn,hechinn,ht,hc,True,False
hé-siong,火傷,25,hé-siong,he2siong1,he2siong1,hesiong,hesiong,hs,hs,True,False
hé-kng,火光,25,hé-kng,he2kng1,he2kng1,hekng,hekng,hk,hk,True,False
hónn-kong,火光,25,hóⁿ-kong,honn2kong1,honn2kong1,honnkong,honnkong,hk,hk,True,False
hé-to,火刀,25,hé-to,he2to1,he2to1,heto,heto,ht,ht,True,False
hé-hîng,火刑,25,hé-hêng,he2hing5,he2heng5,hehing,heheng,hh,hh,True,False
hé-tshiah,火刺,25,hé-chhiah,he2tshiah4,he2chhiah4,hetshiah,hechhiah,ht,hc,True,False
hé-kiap,火劫,25,hé-kiap,he2kiap4,he2kiap4,hekiap,hekiap,hk,hk,True,False
hé-sè,火勢,25,hé-sè,he2se3,he2se3,hese,hese,hs,hs,True,False
hé-huà,火化,25,hé-hòa,he2hua3,he2hoa3,hehua,hehoa,hh,hh,True,False
hé-ìn,火印,25,hé-ìn,he2in3,he2in3,hein,hein,hi,hi,True,False
hé-eh,火厄,25,hé-eh,he2eh4,he2eh4,heeh,heeh,he,he,True,False
hé-âu,火喉,25,hé-âu,he2au5,he2au5,heau,heau,ha,ha,True,False
hé-khinn,火坑,25,hé-khiⁿ,he2khinn1,he2khinn1,hekhinn,hekhinn,hk,hk,True,False
hé-siânn,火城,25,hé-siâⁿ,he2siann5,he2siann5,hesiann,hesiann,hs,hs,True,False
hé-hu,火夫,25,hé-hu,he2hu1,he2hu1,hehu,hehu,hh,hh,True,False
hé-sái,火屎,25,hé-sái,he2sai2,he2sai2,hesai,hesai,hs,hs,True,False
hé-suann,火山,25,hé-soaⁿ,he2suann1,he2soann1,hesuann,hesoann,hs,hs,True,False
hé-kang,火工,25,hé-kang,he2kang1,he2kang1,hekang,hekang,hk,hk,True,False
hé-ín,火引,25,hé-ín,he2in2,he2in2,hein,hein,hi,hi,True,False
hé-iánn,火影,25,hé-iáⁿ,he2iann2,he2iann2,heiann,heiann,hi,hi,True,False
hé-ńg,火影,25,hé-ńg,he2ng2,he2ng2,heng,heng,hn,hn,True,False
hé-sìng,火性,25,hé-sèng,he2sing3,he2seng3,hesing,heseng,hs,hs,True,False
hé-khiat,火戛,25,hé-khiat,he2khiat4,he2khiat4,hekhiat,hekhiat,hk,hk,True,False
hé-pé,火把,25,hé-pé,he2pe2,he2pe2,hepe,hepe,hp,hp,True,False
hé-pue,火拔,25,hé-poe,he2pue1,he2poe1,hepue,hepoe,hp,hp,True,False
hé-tshit,火拭,25,hé-chhit,he2tshit4,he2chhit4,hetshit,hechhit,ht,hc,True,False
hué-thio,火挑,25,hóe-thio,hue2thio1,hoe2thio1,huethio,hoethio,ht,ht,True,False
hé-thio,火挑,25,hé-thio,he2thio1,he2thio1,hethio,hethio,ht,ht,True,False
hé-tshat,火擦,25,hé-chhat,he2tshat4,he2chhat4,hetshat,hechhat,ht,hc,True,False
hé-ōng,火旺,25,hé-ōng,he2ong7,he2ong7,heong,heong,ho,ho,True,False
hé-tshinn,火星,25,hé-chhiⁿ,he2tshinn1,he2chhinn1,hetshinn,hechhinn,ht,hc,True,False
hé-tshâ,火柴,25,hé-chhâ,he2tsha5,he2chha5,hetsha,hechha,ht,hc,True,False
hé-bú,火母,25,hé-bú,he2bu2,he2bu2,hebu,hebu,hb,hb,True,False
hé-kiû,火毬,25,hé-kiû,he2kiu5,he2kiu5,hekiu,hekiu,hk,hk,True,False
hé-khì,火氣,25,hé-khì,he2khi3,he2khi3,hekhi,hekhi,hk,hk,True,False
hé-iû,火油,25,hé-iû,he2iu5,he2iu5,heiu,heiu,hi,hi,True,False
hé-tshat,火漆,25,hé-chhat,he2tshat4,he2chhat4,hetshat,hechhat,ht,hc,True,False
hé-hu,火灰,25,hé-hu,he2hu1,he2hu1,hehu,hehu,hh,hh,True,False
hé-tsàu,火灶,25,hé-chàu,he2tsau3,he2chau3,hetsau,hechau,ht,hc,True,False
hé-tsai,火災,25,hé-chai,he2tsai1,he2chai1,hetsai,hechai,ht,hc,True,False
hé-iām,火炎,25,hé-iām,he2iam7,he2iam7,heiam,heiam,hi,hi,True,False
hé-thuànn,火炭,25,hé-thòaⁿ,he2thuann3,he2thoann3,hethuann,hethoann,ht,ht,True,False
hé-phàu,火炮,25,hé-phàu,he2phau3,he2phau3,hephau,hephau,hp,hp,True,False
hé-lo,火烙,25,hé-lo,he2lo1,he2lo1,helo,helo,hl,hl,True,False
hé-lōng,火烺,25,hé-lōng,he2long7,he2long7,helong,helong,hl,hl,True,False
hé-ian,火煙,25,hé-ian,he2ian1,he2ian1,heian,heian,hi,hi,True,False
hé-muî,火煤,25,hé-mûi,he2mui5,he2mui5,hemui,hemui,hm,hm,True,False
hé-hun,火燻,25,hé-hun,he2hun1,he2hun1,hehun,hehun,hh,hh,True,False
hé-lôo,火爐,25,hé-lô͘,he2loo5,he2loo5,heloo,heloo,hl,hl,True,False
hé-pâi,火牌,25,hé-pâi,he2pai5,he2pai5,hepai,hepai,hp,hp,True,False
hé-sai,火獅,25,hé-sai,he2sai1,he2sai1,hesai,hesai,hs,hs,True,False
hé-suān,火璇,25,hé-soān,he2suan7,he2soan7,hesuan,hesoan,hs,hs,True,False
hé-huat,火發,25,hé-hoat,he2huat4,he2hoat4,hehuat,hehoat,hh,hh,True,False
hé-phûn,火盆,25,hé-phûn,he2phun5,he2phun5,hephun,hephun,hp,hp,True,False
hé-tsio̍h,火石,25,hé-chio̍h,he2tsioh8,he2chioh8,hetsioh,hechioh,ht,hc,True,False
hé-uánn,火碗,25,hé-óaⁿ,he2uann2,he2oann2,heuann,heoann,hu,ho,True,False
hé-sîn,火神,25,hé-sîn,he2sin5,he2sin5,hesin,hesin,hs,hs,True,False
hé-phiò,火票,25,hé-phiò,he2phio3,he2phio3,hephio,hephio,hp,hp,True,False
hé-tsíng,火種,25,hé-chéng,he2tsing2,he2cheng2,hetsing,hecheng,ht,hc,True,False
hé-lang,火窓,25,hé-lang,he2lang1,he2lang1,helang,helang,hl,hl,True,False
hé-thang,火窗,25,hé-thang,he2thang1,he2thang1,hethang,hethang,ht,ht,True,False
hé-ngueh,火筴,25,hé-ngoeh,he2ngueh4,he2ngoeh4,hengueh,hengoeh,hn,hn,True,False
hé-khoo,火箍,25,hé-kho͘,he2khoo1,he2khoo1,hekhoo,hekhoo,hk,hk,True,False
hé-tshê,火箠,25,hé-chhê,he2tshe5,he2chhe5,hetshe,hechhe,ht,hc,True,False
hé-kńg,火管,25,hé-kńg,he2kng2,he2kng2,hekng,hekng,hk,hk,True,False
hé-tsìnn,火箭,25,hé-chìⁿ,he2tsinn3,he2chinn3,hetsinn,hechinn,ht,hc,True,False
hé-tī,火箸,25,hé-tī,he2ti7,he2ti7,heti,heti,ht,ht,True,False
hé-tshiam,火籤,25,hé-chhiam,he2tshiam1,he2chhiam1,hetshiam,hechhiam,ht,hc,True,False
hé-ká,火絞,25,hé-ká,he2ka2,he2ka2,heka,heka,hk,hk,True,False
hé-mî,火綿,25,hé-mî,he2mi5,he2mi5,hemi,hemi,hm,hm,True,False
hé-kuàn,火罐,25,hé-koàn,he2kuan3,he2koan3,hekuan,hekoan,hk,hk,True,False
hé-thuí,火腿,25,hé-thúi,he2thui2,he2thui2,hethui,hethui,ht,ht,True,False
hé-tsi̍h,火舌,25,hé-chi̍h,he2tsih8,he2chih8,hetsih,hechih,ht,hc,True,False
hé-tsûn,火船,25,hé-chûn,he2tsun5,he2chun5,hetsun,hechun,ht,hc,True,False
hé-hiānn,火艾,25,hé-hiāⁿ,he2hiann7,he2hiann7,hehiann,hehiann,hh,hh,True,False
hé-hue,火花,25,hé-hoe,he2hue1,he2hoe1,hehue,hehoe,hh,hh,True,False
hé-tsòng,火葬,25,hé-chòng,he2tsong3,he2chong3,hetsong,hechong,ht,hc,True,False
hé-io̍h,火藥,25,hé-io̍h,he2ioh8,he2ioh8,heioh,heioh,hi,hi,True,False
hé-hō,火號,25,hé-hō,he2ho7,he2ho7,heho,heho,hh,hh,True,False
hé-lōo,火路,25,hé-lō͘,he2loo7,he2loo7,heloo,heloo,hl,hl,True,False
hé-tshia,火車,25,hé-chhia,he2tshia1,he2chhia1,hetshia,hechhia,ht,hc,True,False
hé-sok,火速,25,hé-sok,he2sok4,he2sok4,hesok,hesok,hs,hs,True,False
hé-tūn,火遁,25,hé-tūn,he2tun7,he2tun7,hetun,hetun,ht,ht,True,False
hé-tsiú,火酒,25,hé-chiú,he2tsiu2,he2chiu2,hetsiu,hechiu,ht,hc,True,False
hé-tsiò,火醮,25,hé-chiò,he2tsio3,he2chio3,hetsio,hechio,ht,hc,True,False
hé-khînn,火鉗,25,hé-khîⁿ,he2khinn5,he2khinn5,hekhinn,hekhinn,hk,hk,True,False
hé-ko,火鍋,25,hé-ko,he2ko1,he2ko1,heko,heko,hk,hk,True,False
hé-kiànn,火鏡,25,hé-kiàⁿ,he2kiann3,he2kiann3,hekiann,hekiann,hk,hk,True,False
hé-kuan,火關,25,hé-koan,he2kuan1,he2koan1,hekuan,hekoan,hk,hk,True,False
hé-kue,火雞,25,hé-koe,he2kue1,he2koe1,hekue,hekoe,hk,hk,True,False
hé-luî,火雷,25,hé-lûi,he2lui5,he2lui5,helui,helui,hl,hl,True,False
hé-thâu,火頭,25,hé-thâu,he2thau5,he2thau5,hethau,hethau,ht,ht,True,False
hé-bé,火馬,25,hé-bé,he2be2,he2be2,hebe,hebe,hb,hb,True,False
hé-tshiu,火鬚,25,hé-chhiu,he2tshiu1,he2chhiu1,hetshiu,hechhiu,ht,hc,True,False
hé-khau,火鬮,25,hé-khau,he2khau1,he2khau1,hekhau,hekhau,hk,hk,True,False
hé-hî,火魚,25,hé-hî,he2hi5,he2hi5,hehi,hehi,hh,hh,True,False
hé-tiánn,火鼎,25,hé-tiáⁿ,he2tiann2,he2tiann2,hetiann,hetiann,ht,ht,True,False
hé-tshú,火鼠,25,hé-chhú,he2tshu2,he2chhu2,hetshu,hechhu,ht,hc,True,False
hé-lîng,火龍,25,hé-lêng,he2ling5,he2leng5,heling,heleng,hl,hl,True,False
he-phiánn,灰phiánn,25,he-phiáⁿ,he1phiann2,he1phiann2,hephiann,hephiann,hp,hp,True,False
he-pau,灰包,25,he-pau,he1pau1,he1pau1,hepau,hepau,hp,hp,True,False
he-sî,灰匙,25,he-sî,he1si5,he1si5,hesi,hesi,hs,hs,True,False
he-thôo,灰土,25,he-thô͘,he1thoo5,he1thoo5,hethoo,hethoo,ht,ht,True,False
he-piah,灰壁,25,he-piah,he1piah4,he1piah4,hepiah,hepiah,hp,hp,True,False
he-khòng,灰壙,25,he-khòng,he1khong3,he1khong3,hekhong,hekhong,hk,hk,True,False
he-liâu,灰寮,25,he-liâu,he1liau5,he1liau5,heliau,heliau,hl,hl,True,False
he-phí,灰庀,25,he-phí,he1phi2,he1phi2,hephi,hephi,hp,hp,True,False
he-phâng,灰棒,25,he-phâng,he1phang5,he1phang5,hephang,hephang,hp,hp,True,False
he-thuî,灰槌,25,he-thûi,he1thui5,he1thui5,hethui,hethui,ht,ht,True,False
he-tsuí,灰水,25,he-chúi,he1tsui2,he1chui2,hetsui,hechui,ht,hc,True,False
he-tshat,灰漆,25,he-chhat,he1tshat4,he1chhat4,hetshat,hechhat,ht,hc,True,False
hu-hu,灰灰,25,hu-hu,hu1hu1,hu1hu1,huhu,huhu,hh,hh,True,False
hua-hua,灰灰,25,hoa-hoa,hua1hua1,hoa1hoa1,huahua,hoahoa,hh,hh,True,False
he-tsio̍h,灰石,25,he-chio̍h,he1tsioh8,he1chioh8,hetsioh,hechioh,ht,hc,True,False
he-iô,灰窯,25,he-iô,he1io5,he1io5,heio,heio,hi,hi,True,False
he-hún,灰粉,25,he-hún,he1hun2,he1hun2,hehun,hehun,hh,hh,True,False
he-sik,灰色,25,he-sek,he1sik4,he1sek4,hesik,hesek,hs,hs,True,False
he-tsuā,灰行,25,he-chōa,he1tsua7,he1choa7,hetsua,hechoa,ht,hc,True,False
he-thâu,灰頭,25,he-thâu,he1thau5,he1thau5,hethau,hethau,ht,ht,True,False
he-ku,灰龜,25,he-ku,he1ku1,he1ku1,heku,heku,hk,hk,True,False
tsàu-á,灶仔,25,chàu-á,tsau3a2,chau3a2,tsaua,chaua,ta,ca,True,False
tsàu-kun,灶君,25,chàu-kun,tsau3kun1,chau3kun1,tsaukun,chaukun,tk,ck,True,False
tsàu-khang,灶孔,25,chàu-khang,tsau3khang1,chau3khang1,tsaukhang,chaukhang,tk,ck,True,False
tsàu-pînn,灶棚,25,chàu-pîⁿ,tsau3pinn5,chau3pinn5,tsaupinn,chaupinn,tp,cp,True,False
tsàu-tōng,灶洞,25,chàu-tōng,tsau3tong7,chau3tong7,tsautong,chautong,tt,ct,True,False
tsàu-hé,灶火,25,chàu-hé,tsau3he2,chau3he2,tsauhe,chauhe,th,ch,True,False
tsàu-sîn,灶神,25,chàu-sîn,tsau3sin5,chau3sin5,tsausin,chausin,ts,cs,True,False
tsàu-kha,灶腳,25,chàu-kha,tsau3kha1,chau3kha1,tsaukha,chaukha,tk,ck,True,True
tsàu-mn̂g,灶門,25,chàu-mn̂g,tsau3mng5,chau3mng5,tsaumng,chaumng,tm,cm,True,False
tsàu-kue,灶雞,25,chàu-koe,tsau3kue1,chau3koe1,tsaukue,chaukoe,tk,ck,True,False
tsàu-hia̍h,灶額,25,chàu-hia̍h,tsau3hiah8,chau3hiah8,tsauhiah,chauhiah,th,ch,True,False
tsàu-bé,灶馬,25,chàu-bé,tsau3be2,chau3be2,tsaube,chaube,tb,cb,True,False
kù-hun,灸薰,25,kù-hun,ku3hun1,ku3hun1,kuhun,kuhun,kh,kh,True,False
tsioh-tsioh,灼灼,25,chioh-chioh,tsioh4tsioh4,chioh4chioh4,tsiohtsioh,chiohchioh,tt,cc,True,False
tsiò-tsiò,灼灼,25,chiò-chiò,tsio3tsio3,chio3chio3,tsiotsio,chiochio,tt,cc,True,False
tsai-eh,災厄,25,chai-eh,tsai1eh4,chai1eh4,tsaieh,chaieh,te,ce,True,False
tsai-hāi,災害,25,chai-hāi,tsai1hai7,chai1hai7,tsaihai,chaihai,th,ch,True,False
tsai-iong,災殃,25,chai-iong,tsai1iong1,chai1iong1,tsaiiong,chaiiong,ti,ci,True,False
tsai-hō,災禍,25,chai-hō,tsai1ho7,chai1ho7,tsaiho,chaiho,th,ch,True,False
tsai-ē,災禍,25,chai-ē,tsai1e7,chai1e7,tsaie,chaie,te,ce,True,False
tsai-lān,災難,25,chai-lān,tsai1lan7,chai1lan7,tsailan,chailan,tl,cl,True,False
tshe-poo,炊poo,25,chhe-po͘,tshe1poo1,chhe1poo1,tshepoo,chhepoo,tp,cp,True,False
tshe-kun,炊巾,25,chhe-kun,tshe1kun1,chhe1kun1,tshekun,chhekun,tk,ck,True,False
tshe-sn̂g,炊床,25,chhe-sn̂g,tshe1sng5,chhe1sng5,tshesng,chhesng,ts,cs,True,False
tshe-táu,炊斗,25,chhe-táu,tshe1tau2,chhe1tau2,tshetau,chhetau,tt,ct,True,False
tshe-tháng,炊桶,25,chhe-tháng,tshe1thang2,chhe1thang2,tshethang,chhethang,tt,ct,True,False
tshe-tshe,炊炊,25,chhe-chhe,tshe1tshe1,chhe1chhe1,tshetshe,chhechhe,tt,cc,True,False
tshe-ké,炊粿,25,chhe-ké,tshe1ke2,chhe1ke2,tsheke,chheke,tk,ck,True,False
tshe-pn̄g,炊飯,25,chhe-pn̄g,tshe1png7,chhe1png7,tshepng,chhepng,tp,cp,True,False
tshe-hî,炊魚,25,chhe-hî,tshe1hi5,chhe1hi5,tshehi,chhehi,th,ch,True,False
tshe-ku,炊龜,25,chhe-ku,tshe1ku1,chhe1ku1,tsheku,chheku,tk,ck,True,False
iām-hā,炎夏,25,iām-hā,iam7ha7,iam7ha7,iamha,iamha,ih,ih,True,False
iām-thian,炎天,25,iām-thian,iam7thian1,iam7thian1,iamthian,iamthian,it,it,True,False
iām-thinn,炎天,25,iām-thiⁿ,iam7thinn1,iam7thinn1,iamthinn,iamthinn,it,it,True,False
iām-sú,炎暑,25,iām-sú,iam7su2,iam7su2,iamsu,iamsu,is,is,True,False
iām-iām,炎炎,25,iām-iām,iam7iam7,iam7iam7,iamiam,iamiam,ii,ii,True,False
tshá-liāu,炒料,25,chhá-liāu,tsha2liau7,chha2liau7,tshaliau,chhaliau,tl,cl,True,False
tshá-tê,炒茶,25,chhá-tê,tsha2te5,chha2te5,tshate,chhate,tt,ct,True,False
tshá-mī,炒麵,25,chhá-mī,tsha2mi7,chha2mi7,tshami,chhami,tm,cm,True,False
khòng-thng,炕湯,25,khòng-thng,khong3thng1,khong3thng1,khongthng,khongthng,kt,kt,True,False
khòng-khòng,炕炕,25,khòng-khòng,khong3khong3,khong3khong3,khongkhong,khongkhong,kk,kk,True,False
khòng-bah,炕肉,25,khòng-bah,khong3bah4,khong3bah4,khongbah,khongbah,kb,kb,True,False
khòng-tshài,炕菜,25,khòng-chhài,khong3tshai3,khong3chhai3,khongtshai,khongchhai,kt,kc,True,False
kòng-tsû,炕薯,25,kòng-chû,kong3tsu5,kong3chu5,kongtsu,kongchu,kt,kc,True,False
khòng-tuê,炕蹄,25,khòng-tôe,khong3tue5,khong3toe5,khongtue,khongtoe,kt,kt,True,False
tsià-kî,炙耆,25,chià-kî,tsia3ki5,chia3ki5,tsiaki,chiaki,tk,ck,True,False
tsià-tshó,炙草,25,chià-chhó,tsia3tsho2,chia3chho2,tsiatsho,chiachho,tt,cc,True,False
thuànn-uân,炭丸,25,thòaⁿ-oân,thuann3uan5,thoann3oan5,thuannuan,thoannoan,tu,to,True,False
thuànn-sái,炭屎,25,thòaⁿ-sái,thuann3sai2,thoann3sai2,thuannsai,thoannsai,ts,ts,True,False
thuànn-iù,炭幼,25,thòaⁿ-iù,thuann3iu3,thoann3iu3,thuanniu,thoanniu,ti,ti,True,False
thuànn-bua̍h,炭末,25,thòaⁿ-boa̍h,thuann3buah8,thoann3boah8,thuannbuah,thoannboah,tb,tb,True,False
thàn-khì,炭氣,25,thàn-khì,than3khi3,than3khi3,thankhi,thankhi,tk,tk,True,False
thuànn-hé,炭火,25,thòaⁿ-hé,thuann3he2,thoann3he2,thuannhe,thoannhe,th,th,True,False
thuànn-hu,炭灰,25,thòaⁿ-hu,thuann3hu1,thoann3hu1,thuannhu,thoannhu,th,th,True,False
thuànn-tsau,炭焦,25,thòaⁿ-chau,thuann3tsau1,thoann3chau1,thuanntsau,thoannchau,tt,tc,True,False
thuànn-khòng,炭礦,25,thòaⁿ-khòng,thuann3khong3,thoann3khong3,thuannkhong,thoannkhong,tk,tk,True,False
thuànn-iô,炭窯,25,thòaⁿ-iô,thuann3io5,thoann3io5,thuannio,thoannio,ti,ti,True,False
thuànn-bê,炭糜,25,thòaⁿ-bê,thuann3be5,thoann3be5,thuannbe,thoannbe,tb,tb,True,False
thuànn-sòo,炭素,25,thòaⁿ-sò͘,thuann3soo3,thoann3soo3,thuannsoo,thoannsoo,ts,ts,True,False
thuànn-thâu,炭頭,25,thòaⁿ-thâu,thuann3thau5,thoann3thau5,thuannthau,thoannthau,tt,tt,True,False
phàu-á,炮仔,25,phàu-á,phau3a2,phau3a2,phaua,phaua,pa,pa,True,False
phàu-siong,炮傷,25,phàu-siong,phau3siong1,phau3siong1,phausiong,phausiong,ps,ps,True,False
phàu-tâi,炮台,25,phàu-tâi,phau3tai5,phau3tai5,phautai,phautai,pt,pt,True,False
phàu-siânn,炮城,25,phàu-siâⁿ,phau3siann5,phau3siann5,phausiann,phausiann,ps,ps,True,False
pàu-tsí,炮子,25,pàu-chí,pau3tsi2,pau3chi2,pautsi,pauchi,pt,pc,True,False
phàu-siú,炮手,25,phàu-siú,phau3siu2,phau3siu2,phausiu,phausiu,ps,ps,True,False
phàu-tshiú,炮手,25,phàu-chhiú,phau3tshiu2,phau3chhiu2,phautshiu,phauchhiu,pt,pc,True,False
phàu-kè,炮架,25,phàu-kè,phau3ke3,phau3ke3,phauke,phauke,pk,pk,True,False
phàu-tshiûnn,炮牆,25,phàu-chhiûⁿ,phau3tshiunn5,phau3chhiunn5,phautshiunn,phauchhiunn,pt,pc,True,False
phàu-tsûn,炮船,25,phàu-chûn,phau3tsun5,phau3chun5,phautsun,phauchun,pt,pc,True,False
phàu-siú,炮首,25,phàu-siú,phau3siu2,phau3siu2,phausiu,phausiu,ps,ps,True,False
pû-pû,炰炰,25,pû-pû,pu5pu5,pu5pu5,pupu,pupu,pp,pp,True,False
tshū-tshinn,炷星,25,chhū-chhiⁿ,tshu7tshinn1,chhu7chhinn1,tshutshinn,chhuchhinn,tt,cc,True,False
tshū-siau,炷硝,25,chhū-siau,tshu7siau1,chhu7siau1,tshusiau,chhusiau,ts,cs,True,False
tshū-tshìng,炷銃,25,chhū-chhèng,tshu7tshing3,chhu7chheng3,tshutshing,chhuchheng,tt,cc,True,False
tshū-thih,炷鐵,25,chhū-thih,tshu7thih4,chhu7thih4,tshuthih,chhuthih,tt,ct,True,False
tsà-tân,炸彈,25,chà-tân,tsa3tan5,cha3tan5,tsatan,chatan,tt,ct,True,False
tsà-phàu,炸砲,25,chà-phàu,tsa3phau3,cha3phau3,tsaphau,chaphau,tp,cp,True,False
tsà-io̍h,炸藥,25,chà-io̍h,tsa3ioh8,cha3ioh8,tsaioh,chaioh,ti,ci,True,False
tsà-kue,炸雞,25,chà-koe,tsa3kue1,cha3koe1,tsakue,chakoe,tk,ck,True,False
uî-tiong,為中,25,ûi-tiong,ui5tiong1,ui5tiong1,uitiong,uitiong,ut,ut,True,False
uî-sū,為事,25,ûi-sū,ui5su7,ui5su7,uisu,uisu,us,us,True,False
kā-lâng,為人,25,kā-lâng,ka7lang5,ka7lang5,kalang,kalang,kl,kl,True,False
uî-jîn,為人,25,ûi-jîn,ui5jin5,ui5jin5,uijin,uijin,uj,uj,True,False
uī-jîn,為人,25,ūi-jîn,ui7jin5,ui7jin5,uijin,uijin,uj,uj,True,False
uī-lâng,為人,25,ūi-lâng,ui7lang5,ui7lang5,uilang,uilang,ul,ul,True,False
kā-i,為伊,25,kā-i,ka7i1,ka7i1,kai,kai,ki,ki,True,False
uī-bîng,為名,25,ūi-bêng,ui7bing5,ui7beng5,uibing,uibeng,ub,ub,True,False
uî-siān,為善,25,ûi-siān,ui5sian7,ui5sian7,uisian,uisian,us,us,True,False
uī-kok,為國,25,ūi-kok,ui7kok4,ui7kok4,uikok,uikok,uk,uk,True,False
uî-kuan,為官,25,ûi-koan,ui5kuan1,ui5koan1,uikuan,uikoan,uk,uk,True,False
uî-pîn,為憑,25,ûi-pîn,ui5pin5,ui5pin5,uipin,uipin,up,up,True,False
uî-thè,為替,25,ûi-thè,ui5the3,ui5the3,uithe,uithe,ut,ut,True,False
uî-tsí,為止,25,ûi-chí,ui5tsi2,ui5chi2,uitsi,uichi,ut,uc,True,False
uī-tshú,為此,25,ūi-chhú,ui7tshu2,ui7chhu2,uitshu,uichhu,ut,uc,True,False
uî-tsún,為準,25,ûi-chún,ui5tsun2,ui5chun2,uitsun,uichun,ut,uc,True,False
uî-kài,為界,25,ûi-kài,ui5kai3,ui5kai3,uikai,uikai,uk,uk,True,False
uî-thai,為胎,25,ûi-thai,ui5thai1,ui5thai1,uithai,uithai,ut,ut,True,False
uī-tio̍h,為著,25,ūi-tio̍h,ui7tioh8,ui7tioh8,uitioh,uitioh,ut,ut,True,False
uî-kì,為記,25,ûi-kì,ui5ki3,ui5ki3,uiki,uiki,uk,uk,True,False
uî-tsìng,為證,25,ûi-chèng,ui5tsing3,ui5cheng3,uitsing,uicheng,ut,uc,True,False
uî-kàm,為鑑,25,ûi-kàm,ui5kam3,ui5kam3,uikam,uikam,uk,uk,True,False
uî-hān,為限,25,ûi-hān,ui5han7,ui5han7,uihan,uihan,uh,uh,True,False
uî-lân,為難,25,ûi-lân,ui5lan5,ui5lan5,uilan,uilan,ul,ul,True,False
lia̍t-lú,烈女,25,lia̍t-lú,liat8lu2,liat8lu2,liatlu,liatlu,ll,ll,True,False
lia̍t-hū,烈婦,25,lia̍t-hū,liat8hu7,liat8hu7,liathu,liathu,lh,lh,True,False
lia̍t-hong,烈風,25,lia̍t-hong,liat8hong1,liat8hong1,liathong,liathong,lh,lh,True,False
oo-tship,烏chhip,25,o͘-chhip,oo1tship4,oo1chhip4,ootship,oochhip,ot,oc,True,False
