tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit,is_variant
siú-hūn,守分,25,siú-hūn,siu2hun7,siu2hun7,siuhun,siuhun,sh,sh,True,False
siú-tsè,守制,25,siú-chè,siu2tse3,siu2che3,siutse,siuche,st,sc,True,False
siú-siânn,守城,25,siú-siâⁿ,siu2siann5,siu2siann5,siusiann,siusiann,ss,ss,True,False
tsiú-siânn,守城,25,chiú-siâⁿ,tsiu2siann5,chiu2siann5,tsiusiann,chiusiann,ts,cs,True,False
tsiú-bōng,守墓,25,chiú-bōng,tsiu2bong7,chiu2bong7,tsiubong,chiubong,tb,cb,True,False
siú-hà,守孝,25,siú-hà,siu2ha3,siu2ha3,siuha,siuha,sh,sh,True,False
siú-siú,守守,25,siú-siú,siu2siu2,siu2siu2,siusiu,siusiu,ss,ss,True,False
siú-kiong,守宮,25,siú-kiong,siu2kiong1,siu2kiong1,siukiong,siukiong,sk,sk,True,False
siú-kuánn,守寡,25,siú-kóaⁿ,siu2kuann2,siu2koann2,siukuann,siukoann,sk,sk,True,False
tsiú-kuánn,守寡,25,chiú-kóaⁿ,tsiu2kuann2,chiu2koann2,tsiukuann,chiukoann,tk,ck,True,False
siú-kí,守己,25,siú-kí,siu2ki2,siu2ki2,siuki,siuki,sk,sk,True,False
siú-sîng,守成,25,siú-sêng,siu2sing5,siu2seng5,siusing,siuseng,ss,ss,True,False
tsiú-àm,守暗,25,chiú-àm,tsiu2am3,chiu2am3,tsiuam,chiuam,ta,ca,True,False
tsiú-mî,守暝,25,chiú-mî,tsiu2mi5,chiu2mi5,tsiumi,chiumi,tm,cm,True,False
tsiú-kinn,守更,25,chiú-kiⁿ,tsiu2kinn1,chiu2kinn1,tsiukinn,chiukinn,tk,ck,True,False
siú-huat,守法,25,siú-hoat,siu2huat4,siu2hoat4,siuhuat,siuhoat,sh,sh,True,False
siú-gū,守禦,25,siú-gū,siu2gu7,siu2gu7,siugu,siugu,sg,sg,True,False
siú-tsiat,守節,25,siú-chiat,siu2tsiat4,siu2chiat4,siutsiat,siuchiat,st,sc,True,False
tsiú-tsiat,守節,25,chiú-chiat,tsiu2tsiat4,chiu2chiat4,tsiutsiat,chiuchiat,tt,cc,True,False
siú-iok,守約,25,siú-iok,siu2iok4,siu2iok4,siuiok,siuiok,si,si,True,False
siú-tsit,守職,25,siú-chit,siu2tsit4,siu2chit4,siutsit,siuchit,st,sc,True,False
siú-kiū,守舊,25,siú-kiū,siu2kiu7,siu2kiu7,siukiu,siukiu,sk,sk,True,False
siú-uē,守衛,25,siú-ōe,siu2ue7,siu2oe7,siuue,siuoe,su,so,True,False
siú-hōo,守護,25,siú-hō͘,siu2hoo7,siu2hoo7,siuhoo,siuhoo,sh,sh,True,False
tsiú-tsha̍t,守賊,25,chiú-chha̍t,tsiu2tshat8,chiu2chhat8,tsiutshat,chiuchhat,tt,cc,True,False
siú-pian,守邊,25,siú-pian,siu2pian1,siu2pian1,siupian,siupian,sp,sp,True,False
siú-phoo,守鋪,25,siú-pho͘,siu2phoo1,siu2phoo1,siuphoo,siuphoo,sp,sp,True,False
tsiú-phoo,守鋪,25,chiú-pho͘,tsiu2phoo1,chiu2phoo1,tsiuphoo,chiuphoo,tp,cp,True,False
siú-tsînn,守錢,25,siú-chîⁿ,siu2tsinn5,siu2chinn5,siutsinn,siuchinn,st,sc,True,False
tsiú-mn̂g,守門,25,chiú-mn̂g,tsiu2mng5,chiu2mng5,tsiumng,chiumng,tm,cm,True,False
siú-kuan,守關,25,siú-koan,siu2kuan1,siu2koan1,siukuan,siukoan,sk,sk,True,False
siú-kòo,守顧,25,siú-kò͘,siu2koo3,siu2koo3,siukoo,siukoo,sk,sk,True,False
tsiú-kòo,守顧,25,chiú-kò͘,tsiu2koo3,chiu2koo3,tsiukoo,chiukoo,tk,ck,True,False
an-gîm,安gîm,25,an-gîm,an1gim5,an1gim5,angim,angim,ag,ag,True,False
an-hē,安下,25,an-hē,an1he7,an1he7,anhe,anhe,ah,ah,True,False
an-jîn,安人,25,an-jîn,an1jin5,an1jin5,anjin,anjin,aj,aj,True,False
an-uī,安位,25,an-ūi,an1ui7,an1ui7,anui,anui,au,au,True,False
an-tsuân,安全,25,an-choân,an1tsuan5,an1choan5,antsuan,anchoan,at,ac,True,False
an-pat,安八,25,an-pat,an1pat4,an1pat4,anpat,anpat,ap,ap,True,False
an-hūn,安分,25,an-hūn,an1hun7,an1hun7,anhun,anhun,ah,ah,True,True
an-lâm,安南,25,an-lâm,an1lam5,an1lam5,anlam,anlam,al,al,True,False
an-guî,安危,25,an-gûi,an1gui5,an1gui5,angui,angui,ag,ag,True,False
an-thôo,安土,25,an-thô͘,an1thoo5,an1thoo5,anthoo,anthoo,at,at,True,False
an-tshiám,安塹,25,an-chhiám,an1tshiam2,an1chhiam2,antshiam,anchhiam,at,ac,True,False
an-the̍h,安宅,25,an-the̍h,an1theh8,an1theh8,antheh,antheh,at,at,True,False
an-an,安安,25,an-an,an1an1,an1an1,anan,anan,aa,aa,True,False
an-ka,安家,25,an-ka,an1ka1,an1ka1,anka,anka,ak,ak,True,False
an-lîng,安寧,25,an-lêng,an1ling5,an1leng5,anling,anleng,al,al,True,False
an-tsē,安寨,25,an-chē,an1tse7,an1che7,antse,anche,at,ac,True,False
an-pîng,安平,25,an-pêng,an1ping5,an1peng5,anping,anpeng,ap,ap,True,False
an-tshn̂g,安床,25,an-chhn̂g,an1tshng5,an1chhng5,antshng,anchhng,at,ac,True,False
