tl,hanzi
khinn,坑
gereh,夾
bér,尾
jiàu,抓
kinn,更
pōo,步
tser,災
tōo,肚
ōo,芋
gún,阮
sīr,事
niú,兩
tshere,初
kńg,卷
khia,奇
bēr,妹
sìnn,姓
teré,底
kinn,庚
phō,抱
puānn,拌
pue̍h,拔
hô,河
tsher,炊
tsinn,爭
kiunn,羌
sing,芟
kīrn,近
hānn,迒
tiúnn,長
mn̂g,門
hōo,雨
tshinn,青
pó,保
tshò,剉
kāu,厚
kherè,契
tōo,度
tshinn,星
pìnn,柄
iûnn,洋
seré,洗
ter,炱
kerè,疥
siùnn,相
gíng,研
tshīng,穿
tshng,穿
juán,耎
pher,胚
khīng,虹
per,飛
hiunn,香
pēr,倍
tó,倒
tò,倒
pōo,哺
kínn,哽
niû,娘
tóo,島
sir,師
irn,恩
irn,恩
ere,挨
jêr,挼
lua̍h,捋
tīnn,捏
thô,桃
toh,桌
ere̍h,狹
pīnn,病
soh,索
kherh,缺
tshèr,脆
me̍h,脈
ió,舀
tshó,草
hng,荒
thó,討
thèr,退
phèr,配
tsam,針
tîr,除
tîr,除
tserè,做
tshiùnn,唱
mn̄g,問
pô,婆
tiunn,張
ńg,捥
kńg,捲
ther,推
ng,掩
tsn̄g,旋
m̂,梅
berh,欲
tshinn,清
lerê,犁
tsiunn,章
lere̍h,笠
phoh,粕
serè,細
gereh,莢
ô,蚵
tshir,蛆
tēr,袋
phēr,被
hèr,貨
kǹg,貫
kér,跂
nńg,軟
jip,逐
serh,雪
hîr,魚
pò,報
tiûnn,場
bō,帽
tsiúnn,掌
pér,掰
tshēr,揣
nê,晾
therè,替
tsó,棗
pînn,棚
pēr,焙
bô,無
tsír,煮
uī,畫
tér,短
ngī,硬
sèr,稅
kirn,筋
tse̍rh,絕
tiùnn,脹
khiunn,腔
tshir,舒
tio̍h,著
to̍h,著
kere,街
tshiūnn,象
hīng,貺
niû,量
niū,量
pn̄g,飯
n̂g,黃
seré,黍
thn̂g,傳
siunn,傷
hn̂g,園
tèr,塊
só,嫂
siūnn,想
sńg,損
khiú,搝
giú,搝
mi,搣
tshiúnn,搶
erē,會
kīng,楗
hèr,歲
khere,溪
iûnn,溶
gîrn,睨
eré,矮
tsereh,節
kinn,經
hō,號
gū,遇
kèr,過
san,鉎
tǹg,頓
tshír,鼠
tshiūnn,像
oh,僫
ui̍h,劃
bōo,墓
boo,摸
mî,暝
tshiunn,槍
tiùnn,漲
sǹg,算
kńg,管
tīr,箸
kér,粿
tèr,綴
kerê,膎
gír,語
serh,說
sô,趖
se̍rh,踅
hn̄g,遠
sng,酸
gîrn,銀
phī,鼻
tserê,齊
tsâu,齊
tshiúnn,廠
tshereh,慼
tshâu,撨
tsiúnn,槳
tsô,槽
tsiunn,樟
iūnn,樣
tsiunn,漿
thn̄g,熥
khereh,瞌
tshêr,箠
siunn,箱
mā,罵
po,褒
tsìnn,諍
tir,豬
siúnn,賞
pêr,賠
khò,靠
erê,鞋
iúnn,養
gō,餓
o̍h,學
kìr,據
tshiū,樹
tsng,磚
bō,磨
ko,篙
ko,糕
kuān,縣
thǹg,褪
terê,蹄
tshínn,醒
kìr,鋸
kèr,髻
tserē,濟
sò,燥
tshiûnn,牆
tìnn,瞪
bêr,糜
po̍h,薄
kiunn,薑
tsîr,薯
lêr,螺
siā,謝
tsiā,謝
hîng,還
er,鍋
tn̄g,斷
niû,糧
nǹg,軁
tńg,轉
tsiùnn,醬
só,鎖
sang,雙
kere,雞
terê,題
tshiûnn,颺
giâ,鵝
phōo,簿
kinn,羹
kuinn,關
khǹg,勸
pó,寶
tsiūnn,癢
be̍rh,襪
tshér,髓
kèr,鱖
niū,讓
nih,躡
tsǹg,鑽
the,䖙
ńg,䘼
tshoh,𧮙
tīng,𠕇
siûnn,𣻸
terē,苧
kuínn,稈
tiūnn,丈
png,方
tsn̂g,全
guî,危
hiō,后
hiō,后
her,灰
ngôo,吳
kir,車
ńg,阮
jú,乳
o,呵
siūnn,尚
kir,居
tshiú,帚
sìnn,性
póo,斧
hng,昏
kér,果
khîrn,芹
thô,迌
hiō,厚
hiō,後
hiō,後
hīrn,恨
tsńg,指
sinn,牲
po,玻
siunn,相
kia̍h,屐
sîr,徐
sîr,殊
kír,矩
ting,釘
sim,參
som,參
sim,參
som,參
tiùnn,帳
sò,掃
tsô,曹
niû,梁
huînn,莖
hīng,莧
tshìr,處
hír,許
kerh,郭
hm̂,媒
ú,寓
ù,寓
tsèr,晬
tshiunn,腔
per,菠
tô,萄
hiunn,鄉
ńg,鈗
iûnn,陽
khîrn,勤
sîr,嗣
līng,楝
înn,楹
īr,預
līr,慮
niû,樑
huān,範
liân,蓮
khèr,課
tīnn,鄭
tîr,鋤
khiūnn,噤
tshinn,親
biô,謀
thiô,頭
thiô,頭
iunn,鴦
inn,嬰
sīr,嶼
tèr,戴
tshò,糙
kír,舉
tsiong,螿
tsiunn,螿
siā,謝
tsiā,謝
kok,顎
lô,羅
tinn,蹬
tshiunn,鯧
lerē,鑢
kinn,驚
tshâm,蠶
tshâm,蠶
pueh,八
to,刀
tsiūnn,上
tshiūnn,上
lú,女
tsú,子
kun,巾
tiong,中
hōo,予
gōo,五
tsínn,井
píng,反
kun,斤
li̍t,日
ge̍h,月
mn̂g,毛
hé,火
khù,去
khó,可
ni,奶
pînn,平
bē,未
bió,母
bú,母
tsiap,汁
huān,犯
tshinn,生
sinn,生
phê,皮
kng,光
táinn,刐
tshiūnn,匠
kiánn,囝
hê,回
tuē,地
hó,好
lī,字
tshù,次
iûnn,羊
khó,考
hī,耳
tsū,自
huih,血
tū,佇
lú,你
nn̄g,卵
puī,吠
tshe,吹
khinn,坑
ngeh,夾
bé,尾
niàu,抓
kinn,更
pōo,步
tse,災
tōo,肚
ōo,芋
gún,阮
sū,事
niú,兩
tshue,初
kńg,卷
khia,奇
bē,妹
sìnn,姓
tué,底
kinn,庚
phō,抱
puānn,拌
pui̍h,拔
hô,河
tshe,炊
tsinn,爭
kiunn,羌
sing,芟
kūn,近
hānn,迒
tiúnn,長
mn̂g,門
hōo,雨
tshinn,青
pó,保
tshò,剉
kāu,厚
khuè,契
tōo,度
tshinn,星
pìnn,柄
iûnn,洋
sué,洗
te,炱
kuè,疥
siùnn,相
ngái,研
tshīng,穿
tshng,穿
luán,耎
phe,胚
khīng,虹
pe,飛
hiunn,香
pē,倍
tó,倒
tò,倒
pōo,哺
kínn,哽
niû,娘
tóo,島
su,師
un,恩
un,恩
ue,挨
lê,挼
lua̍h,捋
tīnn,捏
thô,桃
toh,桌
ue̍h,狹
pīnn,病
soh,索
kheh,缺
tshè,脆
me̍h,脈
iúnn,舀
tshó,草
hng,荒
thó,討
thè,退
phè,配
tsiam,針
tû,除
tû,除
tsuè,做
tshiùnn,唱
teh,啄
mn̄g,問
pô,婆
tiunn,張
ńg,捥
kńg,捲
the,推
ng,掩
tsn̄g,旋
m̂,梅
beh,欲
tshinn,清
luê,犁
tsiunn,章
lue̍h,笠
phoh,粕
suè,細
kueh,莢
ô,蚵
tshu,蛆
tē,袋
phē,被
hè,貨
kǹg,貫
ké,跂
nńg,軟
lip,逐
seh,雪
hû,魚
pò,報
tiûnn,場
bō,帽
tsiúnn,掌
pé,掰
tshē,揣
nî,晾
thuè,替
tsó,棗
pînn,棚
pē,焙
bô,無
tsú,煮
uī,畫
té,短
ngī,硬
sè,稅
kun,筋
tse̍h,絕
tiùnn,脹
khiunn,腔
tshu,舒
tio̍h,著
to̍h,著
kue,街
tshiūnn,象
hīng,貺
niû,量
niū,量
pn̄g,飯
n̂g,黃
sué,黍
thn̂g,傳
siunn,傷
hn̂g,園
tè,塊
só,嫂
siūnn,想
sńg,損
khiú,搝
giú,搝
mi,搣
tshiúnn,搶
uē,會
kīng,楗
hè,歲
khue,溪
iûnn,溶
gîn,睨
ué,矮
tsueh,節
kinn,經
hō,號
gū,遇
kè,過
sian,鉎
tǹg,頓
tshú,鼠
tshiūnn,像
oh,僫
ui̍h,劃
bōo,墓
bong,摸
mî,暝
tshiunn,槍
tiùnn,漲
sǹg,算
kńg,管
tū,箸
ké,粿
tè,綴
kuê,膎
gú,語
seh,說
sô,趖
se̍h,踅
hn̄g,遠
sng,酸
gûn,銀
phīnn,鼻
tsuê,齊
tsiâu,齊
tshiúnn,廠
tshueh,慼
tshiâu,撨
tsiúnn,槳
tsô,槽
tsiunn,樟
iūnn,樣
tsiunn,漿
thn̄g,熥
khueh,瞌
tshê,箠
siunn,箱
mā,罵
po,褒
tsìnn,諍
tu,豬
siúnn,賞
pê,賠
khò,靠
uê,鞋
iúnn,養
gō,餓
o̍h,學
kù,據
tshiū,樹
tsng,磚
bō,磨
ko,篙
ko,糕
kuāinn,縣
thǹg,褪
tuê,蹄
tshínn,醒
kù,鋸
kè,髻
tsuē,濟
sò,燥
tshiûnn,牆
tìnn,瞪
bê,糜
po̍h,薄
kiunn,薑
tsû,薯
lê,螺
siā,謝
hîng,還
e,鍋
tn̄g,斷
niû,糧
nǹg,軁
tńg,轉
tsiùnn,醬
só,鎖
siang,雙
kue,雞
tuê,題
tshiûnn,颺
giâ,鵝
phōo,簿
kinn,羹
kuinn,關
khǹg,勸
pó,寶
tsiūnn,癢
be̍h,襪
tshé,髓
kè,鱖
niū,讓
nih,躡
tsǹg,鑽
the,䖙
ńg,䘼
tshoh,𧮙
tīng,𠕇
siûnn,𣻸
tuē,苧
kuínn,稈
tiūnn,丈
png,方
tsn̂g,全
uî,危
hiō,后
hiō,后
he,灰
ngôo,吳
ku,車
ńg,阮
lú,乳
o,呵
siūnn,尚
ku,居
tsiú,帚
tshiú,帚
sìnn,性
póo,斧
hng,昏
ké,果
khûn,芹
thô,迌
hiō,厚
hiō,後
hiō,後
hūn,恨
tsíng,指
sinn,牲
po,玻
siunn,相
kia̍h,屐
tshî,徐
sû,殊
kú,矩
ting,釘
sim,參
sim,參
tiùnn,帳
sò,掃
tsô,曹
niû,梁
huâinn,莖
hāng,莧
tshù,處
hú,許
keh,郭
hm̂,媒
ú,寓
tsè,晬
tshiunn,腔
pe,菠
tô,萄
hiunn,鄉
ńg,鈗
iûnn,陽
khûn,勤
sû,嗣
līng,楝
înn,楹
ū,預
lū,慮
niû,樑
huān,範
lân,蓮
khè,課
tīnn,鄭
tû,鋤
khiūnn,噤
tshinn,親
môo,謀
thiô,頭
thiô,頭
iunn,鴦
inn,嬰
sū,嶼
tè,戴
tshò,糙
kú,舉
tsiunn,螿
siā,謝
khok,顎
lô,羅
tinn,蹬
tshiunn,鯧
luē,鑢
kinn,驚
tshâm,蠶
tshâm,蠶
peh,八
to,刀
tsiūnn,上
tshiūnn,上
lí,女
tsú,子
kin,巾
ting,中
hōo,予
gōo,五
tsénn,井
píng,反
kin,斤
ji̍t,日
gue̍h,月
moo,毛
hué,火
khì,去
khó,可
ling,奶
pênn,平
bē,未
buē,未
bóo,母
tsiap,汁
huān,犯
