tl,hanzi
Sòo,掃
Buán,晚
Mńg,晚
Muí,晚
Tiù,晝
Muî,梅
Lê,梨
Lâi,梨
Hâm,涵
Âm,涵
Tām,淡
Ti̍k,笛
Ta̍t,笛
Tāi,舵
Tō,舵
Tuā,舵
Tsng,莊
Khóo,許
Luán,軟
Nńg,軟
Nuí,軟
Thò,透
Thàu,透
Thiò,透
Kueh,郭
Keh,郭
Too,都
Tân,陳
Lio̍k,陸
Hî,魚
Hû,魚
Muâ,麻
Mâu,麻
Pòo,傅
Sàn,傘
Suànn,傘
Tan,單
Tuann,單
Siān,單
Pù,富
Hân,寒
Kuânn,寒
Jîm,尋
Tsîm,尋
Ki,幾
Phênn,彭
Phînn,彭
Tsîng,晴
Tsênn,晴
Tsînn,晴
Tsan,曾
Biân,棉
Mî,棉
Thng,湯
Thiânn,程
Tap,答
Tshik,粟
Su,舒
Si,舒
Tshiau,超
Hiong,鄉
Hiang,鄉
Ngá,雅
Ngé,雅
N̂g,黃
Uînn,黃
Tôo,塗
Thôo,塗
Tông,塘
Tn̂g,塘
Tap,搭
Tah,搭
Iûnn,楊
Iônn,楊
Hong,楓
Png,楓
Tann,當
Siànn,聖
Iau,腰
Io,腰
Kuah,葛
Kat,葛
Táng,董
Lân,零
Tǹg,頓
Tuìnn,頓
Pá,飽
Má,瑪
Bé,瑪
Kàm,監
Suī,睡
Tsuē,睡
Tsē,睡
Tuann,端
Suan,酸
Sng,酸
Suinn,酸
Lē,厲
Ba̍k,墨
Khuann,寬
Sat,撒
Pā,暴
Tsiong,樟
Tsiunn,樟
Tsiang,樟
Tsionn,樟
Au,歐
Phuann,潘
Puân,盤
Phuân,盤
Puânn,盤
Huān,範
Tēnn,鄭
Tīnn,鄭
Pîn,憑
Phok,樸
Tshiū,樹
Kiô,橋
Ki,機
Kui,機
Hîng,橫
Huâinn,橫
Huînn,橫
Ian,燕
Ta̍k,獨
Siau,蕭
Sio,蕭
Luā,賴
Tsînn,錢
Siah,錫
Thiô,頭
Thôo,頭
Thâu,頭
Líng,嶺
Niá,嶺
Ing,應
Ìng,應
Tè,戴
Thiânn,檀
Tsiok,爵
Tsiak,爵
Khuân,環
Khong,糠
Khng,糠
I̍k,翼
Po̍k,薄
Sài,賽
Sè,賽
Tsing,鍾
Tsiong,鍾
Hâ,霞
Hê,霞
Sian,鮮
Tsâng,叢
Kū,舊
Nâ,藍
Hong,豐
Khiông,瓊
Khîng,瓊
Sîng,繩
Tsîn,繩
Tîng,藤
Tîn,藤
Phuan,藩
Huan,藩
Gí,蟻
Hiā,蟻
Nâ,籃
Îng,贏
Thih,鐵
Ho̍h,鶴
Tô,糴
Jiōng,讓
Liōng,讓
Niū,讓
Giōng,讓
Niōo,讓
Tsi̍t,一
It,乙
Ting,丁
Tshit,七
Liáu,了
Jîn,人
Lîn,人
Gîn,人
Ji̍p,入
Li̍p,入
Gi̍p,入
To,刀
Tiau,刁
Poh,卜
Uân,丸
Huân,丸
Io,么
Iá,也
Huân,凡
Huān,凡
Tōo,土
Sū,士
Tshùn,寸
Kan,干
Tsâi,才
Put,不
Thiú,丑
Tan,丹
Jîn,仁
Lîn,仁
Gîn,仁
Siû,仇
Kiû,仇
Ún,允
Ín,允
Kau,勾
Huà,化
Huè,化
Eh,厄
Ik,厄
Iú,友
Jîm,壬
Lîm,壬
Gîm,壬
Thài,太
Hu,夫
Ín,引
Sim,心
Hōo,戶
Bûn,文
Ji̍t,日
Li̍t,日
Gi̍t,日
Pí,比
Ông,王
Hoo,乎
Sū,仕
Hù,付
Sian,仙
Lîng,令
Í,以
Tshut,出
Pau,包
Pâu,包
Siap,卌
Siak,卌
Tsiàm,占
Tsiam,占
Báu,卯
Kóo,古
Kù,句
Thai,台
Pòo,布
Tánn,打
Kam,甘
Iû,由
Sin,申
Kî,示
Li̍p,立
Ia̍h,亦
Jîm,任
Līm,任
Jīm,任
Lîm,任
Gîm,任
Gīm,任
I,伊
Tiāu,兆
Tiō,兆
Hîng,刑
Li̍h,列
Ìn,印
Kiat,吉
Huê,回
Hê,回
In,因
To,多
Too,多
Jû,如
Lû,如
Jî,如
Jī,字
Lī,字
Gī,字
Tsng,庄
Tsu,朱
Tshù,次
Kang,江
Tî,池
Bí,米
Khó,考
Khónn,考
Sîn,臣
Tsū,自
Pòo,佈
Uī,位
Khik,克
Ping,兵
Líng,冷
Kun,君
Háu,吼
Hóo,吼
Hió,吼
Khám,坎
Kiap,夾
Biāu,妙
Sòng,宋
Sàng,宋
Uân,完
Bué,尾
Bé,尾
Kio̍k,局
Ki̍k,局
Tsì,志
Tshau,抄
Ké,改
Kué,改
Lí,李
Tshun,村
Sok,束
Pōo,步
Muí,每
Kiû,求
Ak,沃
Hán,罕
Kak,角
Giân,言
Gân,言
Tāu,豆
Sin,辛
Sîn,辰
Lí,里
Lâi,來
Tsè,制
Tsì,制
Tshì,刺
Tshiah,刺
Tshú,取
Tshí,取
Siū,受
Bī,味
Muī,妹
Koo,姑
Kuì,季
Khut,屈
Phè,帕
Thiap,帖
Hīng,幸
Té,底
Tué,底
Hú,府
Iân,延
Tiong,忠
Liām,念
Sóo,所
Sé,所
Thua,拖
Ōng,旺
Ho̍k,服
Phuè,杮
Phè,杮
Huì,杮
Pán,板
Pang,枋
Bú,武
Hô,河
Iû,油
Tī,治
Huat,法
Pho,波
Po,波
Iām,炎
Siā,社
Tsiá,者
Khíng,肯
Hóo,虎
Kīn,近
Kūn,近
Kim,金
Hui,非
Pó,保
Póo,保
Sìn,信
Kuan,冠
Ióng,勇
Lâm,南
Khiok,卻
Ai,哀
Gap,哈
I̍k,奕
Hāng,巷
Tè,帝
Tōo,度
Lu̍t,律
Pài,拜
Si,施
Tshun,春
Sī,是
Kam,柑
Tsa,查
Tse,查
Sè,洒
Sá,洒
Sé,洗
Sué,洗
Kai,皆
Phûn,盆
Síng,省
Sénn,省
Tshiu,秋
Kho,科
Khe,科
Khoo,科
Iok,約
Ioh,約
Bí,美
Nāi,耐
Khóo,苦
Sann,衫
Sam,衫
Kàng,降
Kik,革
Hong,風
Siu,修
Tiânn,埕
Tîng,埕
Sun,孫
Sng,孫
Suinn,孫
Iông,容
Tián,展
Tó,島
Tóo,島
Tshio̍h,席
Khòo,庫
Tôo,徒
Kiong,恭
Hāu,效
Sî,時
Tshâ,柴
Hāu,校
Kin,根
Kun,根
Hái,海
Oo,烏
Tsu,珠
Pan,班
Tsin,真
Tsóo,祖
Tsiok,祝
Sîn,神
La̍p,納
Sòo,素
Lîng,能
Tê,茶
Lám,荏
Jím,荏
Lím,荏
Gím,荏
Kì,記
Pà,豹
Tsâi,財
Khí,起
Tsiú,酒
Siám,閃
Īnn,院
Ko,高
Thîng,停
Tsián,剪
Li̍k,勒
Bū,務
Sî,匙
Oo,區
Kok,國
Kian,堅
Tui,堆
Tóo,堵
Kàu,夠
Kiò,夠
Kòo,夠
Kiông,強
Kiâng,強
Pâi,排
Poo,晡
Lê,犁
Luê,犁
Lí,理
Siānn,盛
Sīng,盛
Hû,符
Tē,第
Tuē,第
Sè,細
Suè,細
Bo̍h,莫
Bo̍k,莫
Sià,赦
Pōo,部
Iá,野
Tshuan,釧
Tshuàn,釧
Pì,閉
Tíng,頂
Lo̍k,鹿
Be̍h,麥
Lô,勞
Lôo,勞
Phok,博
Siān,善
Uî,圍
Kham,堪
Tsun,尊
Thê,提
Uānn,換
Huān,換
Kíng,景
Tiau,朝
Kî,棋
Tsó,棗
Tōo,渡
Ôo,湖
Kâu,猴
Khîm,琴
Huan,番
Hīnn,硯
Suè,稅
Sè,稅
Pit,筆
Si,絲
Kuì,貴
Huì,費
Pì,費
Ua̍t,越
Liú,鈕
Gān,雁
Hûn,雲
Ûn,雲
În,雲
Hāng,項
Sūn,順
Sà,嗄
Thap,塔
Má,媽
Kàn,幹
Ì,意
Ài,愛
Kìng,敬
Sin,新
Kuè,會
Lâm,楠
Gia̍p,業
Hu̍t,滑
Ian,煙
Sai,獅
Su,獅
Kûn,群
Gī,義
Bān,萬
Hō,號
Hōo,號
Kiû,裘
Póo,補
Si,詩
Kai,該
Lōo,路
Tsài,載
Lông,農
Gū,遇
Gī,遇
Iû,遊
Tō,道
Tōo,道
Lîng,鈴
Luî,雷
Tiān,電
Tôo,圖
Thuân,團
Siū,壽
Thiòng,暢
Thiàng,暢
Kún,滾
Tshat,漆
Ián,演
Hàn,漢
Hîm,熊
Hok,福
Bú,舞
Gîn,銀
Gûn,銀
Tâng,銅
Hōng,鳳
Tsê,齊
Tsiâu,齊
Tsâu,齊
Tuī,墜
Sím,審
Tik,德
Pòo,播
Ga̍k,樂
Lâu,樓
Jūn,潤
Lūn,潤
Thâm,潭
Sàn,線
Liān,練
Hê,蝦
Hâ,蝦
Tiāu,調
Tâm,談
Hiân,賢
Tshian,遷
Lóo,魯
Tsiàn,戰
Tsik,積
Hiān,縣
Hing,興
Hin,興
Suî,隨
Hì,戲
Suī,穗
Bî,糜
Lîm,臨
Liān,鍊
Luí,壘
Ka,歸
Àng,甕
Òng,甕
Lé,禮
Siau,簫
Tsit,織
Tsit,職
Tshó,鎖
Tìn,鎮
Siang,雙
Sang,雙
Ke,雞
Kue,雞
Gân,顏
Luā,瀨
Lāi,瀨
Nāi,瀨
Kiáu,繳
Tsìng,證
Tsìn,證
Kiànn,鏡
Bū,霧
Luī,類
Giâm,嚴
Pó,寶
Lôo,爐
Khòng,礦
Tsing,鐘
Tsiong,鐘
Jiâu,饒
Liâu,饒
Giâu,饒
Tóng,黨
Lân,蘭
Piān,辯
Lōo,露
Kòo,顧
Lông,囊
Tsâng,欉
Khuân,權
Kuân,權
Lîng,靈
Ut,鬱
Siānn,𣛮
Tshuan,川
Í,已
Ûn,云
În,云
Kài,介
Guân,元
Ki̍p,及
Pa,巴
Tshiánn,且
Phuat,叭
Iū,右
Nî,尼
Lî,尼
Tsó,左
Tsóo,左
Kī,巨
Kū,巨
Hông,弘
Pit,必
Tsat,札
Íng,永
Hiân,玄
Tiân,田
Tshân,田
Sí,矢
Hô,禾
Hôo,禾
Gióng,仰
Giáng,仰
Tiōng,仲
Ngóo,仵
Ngóo,伍
Ho̍k,伏
Hué,伙
Hé,伙
Guî,危
Lī,吏
Î,夷
Ú,宇
Í,宇
Hiok,旭
Phok,朴
Hue,灰
He,灰
Ú,羽
Í,羽
Tiān,佃
Tān,但
Tsò,佐
Iū,佑
Iá,冶
Lóo,努
Ngôo,吳
Gôo,吳
Ngôo,吾
Gôo,吾
Tiânn,呈
Tsòng,壯
Thò,妥
Tsu,孜
Hông,宏
Hi,希
Sam,杉
Tōo,杜
Kí,杞
Sím,沈
Bo̍k,沐
Phài,沛
Hú,甫
Siàu,秀
Siàu,肖
Io̍k,育
Liông,良
Liâng,良
Tsiok,芍
Kiong,芎
Kok,谷
Puè,貝
Pang,邦
Ńg,阮
Uán,阮
Uínn,阮
Jú,乳
Lú,乳
Jí,乳
Gí,乳
I,依
Hia̍p,協
Tsiu,周
Hai,咍
Kòo,固
Khun,坤
Hōng,奉
Phun,奔
Nî,妮
Thán,妲
Tat,妲
Sāi,姒
Uí,委
Bīng,孟
Tsong,宗
Uán,宛
Gî,宜
Kong,岡
Ga̍k,岳
Hiân,弦
Pí,彼
Hut,忽
Î,怡
Khiap,怯
Hi̍k,或
Thok,拓
U,於
I,於
Gông,昂
Khun,昆
Tshiong,昌
Tshiang,昌
Sik,昔
Pîng,朋
Hâng,杭
Óng,枉
Ta̍p,沓
Ta̍uh,沓
Hòng,況
Po̍k,泊
Khip,泣
Bo̍k,牧
Hôo,狐
Tiok,竺
Sià,舍
Hun,芬
Pa,芭
Tí,邸
Tôo,陀
Tô,陀
Liāng,亮
Liōng,亮
Hē,係
Lī,俐
Jû,俞
Lû,俞
Jî,俞
Mōo,冒
In,姻
Ian,姻
Ui,威
Ua,娃
Suan,宣
Huān,宦
Ok,屋
Suè,帥
Kiàn,建
Gān,彥
Giān,彥
Hîng,恆
Kióng,拱
Si̍p,拾
Tsiau,昭
Jiû,柔
Liû,柔
Giû,柔
Kua,柯
Liú,柳
Lo̍k,洛
Lo̍h,洛
Lîng,玲
Hông,皇
Kî,祈
Ú,禹
Í,禹
Kí,紀
Iâ,耶
Phuân,胖
Uán,苑
Biâu,苗
Kóo,苟
Kió,苟
Ing,英
Bōo,茂
Biō,茂
Huān,范
Iau,要
Khia,迦
Ka,迦
Kia,迦
Ti̍k,迪
Su̍t,述
Hiok,郁
Uí,韋
Siù,首
Sîng,乘
Hōng,俸
Hāu,候
Lûn,倫
Lîng,凌
Kong,剛
Khing,卿
Guân,原
Tiat,哲
Ai,埃
Ná,娜
Lô,娜
Kuan,娟
Ngôo,娥
Tsáinn,宰
Tshî,徐
Ua̍t,悅
Ia̍t,悅
Ngōo,悟
Gōo,悟
Ná,拿
Pông,旁
Tsìn,晉
Kuì,桂
Thài,泰
Phóo,浦
Hō,浩
Hōo,浩
Ti̍k,特
Puē,珮
Pì,祕
Pì,秘
Tsîn,秦
Liú,紐
King,耕
Sûn,荀
King,荊
Tsiàn,荐
Thiong,衷
Khí,豈
Kòng,貢
Huê,迴
Siám,陝
Uí,偉
Kai,偕
Ngóo,偶
Gió,偶
Siong,商
Siang,商
Khuân,圈
Pōo,埠
Puê,培
Tôo,屠
Tsông,崇
Tshui,崔
Tsâu,巢
Siông,常
Siâng,常
Iûnn,庸
Iônn,庸
Piu,彪
Iu,悠
Tshik,戚
Bín,敏
Tsô,曹
Tsôo,曹
Bān,曼
Niû,梁
Niôo,梁
Ngôo,梧
Gôo,梧
So,梭
Huān,梵
Siok,淑
Tsīng,淨
Ian,淵
Pit,畢
Î,移
Siāu,紹
Siō,紹
Thóng,統
Si̍p,習
Hô,荷
So,莎
Soo,莎
Sa,莎
Sok,速
Hông,逢
Niā,陵
Tô,陶
Tôo,陶
Kia̍t,傑
Khái,凱
Sing,勝
Lâ,喇
Hí,喜
Kiâu,喬
Jū,喻
Lū,喻
Jī,喻
Thê,堤
Giâu,堯
Lâm,嵐
Ho̍k,復
Pi,悲
Huī,惠
Iông,揚
Iâng,揚
Khiat,揭
Kia̍t,揭
Tun,敦
Hui,斐
Su,斯
Phóo,普
Tì,智
Sú,暑
Sí,暑
Tang,棠
Sim,森
Som,森
Si̍t,植
Si̍k,植
Tì,植
Khim,欽
Iû,游
Siong,湘
Ta,焦
Iû,猶
Kî,琪
Pî,琵
Ting,登
Tsheh,策
Tsí,紫
Lo̍k,絡
Kip,給
Siok,肅
Huà,華
Hui,菲
Huí,菲
Lâi,萊
Tiau,貂
Hō,賀
Pua̍h,跋
Koo,辜
I̍t,逸
I̍k,逸
Ia̍t,逸
Tshà,鈔
Bín,閔
Liông,隆
Kai,階
Su,須
Si,須
Hik,黑
Khîn,勤
Khûn,勤
Sài,塞
Ò,奧
Liâm,廉
Tsû,慈
Sīn,慎
Tshóo,楚
Tiān,殿
Guân,源
Un,溫
Sòo,溯
Sok,溯
Tian,滇
Huàn,煥
Jû,瑜
Lû,瑜
Jî,瑜
Suī,瑞
Sik,瑟
Tok,督
Bo̍k,睦
Tuì,碓
Lo̍k,祿
Liâng,粱
Liông,粱
Ia̍p,葉
È,裔
Ì,裔
Se,裟
Sa,裟
Tsiam,詹
Tsu,資
Ká,賈
Ta̍t,達
Tsīng,靖
Pé,靶
Pà,靶
Khiu,鳩
Kiâu,僑
Tsing,僧
Ka,嘉
Tshat,察
Lîng,寧
Liāu,廖
Thiat,撤
Gut,暨
Îng,榮
Huâi,槐
Bān,漫
Tsiang,漳
Tsiong,漳
Tsing,漳
Tshó,瑣
Phik,碧
Ki,箕
Î,維
Uî,維
Khí,綺
Sū,緒
Sī,緒
Tshuì,翠
Bûn,聞
Tiāu,肇
Tâi,臺
Bông,蒙
Pôo,蒲
Tshong,蒼
O,蒿
Ho,蒿
Hô,豪
Hôo,豪
Pin,賓
Tiō,趙
Bân,閩
Gî,儀
Ki̍k,劇
Kio̍k,劇
