tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,sitbut,is_variant
tē-ting,地丁,25,tē-teng,te7ting1,te7teng1,teting,teteng,tt,tt,True,False
suî-liú,垂柳,25,sûi-liú,sui5liu2,sui5liu2,suiliu,suiliu,sl,sl,True,False
poo-lûn,埔崙,25,po͘-lûn,poo1lun5,poo1lun5,poolun,poolun,pl,pl,True,False
poo-tiū,埔稻,25,po͘-tiū,poo1tiu7,poo1tiu7,pootiu,pootiu,pt,pt,True,False
hē-bê,夏粥,25,hē-bê,he7be5,he7be5,hebe,hebe,hb,hb,True,False
iā-ha̍p,夜合,25,iā-ha̍p,ia7hap8,ia7hap8,iahap,iahap,ih,ih,True,False
tuā-phànn,大冇,25,tōa-phàⁿ,tua7phann3,toa7phann3,tuaphann,toaphann,tp,tp,True,False
tuā-tsó,大棗,25,tōa-chó,tua7tso2,toa7cho2,tuatso,toacho,tt,tc,True,False
tuā-tshinn,大菁,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1,tuatshinn,toachhinn,tt,tc,True,False
tuā-tshài,大菜,25,tōa-chhài,tua7tshai3,toa7chhai3,tuatshai,toachhai,tt,tc,True,False
tuā-phiô,大萍,25,tōa-phiô,tua7phio5,toa7phio5,tuaphio,toaphio,tp,tp,True,False
tuā-be̍h,大麥,25,tōa-be̍h,tua7beh8,toa7beh8,tuabeh,toabeh,tb,tb,True,False
thian-tsháu,天草,25,thian-chháu,thian1tshau2,thian1chhau2,thiantshau,thianchhau,tt,tc,True,False
siā-kan,射干,25,siā-kan,sia7kan1,sia7kan1,siakan,siakan,sk,sk,True,False
sió-tshinn,小菁,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1,siotshinn,siochhinn,st,sc,True,False
sió-be̍h,小麥,25,sió-be̍h,sio2beh8,sio2beh8,siobeh,siobeh,sb,sb,True,False
suann-nai,山奈,25,soaⁿ-nai,suann1nai1,soann1nai1,suannnai,soannnai,sn,sn,True,False
suann-sam,山杉,25,soaⁿ-sam,suann1sam1,soann1sam1,suannsam,soannsam,ss,ss,True,False
suann-khīng,山柏,25,soaⁿ-khēng,suann1khing7,soann1kheng7,suannkhing,soannkheng,sk,sk,True,False
suann-khī,山柿,25,soaⁿ-khī,suann1khi7,soann1khi7,suannkhi,soannkhi,sk,sk,True,False
suann-lâi,山梨,25,soaⁿ-lâi,suann1lai5,soann1lai5,suannlai,soannlai,sl,sl,True,False
suann-tsang,山棕,25,soaⁿ-chang,suann1tsang1,soann1chang1,suanntsang,soannchang,st,sc,True,False
suann-tshîng,山榕,25,soaⁿ-chhêng,suann1tshing5,soann1chheng5,suanntshing,soannchheng,st,sc,True,False
suann-tshat,山漆,25,soaⁿ-chhat,suann1tshat4,soann1chhat4,suanntshat,soannchhat,st,sc,True,False
suann-tê,山茶,25,soaⁿ-tê,suann1te5,soann1te5,suannte,soannte,st,st,True,False
suann-tshinn,山菁,25,soaⁿ-chhiⁿ,suann1tshinn1,soann1chhinn1,suanntshinn,soannchhinn,st,sc,True,False
suann-kiok,山菊,25,soaⁿ-kiok,suann1kiok4,soann1kiok4,suannkiok,soannkiok,sk,sk,True,False
suann-muâ,山麻,25,soaⁿ-môa,suann1mua5,soann1moa5,suannmua,soannmoa,sm,sm,True,False
tshuan-tshit,川七,25,chhoan-chhit,tshuan1tshit4,chhoan1chhit4,tshuantshit,chhoanchhit,tt,cc,True,False
pa-tau,巴豆,25,pa-tau,pa1tau1,pa1tau1,patau,patau,pt,pt,True,False
pa-tāu,巴豆,25,pa-tāu,pa1tau7,pa1tau7,patau,patau,pt,pt,True,False
tshī-tshang,市葱,25,chhī-chhang,tshi7tshang1,chhi7chhang1,tshitshang,chhichhang,tt,cc,True,False
pòo-kiunn,布姜,25,pò͘-kiuⁿ,poo3kiunn1,poo3kiunn1,pookiunn,pookiunn,pk,pk,True,False
siông-san,常山,25,siông-san,siong5san1,siong5san1,siongsan,siongsan,ss,ss,True,False
nî-kam,年柑,25,nî-kam,ni5kam1,ni5kam1,nikam,nikam,nk,nk,True,False
kóng-á,廣仔,25,kóng-á,kong2a2,kong2a2,konga,konga,ka,ka,True,False
gōng-tshiū,戇樹,25,gōng-chhiū,gong7tshiu7,gong7chhiu7,gongtshiu,gongchhiu,gt,gc,True,False
tshiú-io̍h,手藥,25,chhiú-io̍h,tshiu2ioh8,chhiu2ioh8,tshiuioh,chhiuioh,ti,ci,True,False
pat-á,扒仔,25,pat-á,pat4a2,pat4a2,pata,pata,pa,pa,True,False
tánn-tsio,打招,25,táⁿ-chio,tann2tsio1,tann2chio1,tanntsio,tannchio,tt,tc,True,False
buah-tsháu,抹草,25,boah-chháu,buah4tshau2,boah4chhau2,buahtshau,boahchhau,bt,bc,True,False
iông-phoo,揚波,25,iông-pho͘,iong5phoo1,iong5phoo1,iongphoo,iongphoo,ip,ip,True,False
phang-kuì,攀桂,25,phang-kùi,phang1kui3,phang1kui3,phangkui,phangkui,pk,pk,True,False
táu-iū,斗柚,25,táu-iū,tau2iu7,tau2iu7,tauiu,tauiu,ti,ti,True,False
táu-lo̍k,斗鹿,25,táu-lo̍k,tau2lok8,tau2lok8,taulok,taulok,tl,tl,True,False
tsá-iū,早柚,25,chá-iū,tsa2iu7,cha2iu7,tsaiu,chaiu,ti,ci,True,False
bān-iū,晚柚,25,bān-iū,ban7iu7,ban7iu7,baniu,baniu,bi,bi,True,False
ge̍h-thô,月桃,25,ge̍h-thô,geh8tho5,geh8tho5,gehtho,gehtho,gt,gt,True,True
bo̍k-ha̍k,木斛,25,bo̍k-ha̍k,bok8hak8,bok8hak8,bokhak,bokhak,bh,bh,True,False
bo̍k-kua,木瓜,25,bo̍k-koa,bok8kua1,bok8koa1,bokkua,bokkoa,bk,bk,True,False
ba̍k-lô,木羅,25,ba̍k-lô,bak8lo5,bak8lo5,baklo,baklo,bl,bl,True,False
ba̍k-hiunn,木香,25,ba̍k-hiuⁿ,bak8hiunn1,bak8hiunn1,bakhiunn,bakhiunn,bh,bh,True,False
pún-tsiunn,本樟,25,pún-chiuⁿ,pun2tsiunn1,pun2chiunn1,puntsiunn,punchiunn,pt,pc,True,False
pún-tshinn,本菁,25,pún-chhiⁿ,pun2tshinn1,pun2chhinn1,puntshinn,punchhinn,pt,pc,True,False
kuann-á,杆仔,25,koaⁿ-á,kuann1a2,koann1a2,kuanna,koanna,ka,ka,True,False
lí-á,李仔,25,lí-á,li2a2,li2a2,lia,lia,la,la,True,False
tōo-á,杜仔,25,tō͘-á,too7a2,too7a2,tooa,tooa,ta,ta,True,False
siông-ngôo,松梧,25,siông-ngô͘,siong5ngoo5,siong5ngoo5,siongngoo,siongngoo,sn,sn,True,False
siông-lô,松蘿,25,siông-lô,siong5lo5,siong5lo5,sionglo,sionglo,sl,sl,True,False
tsí-á,枳仔,25,chí-á,tsi2a2,chi2a2,tsia,chia,ta,ca,True,False
tsí-poo,枳枯,25,chí-po͘,tsi2poo1,chi2poo1,tsipoo,chipoo,tp,cp,True,False
khīng-á,柏仔,25,khēng-á,khing7a2,kheng7a2,khinga,khenga,ka,ka,True,False
kho-á,柯仔,25,kho-á,kho1a2,kho1a2,khoa,khoa,ka,ka,True,False
kua-thôo,柯土,25,koa-thô͘,kua1thoo5,koa1thoo5,kuathoo,koathoo,kt,kt,True,True
kho-si,柯絲,25,kho-si,kho1si1,kho1si1,khosi,khosi,ks,ks,True,False
tshâ-ôo,柴胡,25,chhâ-ô͘,tsha5oo5,chha5oo5,tshaoo,chhaoo,to,co,True,False
khī-kôo,柿糊,25,khī-kô͘,khi7koo5,khi7koo5,khikoo,khikoo,kk,kk,True,False
káu-la̍t,校栗,25,káu-la̍t,kau2lat8,kau2lat8,kaulat,kaulat,kl,kl,True,False
káu-tsan,校櫕,25,káu-chan,kau2tsan1,kau2chan1,kautsan,kauchan,kt,kc,True,False
kuì-ki,桂枝,25,kùi-ki,kui3ki1,kui3ki1,kuiki,kuiki,kk,kk,True,False
kuì-tik,桂竹,25,kùi-tek,kui3tik4,kui3tek4,kuitik,kuitek,kt,kt,True,False
kuì-hue,桂花,25,kùi-hoe,kui3hue1,kui3hoe1,kuihue,kuihoe,kh,kh,True,False
thô-jîn,桃仁,25,thô-jîn,tho5jin5,tho5jin5,thojin,thojin,tj,tj,True,True
thô-tik,桃竹,25,thô-tek,tho5tik4,tho5tek4,thotik,thotek,tt,tt,True,True
kong-lông,桄榔,25,kong-lông,kong1long5,kong1long5,konglong,konglong,kl,kl,True,False
song-tshiū,桑樹,25,song-chhiū,song1tshiu7,song1chhiu7,songtshiu,songchhiu,st,sc,True,False
tháng-kam,桶柑,25,tháng-kam,thang2kam1,thang2kam1,thangkam,thangkam,tk,tk,True,False
ngôo-tông,梧桐,25,ngô͘-tông,ngoo5tong5,ngoo5tong5,ngootong,ngootong,nt,nt,True,False
mî-la̍t,棉栗,25,mî-la̍t,mi5lat8,mi5lat8,milat,milat,ml,ml,True,False
tsó-á,棗仔,25,chó-á,tso2a2,cho2a2,tsoa,choa,ta,ca,True,False
iâ-phiô,椰瓢,25,iâ-phiô,ia5phio5,ia5phio5,iaphio,iaphio,ip,ip,True,False
iông-muâi,楊梅,25,iông-moâi,iong5muai5,iong5moai5,iongmuai,iongmoai,im,im,True,False
phng-siū,楓樹,25,phng-siū,phng1siu7,phng1siu7,phngsiu,phngsiu,ps,ps,True,False
lâm-á,楠仔,25,lâm-á,lam5a2,lam5a2,lama,lama,la,la,True,False
tshîng-tshiū,榕樹,25,chhêng-chhiū,tshing5tshiu7,chheng5chhiu7,tshingtshiu,chhengchhiu,tt,cc,True,False
tsiunn-gû,樟牛,25,chiuⁿ-gû,tsiunn1gu5,chiunn1gu5,tsiunngu,chiunngu,tg,cg,True,False
tshiū-lân,樹蘭,25,chhiū-lân,tshiu7lan5,chhiu7lan5,tshiulan,chhiulan,tl,cl,True,False
tshiū-tāu,樹豆,25,chhiū-tāu,tshiu7tau7,chhiu7tau7,tshiutau,chhiutau,tt,ct,True,False
