tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,sitbut,is_variant
âng-tik,紅竹,25,âng-tek,ang5tik4,ang5tek4,angtik,angtek,at,at,True,False
âng-phiô,紅萍,25,âng-phiô,ang5phio5,ang5phio5,angphio,angphio,ap,ap,True,False
sò-sim,素心,25,sò-sim,so3sim1,so3sim1,sosim,sosim,ss,ss,True,False
sòo-hiunn,素香,25,sò͘-hiuⁿ,soo3hiunn1,soo3hiunn1,soohiunn,soohiunn,sh,sh,True,False
tsú-tuânn,紫檀,25,chú-tôaⁿ,tsu2tuann5,chu2toann5,tsutuann,chutoann,tt,ct,True,False
sè-sin,細辛,25,sè-sin,se3sin1,se3sin1,sesin,sesin,ss,ss,True,False
si-kue,絲瓜,25,si-koe,si1kue1,si1koe1,sikue,sikoe,sk,sk,True,False
li̍k-tsiunn,綠樟,25,le̍k-chiuⁿ,lik8tsiunn1,lek8chiunn1,liktsiunn,lekchiunn,lt,lc,True,False
lik-tik,綠竹,25,lek-tek,lik4tik4,lek4tek4,liktik,lektek,lt,lt,True,False
eng-be̍h,罌麥,25,eng-be̍h,eng1beh8,eng1beh8,engbeh,engbeh,eb,eb,True,False
iûnn-tāu,羊豆,25,iûⁿ-tāu,iunn5tau7,iunn5tau7,iunntau,iunntau,it,it,True,False
bah-tāu,肉豆,25,bah-tāu,bah4tau7,bah4tau7,bahtau,bahtau,bt,bt,True,False
siau-lâm,肖楠,25,siau-lâm,siau1lam5,siau1lam5,siaulam,siaulam,sl,sl,True,False
ho-tsio,胡椒,25,ho-chio,ho1tsio1,ho1chio1,hotsio,hochio,ht,hc,True,False
la̍h-tshì,臘刺,25,la̍h-chhì,lah8tshi3,lah8chhi3,lahtshi,lahchhi,lt,lc,True,False
tshàu-hīng,臭杏,25,chhàu-hēng,tshau3hing7,chhau3heng7,tshauhing,chhauheng,th,ch,True,False
tshàu-tsiunn,臭樟,25,chhàu-chiuⁿ,tshau3tsiunn1,chhau3chiunn1,tshautsiunn,chhauchiunn,tt,cc,True,False
tshàu-kue,臭瓜,25,chhàu-koe,tshau3kue1,chhau3koe1,tshaukue,chhaukoe,tk,ck,True,False
tsi-muâ,芝麻,25,chi-môa,tsi1mua5,chi1moa5,tsimua,chimoa,tm,cm,True,False
hue-tshó,花草,25,hoe-chhó,hue1tsho2,hoe1chho2,huetsho,hoechho,ht,hc,True,False
khóo-thu,苦株,25,khó͘-thu,khoo2thu1,khoo2thu1,khoothu,khoothu,kt,kt,True,False
khóo-līng,苦楝,25,khó͘-lēng,khoo2ling7,khoo2leng7,khooling,khooleng,kl,kl,True,False
khóo-tê,苦茶,25,khó͘-tê,khoo2te5,khoo2te5,khoote,khoote,kt,kt,True,False
khóo-muâ,苦麻,25,khó͘-môa,khoo2mua5,khoo2moa5,khoomua,khoomoa,km,km,True,False
thú-muâ,苧麻,25,thú-môa,thu2mua5,thu2moa5,thumua,thumoa,tm,tm,True,False
bak-nī,茉莉,25,bak-nī,bak4ni7,bak4ni7,bakni,bakni,bn,bn,True,False
huê-hiunn,茴香,25,hôe-hiuⁿ,hue5hiunn1,hoe5hiunn1,huehiunn,hoehiunn,hh,hh,True,False
tê-muî,茶梅,25,tê-mûi,te5mui5,te5mui5,temui,temui,tm,tm,True,False
tê-lân,茶蘭,25,tê-lân,te5lan5,te5lan5,telan,telan,tl,tl,True,False
tang-o,茼萵,25,tang-o,tang1o1,tang1o1,tango,tango,to,to,True,True
tsháu-se,草紗,25,chháu-se,tshau2se1,chhau2se1,tshause,chhause,ts,cs,True,False
hò-siū,荷樹,25,hò-siū,ho3siu7,ho3siu7,hosiu,hosiu,hs,hs,True,False
kuann-bâng,菅芒,25,koaⁿ-bâng,kuann1bang5,koann1bang5,kuannbang,koannbang,kb,kb,True,False
kak-hue,菊花,25,kak-hoe,kak4hue1,kak4hoe1,kakhue,kakhoe,kh,kh,True,False
tshong-pô,菖蒲,25,chhong-pô,tshong1po5,chhong1po5,tshongpo,chhongpo,tp,cp,True,False
tshài-hue,菜花,25,chhài-hoe,tshai3hue1,chhai3hoe1,tshaihue,chhaihoe,th,ch,True,False
tshài-tāu,菜豆,25,chhài-tāu,tshai3tau7,chhai3tau7,tshaitau,chhaitau,tt,ct,True,False
lâi-ho̍k,萊菔,25,lâi-ho̍k,lai5hok8,lai5hok8,laihok,laihok,lh,lh,True,True
suan-á,萱仔,25,soan-á,suan1a2,soan1a2,suana,soana,sa,sa,True,False
pián-thiok,萹蓄,25,pián-thiok,pian2thiok4,pian2thiok4,pianthiok,pianthiok,pt,pt,True,False
kuah-tsû,葛薯,25,koah-chû,kuah4tsu5,koah4chu5,kuahtsu,koahchu,kt,kc,True,True
kuah-tîn,葛藤,25,koah-tîn,kuah4tin5,koah4tin5,kuahtin,koahtin,kt,kt,True,True
pôo-kuî,蒲葵,25,pô͘-kûi,poo5kui5,poo5kui5,pookui,pookui,pk,pk,True,False
tsi̍t-lê,蒺藜,25,chi̍t-lê,tsit8le5,chit8le5,tsitle,chitle,tl,cl,True,False
tshio̍h-tsháu,蓆草,25,chhio̍h-chháu,tshioh8tshau2,chhioh8chhau2,tshiohtshau,chhiohchhau,tt,cc,True,False
pi-muâ,蓖麻,25,pi-môa,pi1mua5,pi1moa5,pimua,pimoa,pm,pm,True,False
thong-tshó,蓪草,25,thong-chhó,thong1tsho2,thong1chho2,thongtsho,thongchho,tt,tc,True,False
lô-tîn,蔞藤,25,lô-tîn,lo5tin5,lo5tin5,lotin,lotin,lt,lt,True,False
muâ-á,蔴仔,25,môa-á,mua5a2,moa5a2,muaa,moaa,ma,ma,True,False
muâ-tik,蔴竹,25,môa-tek,mua5tik4,moa5tek4,muatik,moatek,mt,mt,True,False
tshì-muî,蕀梅,25,chhì-mûi,tshi3mui5,chhi3mui5,tshimui,chhimui,tm,cm,True,False
huan-kam,蕃柑,25,hoan-kam,huan1kam1,hoan1kam1,huankam,hoankam,hk,hk,True,True
huan-hue,蕃花,25,hoan-hoe,huan1hue1,hoan1hoe1,huanhue,hoanhoe,hh,hh,True,True
huan-tshinn,蕃菁,25,hoan-chhiⁿ,huan1tshinn1,hoan1chhinn1,huantshinn,hoanchhinn,ht,hc,True,True
huan-kiunn,蕃薑,25,hoan-kiuⁿ,huan1kiunn1,hoan1kiunn1,huankiunn,hoankiunn,hk,hk,True,True
huan-be̍h,蕃麥,25,hoan-be̍h,huan1beh8,hoan1beh8,huanbeh,hoanbeh,hb,hb,True,True
huan-sué,蕃黍,25,hoan-sóe,huan1sue2,hoan1soe2,huansue,hoansoe,hs,hs,True,True
kiô-be̍h,蕎麥,25,kiô-be̍h,kio5beh8,kio5beh8,kiobeh,kiobeh,kb,kb,True,False
lōo-tîn,蕗藤,25,lō͘-tîn,loo7tin5,loo7tin5,lootin,lootin,lt,lt,True,False
keh-niau,蕨猫,25,keh-niau,keh4niau1,keh4niau1,kehniau,kehniau,kn,kn,True,False
po̍h-phê,薄皮,25,po̍h-phê,poh8phe5,poh8phe5,pohphe,pohphe,pp,pp,True,False
po̍h-ho,薄荷,25,po̍h-ho,poh8ho1,poh8ho1,pohho,pohho,ph,ph,True,False
kiunn-n̂g,薑黃,25,kiuⁿ-n̂g,kiunn1ng5,kiunn1ng5,kiunnng,kiunnng,kn,kn,True,False
tsû-táu,薯斗,25,chû-táu,tsu5tau2,chu5tau2,tsutau,chutau,tt,ct,True,False
tsû-tāu,薯豆,25,chû-tāu,tsu5tau7,chu5tau7,tsutau,chutau,tt,ct,True,False
tîn-tsû,藤薯,25,tîn-chû,tin5tsu5,tin5chu5,tintsu,tinchu,tt,tc,True,False
io̍h-hóo,藥虎,25,io̍h-hó͘,ioh8hoo2,ioh8hoo2,iohhoo,iohhoo,ih,ih,True,False
lōo-sué,蘆黍,25,lō͘-sóe,loo7sue2,loo7soe2,loosue,loosoe,ls,ls,True,False
soo-bo̍k,蘇木,25,so͘-bo̍k,soo1bok8,soo1bok8,soobok,soobok,sb,sb,True,False
soo-thih,蘇鐵,25,so͘-thih,soo1thih4,soo1thih4,soothih,soothih,st,st,True,False
pîn-pô,蘋婆,25,pîn-pô,pin5po5,pin5po5,pinpo,pinpo,pp,pp,True,False
hóo-tshì,虎刺,25,hó͘-chhì,hoo2tshi3,hoo2chhi3,hootshi,hoochhi,ht,hc,True,False
tsuâ-pô,蛇婆,25,chôa-pô,tsua5po5,choa5po5,tsuapo,choapo,tp,cp,True,False
tsuâ-pho,蛇波,25,chôa-pho,tsua5pho1,choa5pho1,tsuapho,choapho,tp,cp,True,False
bit-iū,蜜柚,25,bit-iū,bit4iu7,bit4iu7,bitiu,bitiu,bi,bi,True,False
pián-tsiong,蝙章,25,pián-chiong,pian2tsiong1,pian2chiong1,piantsiong,pianchiong,pt,pc,True,False
hê-bé,蝦尾,25,hê-bé,he5be2,he5be2,hebe,hebe,hb,hb,True,False
ia̍h-lân,蝶蘭,25,ia̍h-lân,iah8lan5,iah8lan5,iahlan,iahlan,il,il,True,False
thâng-sái,蟲屎,25,thâng-sái,thang5sai2,thang5sai2,thangsai,thangsai,ts,ts,True,False
tsîm-tshài,蟳菜,25,chîm-chhài,tsim5tshai3,chim5chhai3,tsimtshai,chimchhai,tt,cc,True,False
tshâm-tāu,蠶豆,25,chhâm-tāu,tsham5tau7,chham5tau7,tshamtau,chhamtau,tt,ct,True,False
huih-tông,血桐,25,huih-tông,huih4tong5,huih4tong5,huihtong,huihtong,ht,ht,True,False
huih-tîn,血藤,25,huih-tîn,huih4tin5,huih4tin5,huihtin,huihtin,ht,ht,True,False
kak-tshài,角菜,25,kak-chhài,kak4tshai3,kak4chhai3,kaktshai,kakchhai,kt,kc,True,False
tāu-hóo,豆虎,25,tāu-hó͘,tau7hoo2,tau7hoo2,tauhoo,tauhoo,th,th,True,False
kòng-á,貢仔,25,kòng-á,kong3a2,kong3a2,konga,konga,ka,ka,True,False
kuàn-tsiòng,貫眾,25,koàn-chiòng,kuan3tsiong3,koan3chiong3,kuantsiong,koanchiong,kt,kc,True,False
tshiah-ko,赤柯,25,chhiah-ko,tshiah4ko1,chhiah4ko1,tshiahko,chhiahko,tk,ck,True,False
tshiah-kua,赤柯,25,chhiah-koa,tshiah4kua1,chhiah4koa1,tshiahkua,chhiahkoa,tk,ck,True,False
tshiah-káu,赤校,25,chhiah-káu,tshiah4kau2,chhiah4kau2,tshiahkau,chhiahkau,tk,ck,True,False
tshiah-iông,赤榕,25,chhiah-iông,tshiah4iong5,chhiah4iong5,tshiahiong,chhiahiong,ti,ci,True,False
tshiah-phê,赤皮,25,chhiah-phê,tshiah4phe5,chhiah4phe5,tshiahphe,chhiahphe,tp,cp,True,False
tshiah-lân,赤蘭,25,chhiah-lân,tshiah4lan5,chhiah4lan5,tshiahlan,chhiahlan,tl,cl,True,False
tshiah-liû,赤鱗,25,chhiah-liû,tshiah4liu5,chhiah4liu5,tshiahliu,chhiahliu,tl,cl,True,False
uán-tsì,遠志,25,oán-chì,uan2tsi3,oan2chi3,uantsi,oanchi,ut,oc,True,True
sng-kiat,酸橘,25,sng-kiat,sng1kiat4,sng1kiat4,sngkiat,sngkiat,sk,sk,True,False
sng-tìn,酸藤,25,sng-tìn,sng1tin3,sng1tin3,sngtin,sngtin,st,st,True,False
kim-kam,金柑,25,kim-kam,kim1kam1,kim1kam1,kimkam,kimkam,kk,kk,True,False
kim-tsuánn,金盞,25,kim-chóaⁿ,kim1tsuann2,kim1choann2,kimtsuann,kimchoann,kt,kc,True,False
kim-sún,金筍,25,kim-sún,kim1sun2,kim1sun2,kimsun,kimsun,ks,ks,True,False
kim-ing,金英,25,kim-eng,kim1ing1,kim1eng1,kiming,kimeng,ki,ke,True,False
kau-tîn,鈎藤,25,kau-tîn,kau1tin5,kau1tin5,kautin,kautin,kt,kt,True,False
kau-tîn,鉤藤,25,kau-tîn,kau1tin5,kau1tin5,kautin,kautin,kt,kt,True,False
thih-á,鐵仔,25,thih-á,thih4a2,thih4a2,thiha,thiha,ta,ta,True,False
thih-tshiū,鐵樹,25,thih-chhiū,thih4tshiu7,thih4chhiu7,thihtshiu,thihchhiu,tt,tc,True,False
hông-kí,防巳,25,hông-kí,hong5ki2,hong5ki2,hongki,hongki,hk,hk,True,False
hông-hong,防風,25,hông-hong,hong5hong1,hong5hong1,honghong,honghong,hh,hh,True,False
kue-bâi,雞眉,25,koe-bâi,kue1bai5,koe1bai5,kuebai,koebai,kb,kb,True,False
seh-kam,雪柑,25,seh-kam,seh4kam1,seh4kam1,sehkam,sehkam,sk,sk,True,False
tshinn-tông,青桐,25,chhiⁿ-tông,tshinn1tong5,chhinn1tong5,tshinntong,chhinntong,tt,ct,True,False
tshinn-png,青楓,25,chhiⁿ-png,tshinn1png1,chhinn1png1,tshinnpng,chhinnpng,tp,cp,True,False
tshi-siunn,青箱,25,chhi-siuⁿ,tshi1siunn1,chhi1siunn1,tshisiunn,chhisiunn,ts,cs,True,False
tshinn-o,青荷,25,chhiⁿ-o,tshinn1o1,chhinn1o1,tshinno,chhinno,to,co,True,False
tshinn-phiô,青萍,25,chhiⁿ-phiô,tshinn1phio5,chhinn1phio5,tshinnphio,chhinnphio,tp,cp,True,False
hong-tîn,風藤,25,hong-tîn,hong1tin5,hong1tin5,hongtin,hongtin,ht,ht,True,False
hong-kóo,風鼓,25,hong-kó͘,hong1koo2,hong1koo2,hongkoo,hongkoo,hk,hk,True,False
hiunn-sam,香杉,25,hiuⁿ-sam,hiunn1sam1,hiunn1sam1,hiunnsam,hiunnsam,hs,hs,True,False
hiong-kó,香果,25,hiong-kó,hiong1ko2,hiong1ko2,hiongko,hiongko,hk,hk,True,False
hiunn-kam,香柑,25,hiuⁿ-kam,hiunn1kam1,hiunn1kam1,hiunnkam,hiunnkam,hk,hk,True,False
hiunn-iū,香柚,25,hiuⁿ-iū,hiunn1iu7,hiunn1iu7,hiunniu,hiunniu,hi,hi,True,False
hiunn-kuì,香桂,25,hiuⁿ-kùi,hiunn1kui3,hiunn1kui3,hiunnkui,hiunnkui,hk,hk,True,False
phang-lâi,香梨,25,phang-lâi,phang1lai5,phang1lai5,phanglai,phanglai,pl,pl,True,True
hiunn-lâm,香楠,25,hiuⁿ-lâm,hiunn1lam5,hiunn1lam5,hiunnlam,hiunnlam,hl,hl,True,False
hiunn-jû,香榆,25,hiuⁿ-jû,hiunn1ju5,hiunn1ju5,hiunnju,hiunnju,hj,hj,True,False
hiong-iân,香櫞,25,hiong-iân,hiong1ian5,hiong1ian5,hiongian,hiongian,hi,hi,True,False
hiunn-hû,香符,25,hiuⁿ-hû,hiunn1hu5,hiunn1hu5,hiunnhu,hiunnhu,hh,hh,True,False
phang-hue,香花,25,phang-hoe,phang1hue1,phang1hoe1,phanghue,phanghoe,ph,ph,True,True
hiong-jû,香茹,25,hiong-jû,hiong1ju5,hiong1ju5,hiongju,hiongju,hj,hj,True,True
hiunn-tsháu,香草,25,hiuⁿ-chháu,hiunn1tshau2,hiunn1chhau2,hiunntshau,hiunnchhau,ht,hc,True,False
phang-tsháu,香草,25,phang-chháu,phang1tshau2,phang1chhau2,phangtshau,phangchhau,pt,pc,True,True
ko-pue,高杯,25,ko-poe,ko1pue1,ko1poe1,kopue,kopoe,kp,kp,True,False
hî-tîn,魚藤,25,hî-tîn,hi5tin5,hi5tin5,hitin,hitin,ht,ht,True,False
tsiáu-lâi,鳥梨,25,chiáu-lâi,tsiau2lai5,chiau2lai5,tsiaulai,chiaulai,tl,cl,True,False
tsiáu-tshîng,鳥榕,25,chiáu-chhêng,tsiau2tshing5,chiau2chheng5,tsiautshing,chiauchheng,tt,cc,True,False
tsiáu-tsiunn,鳥樟,25,chiáu-chiuⁿ,tsiau2tsiunn1,chiau2chiunn1,tsiautsiunn,chiauchiunn,tt,cc,True,False
kue-kè,鷄冠,25,koe-kè,kue1ke3,koe1ke3,kueke,koeke,kk,kk,True,False
kue-iû,鷄油,25,koe-iû,kue1iu5,koe1iu5,kueiu,koeiu,ki,ki,True,False
kue-bâi,鷄眉,25,koe-bâi,kue1bai5,koe1bai5,kuebai,koebai,kb,kb,True,False
iâm-pô,鹽婆,25,iâm-pô,iam5po5,iam5po5,iampo,iampo,ip,ip,True,False
lo̍k-pn̄g,鹿飯,25,lo̍k-pn̄g,lok8png7,lok8png7,lokpng,lokpng,lp,lp,True,False
be̍h-á,麥仔,25,be̍h-á,beh8a2,beh8a2,beha,beha,ba,ba,True,False
bi̍k-tshong,麥葱,25,be̍k-chhong,bik8tshong1,bek8chhong1,biktshong,bekchhong,bt,bc,True,False
n̂g-peh,黃柏,25,n̂g-peh,ng5peh4,ng5peh4,ngpeh,ngpeh,np,np,True,False
n̂g-kam,黃柑,25,n̂g-kam,ng5kam1,ng5kam1,ngkam,ngkam,nk,nk,True,False
n̂g-kun,黃根,25,n̂g-kun,ng5kun1,ng5kun1,ngkun,ngkun,nk,nk,True,False
n̂g-tsuí,黃槿,25,n̂g-chúi,ng5tsui2,ng5chui2,ngtsui,ngchui,nt,nc,True,False
n̂g-kú,黃櫸,25,n̂g-kú,ng5ku2,ng5ku2,ngku,ngku,nk,nk,True,False
n̂g-phî,黃皮,25,n̂g-phî,ng5phi5,ng5phi5,ngphi,ngphi,np,np,True,False
n̂g-tîn,黃籐,25,n̂g-tîn,ng5tin5,ng5tin5,ngtin,ngtin,nt,nt,True,False
n̂g-sik,黃粟,25,n̂g-sek,ng5sik4,ng5sek4,ngsik,ngsek,ns,ns,True,False
n̂g-tîn,黃藤,25,n̂g-tîn,ng5tin5,ng5tin5,ngtin,ngtin,nt,nt,True,False
n̂g-muâ,黃麻,25,n̂g-môa,ng5mua5,ng5moa5,ngmua,ngmoa,nm,nm,True,False
n̂g-kí,黃𣏌,25,n̂g-kí,ng5ki2,ng5ki2,ngki,ngki,nk,nk,True,False
sué-á,黍仔,25,sóe-á,sue2a2,soe2a2,suea,soea,sa,sa,True,False
tshú-khak,鼠麴,25,chhú-khak,tshu2khak4,chhu2khak4,tshukhak,chhukhak,tk,ck,True,False
kí-thok,齒托,25,kí-thok,ki2thok4,ki2thok4,kithok,kithok,kt,kt,True,False
ku-hue,龜花,25,ku-hoe,ku1hue1,ku1hoe1,kuhue,kuhoe,kh,kh,True,False
ōng-lâi,𦬬萊,25,ōng-lâi,ong7lai5,ong7lai5,onglai,onglai,ol,ol,True,True
it-ki-hiunn,一枝香,16,it-ki-hiuⁿ,it4ki1hiunn1,it4ki1hiunn1,itkihiunn,itkihiunn,ikh,ikh,True,False
it-tiám-hông,一點紅,16,it-tiám-hông,it4tiam2hong5,it4tiam2hong5,ittiamhong,ittiamhong,ith,ith,True,False
tshit-hōo-liân,七厚蓮,16,chhit-hō͘-liân,tshit4hoo7lian5,chhit4hoo7lian5,tshithoolian,chhithoolian,thl,chl,True,False
tshit-tshùn-kim,七寸金,16,chhit-chhùn-kim,tshit4tshun3kim1,chhit4chhun3kim1,tshittshunkim,chhitchhunkim,ttk,cck,True,False
tshit-ji̍t-n̄g,七日暈,16,chhit-ji̍t-n̄g,tshit4jit8ng7,chhit4jit8ng7,tshitjitng,chhitjitng,tjn,cjn,True,False
tshit-lí-hiong,七星香,16,chhit-lí-hiong,tshit4li2hiong1,chhit4li2hiong1,tshitlihiong,chhitlihiong,tlh,clh,True,False
tshit-hio̍h-liân,七葉蓮,16,chhit-hio̍h-liân,tshit4hioh8lian5,chhit4hioh8lian5,tshithiohlian,chhithiohlian,thl,chl,True,False
tshit-lí-hiong,七里香,16,chhit-lí-hiong,tshit4li2hiong1,chhit4li2hiong1,tshitlihiong,chhitlihiong,tlh,clh,True,False
sann-pán-to,三版刀,16,saⁿ-pán-to,sann1pan2to1,sann1pan2to1,sannpanto,sannpanto,spt,spt,True,False
sann-hī-tsháu,三耳草,16,saⁿ-hī-chháu,sann1hi7tshau2,sann1hi7chhau2,sannhitshau,sannhichhau,sht,shc,True,False
sann-kha-ting,三脚丁,16,saⁿ-kha-teng,sann1kha1ting1,sann1kha1teng1,sannkhating,sannkhateng,skt,skt,True,False
sann-kha-pia̍t,三脚別,16,saⁿ-kha-pia̍t,sann1kha1piat8,sann1kha1piat8,sannkhapiat,sannkhapiat,skp,skp,True,False
sann-kha-tiāu,三脚掉,16,saⁿ-kha-tiāu,sann1kha1tiau7,sann1kha1tiau7,sannkhatiau,sannkhatiau,skt,skt,True,False
sann-kha-phî,三脚皮,16,saⁿ-kha-phî,sann1kha1phi5,sann1kha1phi5,sannkhaphi,sannkhaphi,skp,skp,True,False
sann-kha-hóo,三脚虎,16,saⁿ-kha-hó͘,sann1kha1hoo2,sann1kha1hoo2,sannkhahoo,sannkhahoo,skh,skh,True,False
sann-kha-pih,三脚鼈,16,saⁿ-kha-pih,sann1kha1pih4,sann1kha1pih4,sannkhapih,sannkhapih,skp,skp,True,True
sann-kha-puà,三角破,16,saⁿ-kha-pòa,sann1kha1pua3,sann1kha1poa3,sannkhapua,sannkhapoa,skp,skp,True,False
sann-kha-pih,三角鼈,16,saⁿ-kha-pih,sann1kha1pih4,sann1kha1pih4,sannkhapih,sannkhapih,skp,skp,True,True
sann-pih-pí,三鼈比,16,saⁿ-pih-pí,sann1pih4pi2,sann1pih4pi2,sannpihpi,sannpihpi,spp,spp,True,True
put-liû-hîng,不留行,16,put-liû-hêng,put4liu5hing5,put4liu5heng5,putliuhing,putliuheng,plh,plh,True,False
m̄-kiann-king,不驚經,16,m̄-kiaⁿ-keng,m7kiann1king1,m7kiann1keng1,mkiannking,mkiannkeng,mkk,mkk,True,True
m̄-kiann-tê,不驚茶,16,m̄-kiaⁿ-tê,m7kiann1te5,m7kiann1te5,mkiannte,mkiannte,mkt,mkt,True,True
tshǹg-phīnn-lîng,串鼻龍,16,chhǹg-phīⁿ-lêng,tshng3phinn7ling5,chhng3phinn7leng5,tshngphinnling,chhngphinnleng,tpl,cpl,True,False
kiú-kiong-kū,九芎舅,16,kiú-kiong-kū,kiu2kiong1ku7,kiu2kiong1ku7,kiukiongku,kiukiongku,kkk,kkk,True,False
káu-tîng-tshe,九重吹,16,káu-têng-chhe,kau2ting5tshe1,kau2teng5chhe1,kautingtshe,kautengchhe,ktt,ktc,True,False
khit-tshia̍h-uánn,乞食碗,16,khit-chhia̍h-óaⁿ,khit4tshiah8uann2,khit4chhiah8oann2,khittshiahuann,khitchhiahoann,ktu,kco,True,False
lin-á-tsháu,乳仔草,16,lin-á-chháu,lin1a2tshau2,lin1a2chhau2,linatshau,linachhau,lat,lac,True,True
gōo-the̍h-kiô,五宅茄,16,gō͘-the̍h-kiô,goo7theh8kio5,goo7theh8kio5,goothehkio,goothehkio,gtk,gtk,True,False
gōo-kun-tsháu,五根草,16,gō͘-kun-chháu,goo7kun1tshau2,goo7kun1chhau2,gookuntshau,gookunchhau,gkt,gkc,True,False
ngóo-jiáu-jiông,五爪絨,16,ngó͘-jiáu-jiông,ngoo2jiau2jiong5,ngoo2jiau2jiong5,ngoojiaujiong,ngoojiaujiong,njj,njj,True,False
ngóo-jiáu-lîng,五爪龍,16,ngó͘-jiáu-lêng,ngoo2jiau2ling5,ngoo2jiau2leng5,ngoojiauling,ngoojiauleng,njl,njl,True,False
gōo-kha-lí,五脚里,16,gō͘-kha-lí,goo7kha1li2,goo7kha1li2,gookhali,gookhali,gkl,gkl,True,False
góo-lîng-lân,五龍蘭,16,gó͘-lêng-lân,goo2ling5lan5,goo2leng5lan5,goolinglan,goolenglan,gll,gll,True,False
tsínn-pinn-tsháu,井邊草,16,chíⁿ-piⁿ-chháu,tsinn2pinn1tshau2,chinn2pinn1chhau2,tsinnpinntshau,chinnpinnchhau,tpt,cpc,True,False
jîn-biān-tik,人面竹,16,jîn-biān-tek,jin5bian7tik4,jin5bian7tek4,jinbiantik,jinbiantek,jbt,jbt,True,False
jîn-tshì-tshang,仁刺葱,16,jîn-chhì-chhang,jin5tshi3tshang1,jin5chhi3chhang1,jintshitshang,jinchhichhang,jtt,jcc,True,False
sian-pa-tsiúnn,仙巴掌,16,sian-pa-chiúⁿ,sian1pa1tsiunn2,sian1pa1chiunn2,sianpatsiunn,sianpachiunn,spt,spc,True,False
hô-siú-oo,何首烏,16,hô-siú-o͘,ho5siu2oo1,ho5siu2oo1,hosiuoo,hosiuoo,hso,hso,True,False
hu̍t-thâu-kó,佛頭果,16,hu̍t-thâu-kó,hut8thau5ko2,hut8thau5ko2,hutthauko,hutthauko,htk,htk,True,False
sù-kun-tsú,使君子,16,sù-kun-chú,su3kun1tsu2,su3kun1chu2,sukuntsu,sukunchu,skt,skc,True,False
tó-tuē-kióng,倒地拱,16,tó-tōe-kióng,to2tue7kiong2,to2toe7kiong2,totuekiong,totoekiong,ttk,ttk,True,False
tó-tuē-lîng,倒地柃,16,tó-tōe-lêng,to2tue7ling5,to2toe7leng5,totueling,totoeleng,ttl,ttl,True,False
tó-kî-lîn,倒麒麟,16,tó-kî-lîn,to2ki5lin5,to2ki5lin5,tokilin,tokilin,tkl,tkl,True,False
siong-si̍t-tsháu,傷食草,16,siong-si̍t-chháu,siong1sit8tshau2,siong1sit8chhau2,siongsittshau,siongsitchhau,sst,ssc,True,False
guân-siau-kam,元宵柑,16,goân-siau-kam,guan5siau1kam1,goan5siau1kam1,guansiaukam,goansiaukam,gsk,gsk,True,True
thòo-á-tshài,兔仔草,16,thò͘-á-chhài,thoo3a2tshai3,thoo3a2chhai3,thooatshai,thooachhai,tat,tac,True,False
thòo-hī-tsháu,兔耳草,16,thò͘-hī-chháu,thoo3hi7tshau2,thoo3hi7chhau2,thoohitshau,thoohichhau,tht,thc,True,False
lāi-tang-tsí,內冬子,16,lāi-tang-chí,lai7tang1tsi2,lai7tang1chi2,laitangtsi,laitangchi,ltt,ltc,True,True
pat-kuà-tsháu,八卦草,16,pat-kòa-chháu,pat4kua3tshau2,pat4koa3chhau2,patkuatshau,patkoachhau,pkt,pkc,True,False
pueh-kak-á,八角仔,16,poeh-kak-á,pueh4kak4a2,poeh4kak4a2,puehkaka,poehkaka,pka,pka,True,False
pueh-kak-liân,八角蓮,16,poeh-kak-liân,pueh4kak4lian5,poeh4kak4lian5,puehkaklian,poehkaklian,pkl,pkl,True,False
kong-sun-kiat,公孫橘,16,kong-sun-kiat,kong1sun1kiat4,kong1sun1kiat4,kongsunkiat,kongsunkiat,ksk,ksk,True,False
la̍k-ge̍h-seh,六月雪,16,la̍k-ge̍h-seh,lak8geh8seh4,lak8geh8seh4,lakgehseh,lakgehseh,lgs,lgs,True,False
la̍k-liàm-á,六棯仔,16,la̍k-liàm-á,lak8liam3a2,lak8liam3a2,lakliama,lakliama,lla,lla,True,False
la̍k-kiám-á,六檢仔,16,la̍k-kiám-á,lak8kiam2a2,lak8kiam2a2,lakkiama,lakkiama,lka,lka,True,False
la̍k-kak-ing,六角英,16,la̍k-kak-eng,lak8kak4ing1,lak8kak4eng1,lakkaking,lakkakeng,lki,lke,True,False
la̍k-kak-tsháu,六角草,16,la̍k-kak-chháu,lak8kak4tshau2,lak8kak4chhau2,lakkaktshau,lakkakchhau,lkt,lkc,True,False
tsài-sing-kiat,再生橘,16,chài-seng-kiat,tsai3sing1kiat4,chai3seng1kiat4,tsaisingkiat,chaisengkiat,tsk,csk,True,False
líng-pn̄g-tîn,冷飯藤,16,léng-pn̄g-tîn,ling2png7tin5,leng2png7tin5,lingpngtin,lengpngtin,lpt,lpt,True,False
tshìn-pn̄g-tîn,凊飯藤,16,chhìn-pn̄g-tîn,tshin3png7tin5,chhin3png7tin5,tshinpngtin,chhinpngtin,tpt,cpt,True,False
tshut-sing-láu,出生老,16,chhut-seng-láu,tshut4sing1lau2,chhut4seng1lau2,tshutsinglau,chhutsenglau,tsl,csl,True,False
