tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
king-ha̍k,經學,25,keng-ha̍k,king1hak8,keng1hak8,kinghak,kenghak
king-tōo,經度,25,keng-tō͘,king1too7,keng1too7,kingtoo,kengtoo
king-li̍k,經歷,25,keng-le̍k,king1lik8,keng1lek8,kinglik,kenglek
king-lo̍k,經絡,25,keng-lo̍k,king1lok8,keng1lok8,kinglok,kenglok
kenn-suànn,經線,25,keⁿ-sòaⁿ,kenn1suann3,kenn1soann3,kennsuann,kennsoann
king-suànn,經線,25,keng-sòaⁿ,king1suann3,keng1soann3,kingsuann,kengsoann
kinn-suànn,經線,25,kiⁿ-sòaⁿ,kinn1suann3,kinn1soann3,kinnsuann,kinnsoann
kenn-bue̍h,經襪,25,keⁿ-boe̍h,kenn1bueh8,kenn1boeh8,kennbueh,kennboeh
kinn-be̍h,經襪,25,kiⁿ-be̍h,kinn1beh8,kinn1beh8,kinnbeh,kinnbeh
king-hong,經風,25,keng-hong,king1hong1,keng1hong1,kinghong,kenghong
li̍k-phìnn,綠片,25,le̍k-phìⁿ,lik8phinn3,lek8phinn3,likphinn,lekphinn
uî-khik,維刻,25,ûi-khek,ui5khik1,ui5khek1,uikhik,uikhek
uî-ki,維基,25,ûi-ki,ui5ki1,ui5ki1,uiki,uiki
uî-tshî,維持,25,ûi-chhî,ui5tshi5,ui5chhi5,uitshi,uichhi
bāng-tshenn,網星,25,bāng-chheⁿ,bang7tshenn1,bang7chhenn1,bangtshenn,bangchhenn
bāng-tshinn,網星,25,bāng-chhiⁿ,bang7tshinn1,bang7chhinn1,bangtshinn,bangchhinn
bāng-hông,網紅,25,bāng-hông,bang7hong5,bang7hong5,banghong,banghong
bāng-se,網紗,25,bāng-se,bang7se1,bang7se1,bangse,bangse
bāng-le,網絡,25,bāng-le,bang7le1,bang7le1,bangle,bangle
bāng-me̍h,網脈,25,bāng-me̍h,bang7meh8,bang7meh8,bangmeh,bangmeh
bāng-tshìng,網衝,25,bāng-chhèng,bang7tshing3,bang7chheng3,bangtshing,bangchheng
bāng-tsìng,網衝,25,bāng-chèng,bang7tsing3,bang7cheng3,bangtsing,bangcheng
bāng-tsì,網誌,25,bāng-chì,bang7tsi3,bang7chi3,bangtsi,bangchi
bāng-lōo,網路,25,bāng-lō͘,bang7loo7,bang7loo7,bangloo,bangloo
bāng-kun,網軍,25,bāng-kun,bang7kun1,bang7kun1,bangkun,bangkun
bāng-liān,網鍊,25,bāng-liān,bang7lian7,bang7lian7,banglian,banglian
bāng-tíng,網頂,25,bāng-téng,bang7ting2,bang7teng2,bangting,bangteng
bāng-ia̍h,網驛,25,bāng-ia̍h,bang7iah8,bang7iah8,bangiah,bangiah
bāng-tiám,網點,25,bāng-tiám,bang7tiam2,bang7tiam2,bangtiam,bangtiam
tè-li̍p,綴入,25,tè-li̍p,te3lip8,te3lip8,telip,telip
tuè-pài,綴拜,25,tòe-pài,tue3pai3,toe3pai3,tuepai,toepai
tuè-tshuē,綴揣,25,tòe-chhōe,tue3tshue7,toe3chhoe7,tuetshue,toechhoe
tè-tshē,綴揣,25,tè-chhē,te3tshe7,te3chhe7,tetshe,techhe
tuè-tsham,綴摻,25,tòe-chham,tue3tsham1,toe3chham1,tuetsham,toechham
tuè-tio̍h,綴著,25,tòe-tio̍h,tue3tioh8,toe3tioh8,tuetioh,toetioh
tuè-lōo,綴路,25,tòe-lō͘,tue3loo7,toe3loo7,tueloo,toeloo
tuè-thè,綴退,25,tòe-thè,tue3the3,toe3the3,tuethe,toethe
tuè-tsìn,綴進,25,tòe-chìn,tue3tsin3,toe3chin3,tuetsin,toechin
mî-tsinn,綿櫼,25,mî-chiⁿ,mi5tsinn1,mi5chinn1,mitsinn,michinn
mî-nuā,綿爛,25,mî-nōa,mi5nua7,mi5noa7,minua,minoa
mî-tsinn,綿精,25,mî-chiⁿ,mi5tsinn1,mi5chinn1,mitsinn,michinn
mî-mî,綿綿,25,mî-mî,mi5mi5,mi5mi5,mimi,mimi
mî-im,綿音,25,mî-im,mi5im1,mi5im1,miim,miim
kín-suan,緊旋,25,kín-soan,kin2suan1,kin2soan1,kinsuan,kinsoan
kín-kiû,緊球,25,kín-kiû,kin2kiu5,kin2kiu5,kinkiu,kinkiu
kín-tsáu,緊走,25,kín-cháu,kin2tsau2,kin2chau2,kintsau,kinchau
kín-sok,緊速,25,kín-sok,kin2sok1,kin2sok1,kinsok,kinsok
hui-bûn,緋聞,25,hui-bûn,hui1bun5,hui1bun5,huibun,huibun
khiâm-bi̍t,緘默,25,khiâm-bi̍t,khiam5bit8,khiam5bit8,khiambit,khiambit
suànn-sái,線屎,25,sòaⁿ-sái,suann3sai2,soann3sai2,suannsai,soannsai
siàn-thiu,線抽,25,siàn-thiu,sian3thiu1,sian3thiu1,sianthiu,sianthiu
siàn-pôo,線裒,25,siàn-pô͘,sian3poo5,sian3poo5,sianpoo,sianpoo
suànn-jiah,線跡,25,sòaⁿ-jiah,suann3jiah1,soann3jiah1,suannjiah,soannjiah
suànn-tíng,線頂,25,sòaⁿ-téng,suann3ting2,soann3teng2,suannting,soannteng
thōng-bô,緟無,25,thōng-bô,thong7bo5,thong7bo5,thongbo,thongbo
iân-hūn,緣份,25,iân-hūn,ian5hun7,ian5hun7,ianhun,ianhun
iân-tâu,緣投,25,iân-tâu,ian5tau5,ian5tau5,iantau,iantau
pian-bé,編碼,25,pian-bé,pian1be2,pian1be2,pianbe,pianbe
uān-khùn,緩困,25,oān-khùn,uan7khun3,oan7khun3,uankhun,oankhun
bián-tiān,緬甸,25,bián-tiān,bian2tian7,bian2tian7,biantian,biantian
hūi-tōo,緯度,25,hūi-tō͘,hui7too7,hui7too7,huitoo,huitoo
uí-tōo,緯度,25,úi-tō͘,ui2too7,ui2too7,uitoo,uitoo
uī-suànn,緯線,25,ūi-sòaⁿ,ui7suann3,ui7soann3,uisuann,uisoann
tsìn-hûn,縉雲,25,chìn-hûn,tsin3hun5,chin3hun5,tsinhun,chinhun
hâ-to,縖刀,25,hâ-to,ha5to1,ha5to1,hato,hato
hâ-phâng,縖帆,25,hâ-phâng,ha5phang5,ha5phang5,haphang,haphang
hâ-ân,縖絚,25,hâ-ân,ha5an5,ha5an5,haan,haan
hâ-niá,縖領,25,hâ-niá,ha5nia2,ha5nia2,hania,hania
pa̍k-tsàng,縛粽,25,pa̍k-chàng,pak8tsang3,pak8chang3,paktsang,pakchang
pâng-thīnn,縫紩,25,pâng-thīⁿ,pang5thinn7,pang5thinn7,pangthinn,pangthinn
siok-tôo,縮圖,25,siok-tô͘,siok1too5,siok1too5,sioktoo,sioktoo
sok-siá,縮寫,25,sok-siá,sok1sia2,sok1sia2,soksia,soksia
sok-ta,縮焦,25,sok-ta,sok1ta1,sok1ta1,sokta,sokta
sok-ân,縮絚,25,sok-ân,sok1an5,sok1an5,sokan,sokan
tsóng-láng,總攏,25,chóng-láng,tsong2lang2,chong2lang2,tsonglang,chonglang
chóng-sò͘,總數,25,chóng-sò͘,chong2so͘3,chong2soo3,chongso͘,chongsoo
tsóng-sī,總是,25,chóng-sī,tsong2si7,chong2si7,tsongsi,chongsi
tsóng-la̍p,總納,25,chóng-la̍p,tsong2lap8,chong2lap8,tsonglap,chonglap
tsóng-phòo,總舖,25,chóng-phò͘,tsong2phoo3,chong2phoo3,tsongphoo,chongphoo
tsóng-phoo,總鋪,25,chóng-pho͘,tsong2phoo1,chong2phoo1,tsongphoo,chongphoo
phing-tuà,繃帶,25,pheng-tòa,phing1tua3,pheng1toa3,phingtua,phengtoa
penn-ân,繃絚,25,peⁿ-ân,penn1an5,penn1an5,pennan,pennan
pinn-ân,繃絚,25,piⁿ-ân,pinn1an5,pinn1an5,pinnan,pinnan
sǹg-ân,繏絚,25,sǹg-ân,sng3an5,sng3an5,sngan,sngan
sǹg-ām,繏頷,25,sǹg-ām,sng3am7,sng3am7,sngam,sngam
jiàu-kíng,繞境,25,jiàu-kéng,jiau3king2,jiau3keng2,jiauking,jiaukeng
jiáu-kíng,繞境,25,jiáu-kéng,jiau2king2,jiau2keng2,jiauking,jiaukeng
huē-sū,繪士,25,hōe-sū,hue7su7,hoe7su7,huesu,hoesu
huē-pún,繪本,25,hōe-pún,hue7pun2,hoe7pun2,huepun,hoepun
hē-nî,繫年,25,hē-nî,he7ni5,he7ni5,heni,heni
kián-á,繭仔,25,kián-á,kian2a2,kian2a2,kiana,kiana
tînn-puànn,纏絆,25,tîⁿ-pòaⁿ,tinn5puann3,tinn5poann3,tinnpuann,tinnpoann
tînn-mî,纏綿,25,tîⁿ-mî,tinn5mi5,tinn5mi5,tinnmi,tinnmi
khih-tshuì,缺喙,25,khih-chhùi,khih1tshui3,khih1chhui3,khihtshui,khihchhui
kheh-kiánn,缺囝,25,kheh-kiáⁿ,kheh1kiann2,kheh1kiann2,khehkiann,khehkiann
khueh-kiánn,缺囝,25,khoeh-kiáⁿ,khueh1kiann2,khoeh1kiann2,khuehkiann,khoehkiann
khuat-huānn,缺旱,25,khoat-hōaⁿ,khuat1huann7,khoat1hoann7,khuathuann,khoathoann
tah-lân,罩蘭,25,tah-lân,tah1lan5,tah1lan5,tahlan,tahlan
tà-bông,罩雺,25,tà-bông,ta3bong5,ta3bong5,tabong,tabong
hua̍t-kiû,罰球,25,hoa̍t-kiû,huat8kiu5,hoat8kiu5,huatkiu,hoatkiu
hua̍t-tsînn,罰錢,25,hoa̍t-chîⁿ,huat8tsinn5,hoat8chinn5,huattsinn,hoatchinn
pā-khó,罷考,25,pā-khó,pa7kho2,pa7kho2,pakho,pakho
lô-guân,羅源,25,lô-goân,lo5guan5,lo5goan5,loguan,logoan
iônn-lám,羊腩,25,iôⁿ-lám,ionn5lam2,ionn5lam2,ionnlam,ionnlam
iônn-ám,羊腩,25,iôⁿ-ám,ionn5am2,ionn5am2,ionnam,ionnam
iûnn-lám,羊腩,25,iûⁿ-lám,iunn5lam2,iunn5lam2,iunnlam,iunnlam
iûnn-tô,羊駝,25,iûⁿ-tô,iunn5to5,iunn5to5,iunnto,iunnto
bí-kim,美金,25,bí-kim,bi2kim1,bi2kim1,bikim,bikim
lîng-iûnn,羚羊,25,lêng-iûⁿ,ling5iunn5,leng5iunn5,lingiunn,lengiunn
kûn-tshòng,群創,25,kûn-chhòng,kun5tshong3,kun5chhong3,kuntshong,kunchhong
kûn-tsoo,群組,25,kûn-cho͘,kun5tsoo1,kun5choo1,kuntsoo,kunchoo
kûn-má,群馬,25,kûn-má,kun5ma2,kun5ma2,kunma,kunma
gī-oo,義烏,25,gī-o͘,gi7oo1,gi7oo1,gioo,gioo
gī-tik,義竹,25,gī-tek,gi7tik1,gi7tek1,gitik,gitek
gī-bí,義美,25,gī-bí,gi7bi2,gi7bi2,gibi,gibi
kenn-pn̄g,羹飯,25,keⁿ-pn̄g,kenn1png7,kenn1png7,kennpng,kennpng
kenn-puīnn,羹飯,25,keⁿ-pūiⁿ,kenn1puinn7,kenn1puinn7,kennpuinn,kennpuinn
kinn-pn̄g,羹飯,25,kiⁿ-pn̄g,kinn1png7,kinn1png7,kinnpng,kinnpng
kinn-puīnn,羹飯,25,kiⁿ-pūiⁿ,kinn1puinn7,kinn1puinn7,kinnpuinn,kinnpuinn
siông-an,翔安,25,siông-an,siong5an1,siong5an1,siongan,siongan
hip-ha̍p,翕合,25,hip-ha̍p,hip1hap8,hip1hap8,hiphap,hiphap
hip-ba̍t,翕密,25,hip-ba̍t,hip1bat8,hip1bat8,hipbat,hipbat
hip-siàng,翕相,25,hip-siàng,hip1siang3,hip1siang3,hipsiang,hipsiang
khiàu-tsit,翹脊,25,khiàu-chit,khiau3tsit1,khiau3chit1,khiautsit,khiauchit
huan-tó,翻倒,25,hoan-tó,huan1to2,hoan1to2,huanto,hoanto
huan-toh,翻桌,25,hoan-toh,huan1toh1,hoan1toh1,huantoh,hoantoh
lāu-thuā,老thuē,25,lāu-thōa,lau7thua7,lau7thoa7,lauthua,lauthoa
lāu-thuē,老傫,25,lāu-thōe,lau7thue7,lau7thoe7,lauthue,lauthoe
lāu-su,老師,25,lāu-su,lau7su1,lau7su1,lausu,lausu
lōo-tóng,老懂,25,lō͘-tóng,loo7tong2,loo7tong2,lootong,lootong
láu-pún,老本,25,láu-pún,lau2pun2,lau2pun2,laupun,laupun
lāu-bú,老母,25,lāu-bú,lau7bu2,lau7bu2,laubu,laubu
láu-phòo,老舖,25,láu-phò͘,lau2phoo3,lau2phoo3,lauphoo,lauphoo
