hanzi,tl
斷籬倒壁,tn̄g-lî tó-piah
無對等作戰能力,bô-tuì-tíng tsok-tsiàn lîng-li̍k
下頦觳,ē-hâi-khok
加熱薰,ka-jia̍t-hun
加熱薰,ka-lia̍t-hun
油壓剪,iû-ap-tsián
齒仔,khí-á
齒仔,gí-á
針織,tsiam-tsit
噗仔紙,phok-á-tsuá
隱形缺氧,ún-hîng khuat-ióng
正齒,tsiànn-khí
大人齒,tuā-lâng-khí
軟轎,nńg-kiō
軟轎床,nńg-kiō-tshn̂g
傳播鍊,thuân-pò-liān
標靶藥物,piau-pé io̍h-bu̍t
類普篩,luī-phóo-thai
鼻竇炎,phīnn-tōo-iām
埋糞埽場,tâi-pùn-sò-tiûnn
天然痘,thian-jiân-tōo
天然痘,thian-liân-tōo
猴珠,kâu-tsu
前瞻計畫,tsiân-tsiam kè-uē
散赤線,sàn-tshiah-suànn
鱘龍魚,sîm-liông-hî
鱘龍魚,sîm-liông-hû
核分裂,hi̍k-hun-lia̍t
核融合,hi̍k-iông-ha̍p
燃料棒,jiân-liāu-pāng
燃料棒,liân-liāu-pāng
半衰期,puàn-sue-kî
半衰期,puànn-sue-kî
狐獴,hôo-bông
侵蝕,tshim-si̍t
葉克膜,ECMO
麥當勞,Be̍h-tong-lô
麥當勞,Bi̍k-tong-lô
加勒比海,Ka-li̍k-pí-hái
銃子篋仔,tshìng-tsí kheh-á
歇暝,hioh-mê
歇暝,hioh-mî
起跑點,khí-pháu-tiám
塔利班,Thah-lī-pan
壓炒房,ah tshá-pâng
四角尖碑,sì-kak-tsiam-pi
預售厝,ī-siū-tshù
預售厝,ū-siū-tshù
肥身症,puî-sin-tsìng
電競,tiān-kīng
虛擬實況主,hi-gí si̍t-hóng-tsú
奢華品,tshia-hua-phín
戮銃術,lak-tshìng-su̍t
監交,kàm-kau
thiàn-tòo,thiàn-tòo
布篷厝,pòo-phâng-tshù
配送,phuè-sàng
配送,phè-sàng
勗勉典禮,hiok-bián tián-lé
憂鬱症,iu-ut-tsìng
一夜干,it-iā-kuann
加碼,ka-bé
驅逐艦,khu-tio̍k-lām
驅逐令,khu-tio̍k-līng
歹牢胎,pháinn-tiâu-the
花袂牢枝,hue-bē-tiâu-ki
花袂牢枝,hue-buē-tiâu-ki
子宮肌瘤,tsú-kiong ki-liû
子宮肌瘤,tsú-kiong-ki-liû
頓卡,tǹg-khah
魚子醬,hî-tsí-tsiùnn
引路人,ín-lōo-lâng
還稅於民,hîng-suè-î-bîn
還稅於民,hîng-sè-î-bîn
考銃,khó-tshìng
強欲絕種,kiông-beh tse̍h-tsíng
強欲絕種,kiông-beh tsua̍t-tsíng
大粒攄,tuā-lia̍p-lu
腹地,pak-tē
腹地,pak-tuē
熟似人客,si̍k-sāi lâng-kheh
人陣,lâng-tīn
過路人,kuè-lōo-lâng
奶管原位癌,ling-kńg guân-uī-gâm
焦慮症,tsiau-lī-tsìng
焦慮症,tsiau-lū-tsìng
掩身戰機,iám-sin tsiàn-ki
匿蹤戰機,li̍k-tsong tsiàn-ki
閣揆,koh-kuî
遊戲,iû-hì
追劇,tui-kio̍k
追星,tui-tshenn
追星,tui-tshinn
坦邊,thán-pinn
邊仔面,pinn--á-bīn
沉浸式,tîm-tsìm-sik
燒膨冷縮,sio-phòng-líng-sok
熱脹冷縮,jia̍t-tiòng-líng-sok
熱脹冷縮,lia̍t-tiòng-líng-sok
快送,khuài-sàng
樹掛,tshiū-kuà
泅水衫,siû-tsuí-sann
游泳衫,iû-íng-sann
泅水池,siû-tsuí-tî
游泳池,iû-íng-tî
泅水鏡,siû-tsuí-kiànn
游泳鏡,iû-íng-kiànn
心肌梗塞,sim-ki kīng-sik
心肌梗窒,sim-ki kénn-that
心肌梗窒,sim-ki kínn-that
易科罰金,i̍k-kho hua̍t-kim
人工智慧,jîn-kang tì-huī
伸勼工時,tshun-kiu kang-sî
彗星,huī-tshenn
彗星,huī-tshinn
個資漏洩,kò-tsu lāu-sia̍p
石滬,tsio̍h-hōo
海洛因,hái-lo̍k-in
安非他命,an-hui-tha-bīng
焚化爐,hûn-huà-lôo
牛棚,gû-pênn
牛棚,gû-pînn
台積電,Tâi-tsik-tiān
聯合國,Liân-ha̍p-kok
惡性腫瘤,ok-sìng tsíng-liû
淨零排放,tsīng-lîng pâi-hòng
溫室氣體,un-sik khì-thé
溫室效應,un-sik hāu-ìng
跔厝經濟,ku-tshù king-tsè
網紅,bāng-âng
網衝,bāng-tshìng
外役監,guā-i̍k-kann
邊境,pian-kíng
視神經,sī-sîn-king
角膜,kak-mo̍oh
疫情翻箍,i̍k-tsîng huan-khoo
疫情轉和,i̍k-tsîng tńg-hô
疫情較坐,i̍k-tsîng khah-tsē
游擊隊,iû-kik-tuī
製程,tsè-thîng
挖人才,óo jîn-tsâi
挖人才,óo lîn-tsâi
轉翕,tsuán-hip
分析師,hun-sik-su
山友,suann-iú
徛槳,khiā-tsiúnn
鋒面,hong-bīn
大雨特報,tuā-ú ti̍k-pò
豪雨特報,hô-ú ti̍k-pò
大豪雨特報,tuā-hô-ú ti̍k-pò
超大豪雨特報,tshiau-tuā-hô-ú ti̍k-pò
大水雨,tuā-tsuí-hōo
摧死,tshui--sí
糋路,tsìnn-lōo
分道,pun-tō
分道喙,pun-tō-tshuì
室友,sik-iú
阿茲海默症,A-tsu-hái-bi̍k-tsìng
和絃,hô-hiân
乳突病毒,jú-tu̍t pēnn-to̍k
乳突病毒,lú-tu̍t pīnn-to̍k
越位,ua̍t-uī
ok-sái,ok-sái
影像輔助裁判,iánn-siōng hú-tsōo tshâi-phuànn
甲烷,kah-uân
甲醇,kah-sûn
崁名者,Khàm-miâ-tsiá
匿名者,Li̍k-miâ-tsiá
崁名,khàm-miâ
匿名,li̍k-miâ
鬚鯨類,tshiu-king-luī
穆斯林,Bo̍k-su-lîm
婚外情,hun-guā-tsîng
外遇,guā-gū
煮食,tsú-tsia̍h
防呆機制,hông-tai ki-tsè
慢性病連續藥單,bān-sìng-pēnn liân-sio̍k io̍h-tuann
置入性行銷,tì-ji̍p-sìng hîng-siau
置入性行銷,tì-li̍p-sìng hîng-siau
傭兵,iông-ping
巡弋飛彈,sûn-ik hui-tuânn
機械手骨,ki-hāi tshiú-kut
復刻,ho̍k-khik
迷眾頁,bê-tsiòng-ia̍h
工課場,khang-khuè-tiûnn
職場,tsit-tiûnn
最低工資法,Tsuè-kē kang-tsu-huat
性騷擾,sìng-so-jiáu
霸凌,pà-lîng
充電柱,tshiong-tiān thiāu
截圖,tsia̍t-tôo
蓄水,thiok-tsuí
蓄水率,thiok-tsuí-lu̍t
蓄水池,thiok-tsuí-tî
蓄水量,thiok-tsuí-liōng
存檔,tsûn-tóng
太陽能枋,thài-iông-lîng pang
