tl,hanzi,frequency,poj
thóo,土,4794,thó͘
suán,選,4775,soán
hā,下,4750,hā
ē,下,4750,ē
iû,油,4709,iû
pōo,步,4691,pō͘
kī,己,4680,kī
piáu,表,4675,piáu
tsháu,草,4667,chháu
tsí,子,4660,chí
iú,友,4656,iú
thiànn,疼,4635,thiàⁿ
pîng,平,4615,pêng
bah,肉,4608,bah
tsio̍h,石,4571,chio̍h
tàng,當,4562,tàng
sè,細,4559,sè
gia̍p,業,4524,gia̍p
pàng,放,4507,pàng
pau,包,4485,pau
tsiú,酒,4471,chiú
sio̍k,續,4468,sio̍k
kuí,幾,4460,kúi
bí,米,4425,bí
má,媽,4398,má
tik,竹,4383,tek
tshiūnn,像,4377,chhiūⁿ
pah,百,4376,pah
iūnn,樣,4375,iūⁿ
ná,哪,4354,ná
tsiap,接,4351,chiap
sái,屎,4331,sái
io̍h,藥,4327,io̍h
lia̍h,掠,4324,lia̍h
té,底,4318,té
liân,連,4313,liân
hāng,項,4298,hāng
kim,今,4280,kim
hiòng,向,4258,hiòng
kiù,救,4257,kiù
kám,敢,4239,kám
īng,用,4235,ēng
káng,港,4182,káng
hiann,兄,4171,hiaⁿ
suànn,線,4156,sòaⁿ
lîng,能,4149,lêng
ki,基,4131,ki
tshiū,樹,4070,chhiū
o̍h,學,4044,o̍h
tsiàn,戰,4010,chiàn
kha,腳,4002,kha
siat,設,4002,siat
tshiò,笑,3995,chhiò
tsē,坐,3988,chē
kheh,客,3978,kheh
liām,念,3977,liām
sì,世,3962,sì
tī,治,3960,tī
kiû,求,3908,kiû
kóo,古,3902,kó͘
tso̍k,族,3899,cho̍k
kî,期,3897,kî
hô,和,3885,hô
kái,改,3877,kái
hâng,行,3876,hâng
thóng,統,3866,thóng
liû,流,3829,liû
káu,狗,3818,káu
uī,為,3816,ūi
hūn,份,3815,hūn
kài,界,3799,kài
iok,約,3742,iok
tsíng,種,3740,chéng
lī,離,3699,lī
pn̄g,飯,3685,pn̄g
hāi,害,3678,hāi
tiàm,店,3670,tiàm
sik,式,3669,sek
si,詩,3665,si
poo,埔,3662,po͘
kut,骨,3660,kut
tsí,止,3659,chí
tsiok,足,3647,chiok
kî,其,3645,kî
e,挨,3611,e
lí,里,3604,lí
i,醫,3593,i
uân,員,3580,oân
kak,角,3575,kak
kà,教,3568,kà
kòo,顧,3561,kò͘
sī,示,3535,sī
kua,歌,3521,koa
sán,產,3513,sán
tsiànn,正,3491,chiàⁿ
tit,得,3486,tit
khùn,睏,3486,khùn
tang,冬,3477,tang
pān,辦,3468,pān
kuann,官,3458,koaⁿ
tsiòng,將,3441,chiòng
tshim,深,3438,chhim
tsiah,才,3434,chiah
tê,茶,3426,tê
tann,今,3424,taⁿ
hîng,形,3419,hêng
àn,按,3419,àn
sai,師,3410,sai
hn̂g,園,3408,hn̂g
tsō,造,3400,chō
huán,反,3397,hoán
ti̍k,特,3397,te̍k
pēnn,病,3392,pēⁿ
su,輸,3390,su
kong,光,3388,kong
