hanzi,tl,frequency
作詞,tsok-sû,25
併步,pìng-pōo,25
來洗,lâi-sé,25
例字,lē-jī,25
侵蝕,tshim-si̍t,25
俗名,sio̍k-miâ,25
俗語,sio̍k-gí,25
保溫,pó-un,25
保育,pó-io̍k,25
修辭,siu-sû,25
修飾,siu-sik,25
倉儲,tshng-tû,25
個位,kò-uī,25
個性,kò-sìng,25
個數,kò-sòo,25
倍式,puē-sik,25
倍數,puē-sòo,25
倍率,puē-lu̍t,25
倒拋,tò-pha,25
倒敘,tò-sū,25
倒照,tò-tsiò,25
倭寇,o-khòo,25
倭番,ue-huan,25
值班,ti̍t-pan,25
偏折,phian-tsiat,25
偏轉,phian-tsuán,25
做數,tsò-sòo,25
做文,tsò-bûn,25
停頓,thîng-tùn,25
健美,kiān-bí,25
側芽,tshik-gê,25
側踢,tshik-that,25
偷渡,thau-tōo,25
偽造,guī-tsō,25
備份,pī-hūn,25
傳唱,thuân-tshiùnn,25
傳導,thuân-tō,25
傳染,thuân-jiám,25
傳球,thuân-kiû,25
傳真,thuân-tsin,25
傳種,thn̂g-tsíng,25
傳粉,thuân-hún,25
傳記,tuān-kì,25
傷口,siong-kháu,25
傷風,siong-hong,25
儀器,gî-khì,25
億位,ik-uī,25
優點,iu-tiám,25
兆位,tiāu-uī,25
先民,sian-bîn,25
光圈,kng-khuan,25
光學,kong-ha̍k,25
光度,kng-tōo,25
光星,kng-tshenn,25
光束,kng-sok,25
光源,kng-guân,25
光碟,kong-tia̍p,25
光能,kng-lîng,25
入聲,ji̍p-siann,25
內心,lāi-sim,25
內海,lāi-hái,25
內臟,lāi-tsōng,25
內角,lāi-kak,25
內陸,lāi-lio̍k,25
全文,tsuân-bûn,25
全音,tsuân-im,25
兩拍,nn̄g-phik,25
八音,pat-im,25
公丈,kong-tn̄g,25
公兩,kong-niú,25
公勺,kong-sia̍h,25
公合,kong-kap,25
公告,kong-kò,25
公噸,kong-tùn,25
公寸,kong-tshùn,25
公差,kong-tsha,25
公廳,kong-thiann,25
公式,kong-sik,25
公引,kong-ín,25
公撮,kong-tshok,25
公擔,kong-tànn,25
公斗,kong-táu,25
公毫,kong-hô,25
公畝,kong-bóo,25
公石,kong-tsio̍h,25
公秉,kong-píng,25
公絲,kong-si,25
公花,kang-hue,25
公衡,kong-hîng,25
公錢,kong-tsînn,25
公頃,kong-khíng,25
六書,lio̍k-su,25
典故,tián-kòo,25
冊名,tsheh-miâ,25
冊櫥,tsheh-tû,25
冒號,mōo-hō,25
冬季,tang-kuì,25
冰晶,ping-tsing,25
冰雕,ping-tiau,25
冷鋒,líng-hong,25
凍塗,tòng-thôo,25
