hanzi,tl
大力,tuā-la̍t
小人,siáu-jîn/siáu-lîn
川七,tshuan-tshit
工人,kang-lâng
丈人公,tiūnn-lâng-kong
三七仔,sam-tshit-á
丈人爸,tiūnn-lâng-pâ
三八氣,sam-pat-khuì
丈人媽,tiūnn-lâng-má
上久,siōng-kú
上山,tsiūnn-suann
下山,hā-san
久久,kú-kú
大下,tuā-ē
小口,sió-kháu
小工,sió-kang
才子,tsâi-tsú
大丈夫,tāi-tiōng-hu
干干仔,kan-kan-á
三山國王,Sam-san-kok-ông
千千萬萬,tshian-tshian-bān-bān
上山頭,tsiūnn-suann-thâu
丈公,tiūnn-kong
上元,Siōng-guân
下元,Hā-guân
下勻,ē-ûn
大不了,tāi-put-liáu
三不五時,sam-put-gōo-sî
土公仔,thóo-kong-á
小丑仔,siáu-thiú-á
土公仔性,thóo-kong-á-sìng
上元暝,Siōng-guân-mê/Siōng-guân-mî
上午,siōng-ngóo
上天,siōng-thian
上手,tsiūnn-tshiú
上水,tshiūnn-tsuí
下午,hā-ngóo
下手,hē-tshiú
下手,ē-tshiú
下水,hā-suí
土木,thóo-bo̍k
大方,tāi-hong
大日,tuā-ji̍t/tuā-li̍t
大月,tuā-gue̍h/tuā-ge̍h
寸尺,tshùn-tshioh
小心,sió-sim
小月,sió-gue̍h/sió-ge̍h
小木,sió-ba̍k
工夫,kang-hu
三太子,Sam-thài-tsú
上尺工,siāng-tshe-kong
三心兩意,sam-sim-lióng-ì
大心氣,tuā-sim-khuì
千斤秤,tshian-kin-tshìn/tshian-kun-tshìn
三文魚,sam-bûn-hî/sam-bûn-hû
下水湯,hā-suí-thng
大爿,tuā-pîng
丸仔,uân-á
大兄,tuā-hiann
工仔,kang-á
巾仔,kin-á/kun-á
弓仔,king-á
大主大意,tuā-tsú-tuā-ì
大代誌,tuā tāi-tsì
上加,siōng-ke
上北,tsiūnn-pak
下司,ē-si
土包仔,thóo-pau-á
小可仔,sió-khuá-á
大四界,tuā-sì-kè/tuā-sì-kuè
上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap
下半暝,ē-puànn-mê/ē-puànn-mî
上市,tsiūnn-tshī
下本,hē-pún
大本,tuā-pún
小旦,sió-tuànn
上目,tsiūnn-ba̍k
口白,kháu-pe̍h
大目,tuā-ba̍k
小生,sió-sing
小玉仔,sió-gio̍k-á
小白菜,sió-pe̍h-tshài
大甲蓆,Tāi-kah-tshio̍h
上任,tsiūnn-jīm/tsiūnn-līm
久仰,kiú-gióng
干休,kan-hiu
大名,tuā-miâ
大囝,tuā-kiánn
小名,sió-miâ
小囝,sió-kiánn
大同仔,tāi-tông-á
上好,siōng hó
也好,iā hó
土地,thóo-tē/thóo-tuē
土地公,Thóo-tī-kong
下早仔,e-tsái-á
大耳,tuā-hīnn/tuā-hī
大舌,tuā-tsi̍h
大伯,tuā-peh
大位,tuā-uī
工作,kang-tsok
山伯英台,San-phik-Ing-tâi
大妗,tuā-kīm
山尾溜,suann-bué-liu/suann-bé-liu
子弟,tsú-tē
小弟,sió-tī
子弟戲,tsú-tē-hì
三更,sann-kenn/sann-kinn
三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî
口灶,kháu-tsàu
小肚,sió-tōo
大肚胿,tuā-tōo-kui
三角,sann-kak
久見,kiú-kiàn
山谷,suann-kok
川芎,tshuan-kiong
川貝,tshuan-puè
干貝,kan-puè
千里眼,Tshian-lí-gán
三角窗,sann-kak-thang
三角褲,sann-kak-khòo
千里鏡,tshian-lí-kiànn
久來,kú--lâi
口供,kháu-king
大使,tāi-sài
小事,sió-sū
小使,siáu-sú
工事,kang-sū
女兒,lú-jî/lú-lî
小叔,sió-tsik
小管仔,sió-kńg-á
小兒科,sió-jî-kho/sió-lî-kho
小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì
山坪,suann-phiânn
丈姆,tiūnn-ḿ
大姆,tuā-ḿ
大姊,tuā-tsí
大姑,tuā-koo
小妹,sió-muē/sió-bē
小姐,sió-tsiá
小姑,sió-koo
丈姆婆,tiūnn-ḿ-pô
下底,ē-té/ē-tué
大官,ta-kuann
大官虎,tuā-kuann-hóo
土性,thóo-sìng
下性命,hē-sènn-miā/hē-sìnn-miā
大房,tuā-pâng
大拖,tuā-thua
下昏,e-hng
山東白仔,suann-tang-pe̍h-á
下昏暗,e-hng-àm
乞的,khit--ê
土直,thóo-ti̍t
三肢手,sann-ki-tshiú
久長,kú-tn̂g
千金,tshian-kim
三長兩短,sann-tn̂g-nn̄g-té
上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî
久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn
千金譜,Tshian-kim-phóo
大便,tāi-piān
大前年,tuā-tsûn--nî
大姨,tuā-î
上帝,Siōng-tè
上帝公,Siōng-tè-kong
三思,sàm-su
大後日,tuā-āu--ji̍t/tuā-āu--li̍t
大後年,tuā-āu--nî
山後鳥,suann-āu-tsiáu
也是,iā sī
才是,tsiah-sī
大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t
大某,tuā-bóo
山洞,suann-tōng
三牲,sam-sing
三界公,Sam-kài-kong
三界娘仔,sam-kài-niû-á
山珍海味,san-tin-hái-bī
山苳蒿,suann-tang-o
低音,kē-im
乞食,khit-tsia̍h
口面,kháu-bīn
口音,kháu-im
乞食命,khit-tsia̍h-miā
大面神,tuā-bīn-sîn
乞食琴,khit-tsia̍h-khîm
乞食頭,khit-tsia̍h-thâu
土匪,thóo-huí
大厝,tuā-tshù
大哥,tuā-ko
低厝仔,kē-tshù-á
大娘姑,tuā-niû-koo
口座,kháu-tsō
土師,thóo-sai
大孫,tuā-sun
大家,ta-ke
子宮,tsú-kiong
山崁,suann-khàm
大家口,tuā-ke-kháu
大家官,ta-ke-kuann
子時,tsú-sî
上桌,tsiūnn-toh
口氣,kháu-khì
大氣,tāi-khì
大氣,tuā-khuì
大氣喘,tuā-khuì-tshuán
干涉,kan-sia̍p
低級,kē-kip
大陣,tuā tīn
小鬼仔殼,siáu-kuí-á-khak
三除四扣,sann-tû-sì-khàu
上崎,tsiūnn-kiā
山崙,suann-lūn
才情,tsâi-tsîng
三教,sam-kàu
下晝,ē-tàu
下晡,ē-poo
小票,sió-phiò
三絃,sam-hiân
大細,tuā-sè/tuā-suè
大細心,tuā-sè-sim/tuā-suè-sim
大細目,tuā-sè-ba̍k/tuā-suè-ba̍k
山頂,suann-tíng
工場,kang-tiûnn
大富,tuā-pù
大寒,tuā-kuânn
大富大貴,tuā-hù-tuā-kuì
大摒掃,tuā-piànn-sàu
上殕,tshiūnn-phú
下港,ē-káng
大港,tuā-káng
大湧,tuā-íng
干焦,kan-na
下痟,hā-siau
口琴,kháu-khîm
工程,kang-tîng
工程師,kang-tîng-su
上等,siōng-tíng
大筒,tuā-tâng
小等,sió-tán
土菝仔,thóo-pua̍t-á
上訴,siōng-sòo
大量,tāi-liōng
弓開,king--khui
凡勢,huān-sè
山勢,suann-sè
土想,thóo-siūnn
下暗,e-àm
工會,kang-huē
工業,kang-gia̍p
才會,tsiah ē
山溝,suann-kau
山盟海誓,san-bîng-hái-sè
下落,hē-lo̍h
千萬,tshian-bān
大腸,tuā-tn̂g
大舅,tuā-kū
小腸,sió-tn̂g
山腰,suann-io
大腹肚,tuā-pak-tóo
口試,kháu-tshì
下跤,ē-kha
土話,thóo-uē
大話,tuā-uē
山貉,suann-hô
山賊,suann-tsha̍t
山跤,suann-kha
下跤手人,ē-kha-tshiú-lâng
大跤胴,tuā-kha-tâng
三跤馬,sann-kha-bé
三跤貓,sann-kha-niau
低路,kē-lōo
大路,tuā-lōo
小路,sió-lōo
大道公,Tāi-tō-kong
三頓,sann tǹg
山雺,suann-bông
大鼓,tuā-kóo
大壽,tuā-siū
大漢,tuā-hàn
大箍,tuā-khoo
大箍呆,tuā-khoo-tai
上緊,siōng kín
大腿,tuā-thuí
大腿骨,tuā-thuí-kut
上蓋,siōng-kài
小說,sió-suat
大銀,tuā-gîn/tuā-gûn
小銀,sió-gîn/sió-gûn
亡魂,bông-hûn
大餅,tuā-piánn
三層,sam-tsân
工寮,kang-liâu
工廠,kang-tshiúnn
三層肉,sam-tsân-bah
大廣絃,tuā-kóng-hiân
小數,sió-sòo
干樂,kan-lo̍k
大熱,tuā-jua̍h/tuā-lua̍h
大範,tuā-pān
山線,suann-suànn
三線路,sam-suànn-lōo
上課,siōng-khò
工課,khang-khuè
才調,tsâi-tiāu
大賣,tuā-bē/tuā-buē
小賣,sió-bē/sió-buē
山豬,suann-ti/suann-tu
下輩,ē-puè
三輪車,sann-lián-tshia
下頦,ē-hâi
大學,tāi-ha̍k
小學,sió-ha̍k
弓蕉,king-tsio
弓蕉油,king-tsio-iû
山貓,suann-niau
口頭,kháu-thâu
山頭,suann-thâu
工頭,kang-thâu
上頭仔,siōng-thâu-á
大頭拇,tuā-thâu-bú
大頷胿,tuā-ām-kui
大頭菜,tuā-thâu-tshài
大戲,tuā-hì
山嶺,suann-niá
土檨仔,thóo-suāinn-á
上濟,siōng tsē/siōng tsuē
上聲,sióng-siann
大聲,tuā-siann
大膽,tuā-tánn
大聲話,tuā-siann-uē
下擺,ē-pái
小嬸,sió-tsím
土雞仔,thóo-ke-á/thóo-kue-á
下顎,ē-kok
工藝,kang-gē
下願,hē-guān
大龐,tuā-phiāng
大麵,tuā-mī
大欉,tuā-tsâng
大廳,tuā-thiann
不,put
丑,thiú
中,【白】tìng
中,【文】tiong
中,【文】tiòng
丹,tan
之,tsi
予,hōo
五,【白】gōo
五,【文】ngóo
井,【白】tsénn/tsínn
仁,jîn/lîn
仄,tseh
仆,phak
仇,siû
今【替】,tann
允,ín/ún
內,【白】lāi
內,【文】luē
公,【白】kang
公,【文】kong
六,【白】la̍k
六,【文】lio̍k
冇【替】,phànn
冗,līng
冗,liōng
凶,hiong
分,【文】hun
分,【白】pun
切,tshiat
勻【替】,ûn
勼,kiu
勾,kau
內䘥仔,lāi-kah-á
中人,tiong-lâng
允人,ín--lâng/ún--lâng
不才,put-tsâi
內山,lāi-suann
內才,lāi-tsâi
分寸,hun-tshùn
不三不四,put-sam-put-sù
不仁,put-jîn/put-lîn
中元,Tiong-guân
五仁,ngóo-jîn/ngóo-lîn
仁丹,jîn-tan/lîn-tan
內公,lāi-kong
公元,kong-guân
公分,kong-pun
公分,kong-hun
勻勻仔,ûn-ûn-á
勻勻仔火,ûn-ûn-á-hué/ûn-ûn-á-hé
五分仔車,gōo-hun-á-tshia
不中用,put-tiòng-iōng
五分車,gōo-hun-tshia
不止,put-tsí
中心,tiong-sim
井水,tsénn-tsuí/tsínn-tsuí
內心,luē-sim
公文,kong-bûn
公斤,kong-kin/kong-kun
冇手,phànn-tshiú
切手,tshiat-tshiú
勼手,kiu-tshiú
勼水,kiu-tsuí
勾引,kau-ín
六月天,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn
不止仔,put-tsí-á
六月冬,la̍k-gue̍h-tang/la̍k-ge̍h-tang
五日節,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh
五月節,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh
丑仔,thiú-á
今仔,tann-á
今仔日,kin-á-ji̍t/kin-á-li̍t
勻仔是,ûn-á-sī
中古,tiong-kóo
內外,lāi-guā
五加皮,ngóo-ka-pî
內奶,lāi-ling/lāi-ni
公平,kong-pênn/kong-pînn
公母,kang-bó
公民,kong-bîn
中用,tiòng-iōng
中立,tiong-li̍p
丹田,tan-tiân
公用,kong-iōng
冇石仔,phànn-tsio̍h-á
予伊,hōo i
介在,kài-tsāi
公共,kong-kiōng
六合,lio̍k-ha̍p
今年,kin-nî
內地,lāi-tē/lāi-tuē
凶年,hiong-nî
中旬,tiong-sûn
冗早,liōng-tsá
不死鬼,put-sú-kuí
內行,lāi-hâng
內行的,lāi-hâng--ê
不而過,put-jî-kò/put-lî-kò
不但,put-tān
分伻,pun-phenn
分別,hun-pia̍t
不孝,put-hàu
不求人,put-kiû-jîn/put-kiû-lîn
公里,kong-lí
分身,hun-sin
公事,kong-sū
中和,tiong-hô
內底,lāi-té/lāi-tué
公所,kong-sóo
不服,put-ho̍k
分明,hun-bîng
不法,put-huat
六法全書,Lio̍k-huat-tsuân-su
公的,kang--ê
分的,pun--ê
五金,ngóo-kim
五金行,ngóo-kim-hâng
中指,tiong-tsáinn
內政,luē-tsìng
五柳居,ngóo-liú-ki/ngóo-liú-ku
中毒,tiòng-to̍k
丹毒,tan-to̍k
冇炭,phànn-thuànn
分派,hun-phài
中秋,Tiong-tshiu
內科,lāi-kho
中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh
中秋餅,Tiong-tshiu-piánn
中計,tiòng-kè
內衫,lāi-sann
中風,tiòng-hong
五香,ngóo-hiang
元首,guân-siú
內面,lāi-bīn
允准,ín-tsún/ún-tsún
內套,lāi-thò
元宵,Guân-siau
內孫,lāi-sun
內容,luē-iông
公家,kong-ka
公家,kong-ke
不時,put-sî
六書,lio̍k-su
元氣,guân-khì
六畜,lio̍k-thiok
元神,guân-sîn
中脊,tiong-tsit
分配,hun-phuè/hun-phè
不動產,put-tōng-sán
公婆,kong-pô
五彩,ngóo-tshái
分張,pun-tiunn
不得了,put-tik-liáu
不得已,put-tik-í
內情,luē-tsîng
中晝,tiong-tàu
