hanzi,tl,frequency
璇針,suān-tsiam,25
生坯,tshenn-phue,25
生漆,tshenn-tshat,25
生皮,tshenn-phuê,25
甲毛,kah-moo,25
畚箕,pùn-ki,25
畫稿,uē-kó,25
畫筆,uē-pit,25
畫線,uē-suànn,25
畫金,uē-kim,25
疊色,thia̍p-sik,25
白膠,pe̍h-ka,25
白身,pe̍h-sin,25
皮仔,phuê-á,25
皮包,phuê-pau,25
皮花,phuê-hue,25
直支,ti̍t-ki,25
石錘,tsio̍h-thuî,25
石鎖,tsio̍h-só,25
石鼓,tsio̍h-kóo,25
砂碖,sua-lún,25
砂紙,sua-tsuá,25
硩ㄧ,teh-it,25
硩三,teh-sann,25
硩二,teh-jī,25
硬斜,ngē-tshiâ,25
磅仔,pōng-á,25
磅戕,pōng-tshiâng,25
磨台,buâ-tâi,25
磨坩,buâ-khann,25
神椅,sîn-í,25
穗花,sūi-hue,25
空透,khang-thàu,25
窯釘,iô-ting,25
立板,li̍p-pán,25
立體,li̍p-thé,25
童子,tông-tsú,25
竹尺,tik-tshioh,25
竹扇,tik-sìnn,25
竹根,tik-kin,25
竹桮,tik-pue,25
竹梳,tik-se,25
竹籠,tik-láng,25
竹編,tik-pinn,25
竹胎,tik-thai,25
竹雕,tik-tiau,25
笑鳳,tshiò-hōng,25
筅仔,tshíng-á,25
筆刀,pit-to,25
筆插,pit-tshah,25
筆架,pit-kè,25
筆桶,pit-tháng,25
筆筒,pit-tâng,25
管頭,kóng-thâu,25
箸籠,tī-lāng,25
簽仔,tshiam-á,25
籤筒,tshiam-tâng,25
米紙,bí-tsuá,25
粉筒,hún-tâng,25
粉面,hún-bīn,25
粗剾,tshoo-khau,25
粗胚,tshoo-phue,25
粗針,tshoo-tsiam,25
粟耙,tshik-pê,25
粿印,kué-ìn,25
紅花,âng-hue,25
紙喙,tsuá-tshuì,25
紙尺,tsuá-tshioh,25
紙枋,tsuá-pang,25
素坯,sòo-phue,25
紩線,thīnn-suànn,25
紩蒼,thīnn-tshong,25
絞車,ká-tshia,25
絳衣,kàng-i,25
線屎,suànn-sái,25
線板,suànn-pán,25
線眼,suànn-gán,25
線車,suànn-tshia,25
線鋸,suànn-kù,25
緞仔,tuān-á,25
繡剪,siù-tsián,25
繡花,siù-hue,25
繡規,siù-kui,25
羊皮,iûnn-phuê,25
翡翠,huí-tshuì,25
老生,lāu-sing,25
耳鉤,hīnn-kau,25
肖楠,siau-lâm,25
股線,kóo-suànn,25
脫模,thuat-bôo,25
腰帶,io-tuà,25
腰裒,io-pôo,25
膨剾,phòng-khau,25
色漆,sik-tshat,25
色粉,sik-hún,25
花心,hue-sim,25
花板,hue-pán,25
花鳥,hue-tsiáu,25
荖安,láu-an,25
菘藍,siông-nâ,25
菜砧,tshài-tiam,25
蒼布,tshong-pòo,25
蓮葉,liân-hio̍h,25
蓮蓬,liân-phōng,25
蓼藍,liau-nâ,25
蔥線,tshong-suànn,25
藥鉸,io̍h-ka,25
藩尺,huan-tshioh,25
蘇式,soo-sik,25
蘇木,soo-bo̍k,25
虎杖,hóo-tiōng,25
虹仔,khîng-á,25
衣脊,i-tsit,25
裁紙,tshâi-tsuá,25
補刀,póo-to,25
補塗,póo-thôo,25
裝飾,tsong-sik,25
角坩,kak-khann,25
角尺,kak-tshioh,25
角環,kak-khuân,25
角甪,kah-lut,25
調脊,tiâu-tsit,25
豆器,tāu-khì,25
豬槽,ti-tsô,25
豬皮,ti-phuê,25
走獸,tsáu-siù,25
起針,khí-tsiam,25
跋桮,pua̍h-pue,25
跤徛,kha-khiā,25
跤裒,kha-pôo,25
跨台,khuà-tâi,25
跳刀,thiàu-to,25
跳空,thiàu-khang,25
跳紗,thiàu-se,25
踅檯,se̍h-tâi,25
車台,tshia-tâi,25
軟斜,nńg-tshiâ,25
軟身,nńg-sin,25
軟鉛,nńg-iân,25
轆斗,lo̍k-táu,25
轆空,lak-khang,25
轆管,lak-kóng,25
轎堵,kiō-tóo,25
轎底,kiō-té,25
透弄,thàu-lāng,25
逝板,tsuā-pán,25
過轎,kuè-kiō,25
醃缸,am-kng,25
野桐,iá-tông,25
量尺,niû-tshioh,25
針空,tsiam-khang,25
針跤,tsiam-kha,25
鉛模,iân-bôo,25
鉛筆,iân-pit,25
鉸紙,ka-tsuá,25
銅管,tâng-kóng,25
銅針,tâng-tsiam,25
鋪面,phoo-bīn,25
鋸弓,kì-king,25
鋸片,kì-phìnn,25
鋼刀,kǹg-to,25
鋼板,kǹg-pán,25
錢櫃,tsînn-kuī,25
錦甲,gím-kah,25
錦花,gím-hue,25
鎖頭,só-thâu,25
鎮針,tìn-tsiam,25
鏡仔,kiànn-á,25
鏡套,kiànn-thò,25
鏨仔,tsām-á,25
鐵槽,thih-tsô,25
鐵砧,thih-tiam,25
鐵筆,thih-pit,25
鑢仔,lē-á,25
鑽仔,tsǹg-á,25
鑽尾,tsńg-bué,25
鑿仔,tsha̍k-á,25
鑿空,tsha̍k-khang,25
門眉,mn̂g-bâi,25
門簾,mn̂g-liâm,25
開板,khui-pán,25
開繩,khui-tsìn,25
開面,khui-bīn,25
隔金,keh-kim,25
隔間,keh-king,25
雲彩,hûn-tshái,25
雲染,hûn-ní,25
電窯,tiān-iô,25
電鑽,tiān-tsńg,25
電鑽,tiān-tsǹg,25
面金,bīn-kim,25
靴管,hia-kóng,25
頭手,thâu-tshiú,25
風琴,hong-khîm,25
風車,hong-tshia,25
風鼓,hong-kóo,25
食漿,tsia̍h-tsiunn,25
食色,tsia̍h-sik,25
飯坩,pn̄g-khann,25
飯擔,pn̄g-tann,25
餅模,piánn-bôo,25
香爐,hiunn-lôo,25
香筒,hiunn-tâng,25
馬椅,bé-í,25
鬚仔,tshiu-á,25
鳳眼,hōng-gán,25
黜底,thuh-té,25
鼓椅,kóo-í,25
鼓槌,kóo-thuî,25
鼓燈,kóo-ting,25
齒戳,khí-thok,25
龍旗,lîng-kî,25
龍柱,lîng-thiāu,25
龍珠,liông-tsu,25
