tl,hanzi,frequency
kóng-hio̍h-sam,廣葉杉,16
sim-kong-tsháu,心廣草,16
jím-tang-tîn,忍冬藤,16
ò-giô-tsí,愛玉子,16
gōng-gōng-tsháu,戇戇草,16
phah-bóo-tshài,打妻菜,16
khînn-piah-tîn,扲壁藤,16
hû-song-hue,扶桑花,16
liam-la̍t-á,拈力仔,16
tsńg-kah-hue,指甲花,16
sàu-tshiú-tsháu,掃箒草,16
tuah-phīnn-tsháu,掇鼻草,16
tsiap-kut-tang,接骨筒,16
tsiap-kut-tsháu,接骨草,16
tshuah-phīnn-tsháu,擦鼻草,16
bûn-tsu-lân,文珠蘭,16
bûn-thâu-ké,文頭菓,16
ji̍t-ji̍t-tshun,日日春,16
tsá-liân-tsháu,早蓮草,16
ge̍h-lâi-hiong,月來香,16
ba̍k-lông-tshiū,木浪樹,16
bo̍k-tsi̍k-tsháu,木賊草,16
bo̍k-muâ-hông,木麻黃,16
bo̍k-pih-tsú,木鼈子,16
tsu-tsú-tsháu,朱子草,16
phoh-á-tsháu,朴仔草,16
kuann-á-phê,杆仔皮,16
tōo-bi̍t-tshiū,杜蜜樹,16
siông-lô-tōo,松蘿杜,16
nâ-tâu-koo,林投菰,16
koo-lí-tin,枯里珍,16
khīng-á-tshiū,柏仔樹,16
liú-á-hông,柳仔黃,16
liú-hio̍h-kiô,柳葉茄,16
tshâ-tsńg-kah,柴指甲,16
khī-kôo-bo̍k,柿糊木,16
tshe-thâu-hîng,栖頭恒,16
kuì-tik-á,桂竹仔,16
tông-tsi-tshiū,桐子樹,16
tông-tsí-tshiū,桐子樹,16
sng-tsâi-á,桑材仔,16
tháng-kau-tîn,桶鈎藤,16
kak-á-tik,桷仔竹,16
iûnn-muî-thô,楊梅桃,16
se-tsí-á,樨枳仔,16
tshiū-tsí-á,樹子仔,16
tshiū-tsháu-liân,樹草蓮,16
lám-jîn-kū,欖仁舅,16
bú-hia-tîn,武靴藤,16
mn̂g-tsiong-kun,毛將軍,16
mô-khī-keh,毛柿格,16
tsuí-ting-hiunn,水丁香,16
tsuí-ting-hông,水丁黃,16
tsuí-sian-hue,水仙花,16
tsuí-tang-kue,水冬瓜,16
tsuí-to-nî,水刀連,16
tsuí-kho-á,水柯仔,16
tsuí-liú-á,水柳仔,16
tsuí-liú-kho,水柳柯,16
tsuí-kang-lîng,水江龍,16
tsuí-liû-kho,水流柯,16
tsuí-pit-á,水筆仔,16
tsuí-kóng-sim,水管心,16
tsuí-khûn-tshài,水芹菜,16
tsuí-khûn-tshái,水芹菜,16
tsuí-ka-tang,水茄苳,16
tsuí-láu-tsháu,水荖草,16
tsuí-liân-hue,水蓮花,16
tsuí-lôo-tik,水蘆竹,16
tsuí-kòng-á,水貢仔,16
tsuí-tsha̍t-á,水賊仔,16
tsuí-kim-tiānn,水金定,16
tsiú-gím-hue,水錦花,16
tsuí-hûn-á,水魂仔,16
tsuí-kue-iû,水鷄油,16
tsuí-iâm-sng,水鹽酸,16
iû-tông-tshiū,油桐樹,16
iû-tê-tshiū,油茶樹,16
iû-hio̍h-lâm,油葉楠,16
iû-hio̍h-tê,油葉茶,16
hái-poo-kiunn,海埔姜,16
hái-lâi-kam,海梨柑,16
hái-suāinn-á,海檨仔,16
hái-iông-phoo,海洋波,16
hái-ka-tang,海茄苳,16
hái-ka-tîn,海茄藤,16
tshing-bîng-tsháu,清明草,16
un-tsiu-sam,溫州杉,16
muá-thian-sing,滿天星,16
muá-suann-âng,滿山紅,16
tshat-tshit-tshiū,漆七樹,16
tsiunn-linn-á,漿乳仔,16
siap-á-tshiū,澁仔樹,16
te̍k-lân-tsháu,澤蘭草,16
hé-sio-kua,火燒柯,16
hé-kn̂g-tik,火管竹,16
phàu-á-tsháu,炮仔草,16
uî-hōo-sian,為候仙,16
oo-á-tshài,烏仔菜,16
oo-tshì-á,烏刺仔,16
oo-tshì-kiô,烏刺茄,16
oo-tsí-kiô,烏子茄,16
oo-sim-tsio̍h,烏心石,16
oo-tshâi-á,烏材仔,16
oo-tshâi-khī,烏材柿,16
oo-kam-á,烏柑仔,16
oo-hun-hue,烏煙花,16
oo-tshân-oo,烏田烏,16
oo-phê-tê,烏皮茶,16
oo-tik-á,烏竹仔,16
oo-hio̍h-iū,烏葉柚,16
oo-kue-bú,烏雞母,16
oo-bīn-bé,烏面馬,16
oo-hî-hue,烏魚花,16
oo-kue-kut,烏鷄骨,16
bô-kun-tsháu,無根草,16
bû-hua-kô,無花果,16
bô-thâu-hiunn,無頭香,16
ting-á-tsháu,燈仔草,16
ting-sim-tsháu,燈心草,16
ting-phing-á,燈秤仔,16
ting-phîng-hue,燈秤花,16
ting-tshing-hue,燈稱花,16
nuānn-sim-bo̍k,爛心木,16
gû-lin-pông,牛乳房,16
gû-lin-tshiū,牛乳樹,16
gû-sái-tê,牛屎茶,16
giû-sim-lâi,牛心梨,16
gû-kak-uai,牛角歪,16
gû-kak-hue,牛角花,16
gû-tùn-tsháu,牛頓草,16
gû-kut-á,牛骨仔,16
gû-tsang-tshì,牛鬃刺,16
luê-piah-tshì,犁壁刺,16
luê-piah-tsháu,犁壁草,16
luê-piah-tîn,犁壁藤,16
káu-bé-tsháu,狗尾草,16
káu-sái-kue,狗屎瓜,16
káu-lia̍p-bí,狗粒米,16
káu-kha-tuê,狗腳蹄,16
káu-kut-á,狗骨仔,16
káu-kut-siau,狗骨消,16
ti-bú-lin,猪母乳,16
ti-bú-tsháu,猪母草,16
ti-kha-lâm,猪脚楠,16
kâu-huann-hí,猴歡喜,16
ông-put-liû,王不留,16
tin-tiong-pit,珍中筆,16
tsu-á-tsháu,珠仔草,16
pan-tsi-tshiū,班芝樹,16
liû-kiû-tik,琉球竹,16
kue-tsi-tsháu,瓜子草,16
ìng-tshài-hông,甕菜黃,16
kam-a-bi̍t,甘仔蜜,16
kam-á-bìt,甘仔蜜,16
tinn-á-puânn,甜仔盤,16
tshinn-to-tsháu,生刀草,16
tshinn-to-io̍h,生刀藥,16
tshinn-ki-hiunn,生支香,16
tshân-oo-tsháu,田烏草,16
tshân-ōo-á,田芋仔,16
tshân-pinn-tsháu,田邊草,16
tshân-hiunn-tsháu,田香草,16
ting-khiā-u,登竪杇,16
ting-lông-tsháu,登郎草,16
pe̍h-kî-tshun,白其春,16
pe̍h-pû-á,白匏仔,16
pe̍h-kāu-phoh,白厚朴,16
pe̍h-poo-kiunn,白埔姜,16
pe̍h-khun-tsháu,白昆草,16
pe̍h-tshîng-peh,白松柏,16
pe̍h-káu-tsan,白校櫕,16
pe̍h-tshiū-á,白樹仔,16
pe̍h-sia̍h-liû,白石榴,16
pe̍h-tsí-soo,白紫蘇,16
pe̍h-bah-iū,白肉柚,16
pe̍h-bah-tshîng,白肉榕,16
pe̍h-bah-tāu,白肉豆,16
pe̍h-hue-tsháu,白花草,16
pe̍h-khóo-thiāu,白苦柱,16
pe̍h-kiok-hue,白菊花,16
pe̍h-pi-sián,白萆蘚,16
pe̍h-hio̍h-ē,白葉下,16
pe̍h-hio̍h-á,白葉仔,16
pe̍h-hio̍h-iū,白葉柚,16
pe̍h-tsi̍t-lê,白蒺藜,16
peh-tsû-nn̂g,白薯榔,16
pe̍h-hiong-hù,白香附,16
pe̍h-bé-sái,白馬屎,16
pe̍h-hōng-tshài,白鳳菜,16
pe̍h-kue-kè,白鷄冠,16
pe̍h-kue-iû,白鷄油,16
pah-ji̍t-tsháu,百日草,16
pah-jit-tshinn,百日青,16
hông-tè-tāu,皇帝豆,16
ah-bú-tsháu,益母草,16
hiong-si-siū,相思樹,16
siunn-su-tsháu,相思草,16
tsin-hong-tîn,真風藤,16
tsìnn-tik-á,矢竹仔,16
tsio̍h-lîng-kū,石柃舅,16
tsio̍h-tsu-á,石珠仔,16
tsio̍h-tik-á,石竹仔,16
tsio̍h-tshiong-pô,石菖蒲,16
tsio̍h-tshiong-pôo,石菖蒲,16
tsio̍h-thâu-iū,石頭柚,16
phuà-pòo-tsí,破布子,16
phuà-pòo-bo̍k,破布木,16
uánn-kong-hue,碗公花,16
uánn-lîng-tshiū,碗龍樹,16
mn̂g-huē-bak,磅蟹目,16
mn̂g-huē-tsháu,磅蟹草,16
bō-á-tsháu,磨仔草,16
hok-tsiu-sam,福州杉,16
tsu̍t-bí-tsháu,秫米草,16
hi-tshiam-tsháu,稀簽草,16
tshuan-san-liông,穿山龍,16
