hanzi,tl,frequency
字元,jī-guân,25
字元,lī-guân,25
存檔,tsûn-tóng,25
安入,an-ji̍p,25
安入,an-li̍p,25
安打,an-tánn,25
完封,uân-hong,25
完投,uân-tâu,25
定妝,tīng-tsong,25
寄罪,kià-tsuē,25
密碼,bi̍t-bé,25
封殺,hong-sat,25
射擊,siā-kik,25
射正,siā-tsiànn,25
射箭,siā-tsìnn,25
射門,siā-mn̂g,25
對拍,tuì-phah,25
小叉,sió-tshah,25
小寫,sió-siá,25
尾氣,bué-khuì,25
尾氣,bé-khuì,25
尾節,bué-tsat,25
尾節,bé-tsat,25
山友,suann-iú,25
山球,suann-kiû,25
山竹,suann-tik,25
崁名,khàm-miâ,25
巨集,kī-tsi̍p,25
巨集,kū-tsi̍p,25
巴哥,pa-ko,25
布丁,pòo-ting,25
布陣,pòo-tīn,25
帆船,phâng-tsûn,25
幌壺,hàinn-ôo,25
弄舌,lāng-tsi̍h,25
彈劾,tân-hik,25
彗星,huī-tshinn,25
影迷,iánn-bê,25
後跤,āu-kha,25
得分,tit-hun,25
徛槳,khiā-tsiúnn,25
徛琴,hah-phuh,25
徛琴,khiā-khîm,25
復刻,ho̍k-khik,25
快送,khuài-sàng,25
惡地,ok-tē,25
慢分,bān-hun,25
懸球,kuân-kiû,25
截圖,tsia̍t-tôo,25
房貸,pâng-tāi,25
手球,tshiú-kiû,25
打席,tánn-sik,25
打擊,tánn-kik,25
打數,tánn-sòo,25
打點,tánn-tiám,25
承球,sîn-kiû,25
投手,tâu-tshiú,25
抹匙,buah-sî,25
抹茶,buah-tê,25
抹面,buah-bīn,25
抾線,khioh-suànn,25
拖選,thua-suán,25
拜登,pài-ting,25
拳法,kûn-huat,25
拿鐵,la-thé,25
持妝,tshî-tsong,25
挵球,lòng-kiû,25
捕手,póo-tshiú,25
捕殺,póo-sat,25
捕逸,póo-i̍k,25
捘卵,tsūn-nn̄g,25
捲條,kńg-tiâu,25
授權,siū-khuân,25
掠夯,lia̍h-giâ,25
接球,tsiap-kiû,25
推進,thui-tsín,25
掰會,pué-huē,25
換逝,uānn-tsuā,25
揤鈕,tshi̍h-liú,25
揹摔,phāinn-siak,25
搖桿,iô-kuáinn,25
搜揣,tshiau-tshuē,25
搜揣,tshiau-tshē,25
搭粉,tah-hún,25
摃球,kòng-kiû,25
摔技,siak-ki,25
摔法,siak-huat,25
摸著,bong-tio̍h,25
擊劍,kik-kiàm,25
擊球,kik-kiû,25
擋皺,tòng-jiâu,25
擋皺,tòng-liâu,25
攀岩,phan-giâm,25
攔閘,nuâ-tsa̍h,25
收賄,siu-hué,25
放箭,pàng-tsìnn,25
敗投,pāi-tâu,25
散打,sàn-tánn,25
敬遠,kìng-uán,25
斜體,tshiâ-thé,25
斷食,tn̄g-si̍t,25
早鳥,tsá-niáu,25
明膠,bîng-ka,25
晉級,tsìn-kip,25
暖男,luán-lâm,25
暗擊,àm-kik,25
暗碼,àm-bé,25
暴傳,po̍k-thuân,25
暴投,po̍k-tâu,25
曲球,khiau-kiû,25
書籤,su-tshiam,25
書籤,tsu-tshiam,25
書迷,tsu-bê,25
木球,bo̍k-kiû,25
松露,siông-lōo,25
板球,pán-kiû,25
果凍,kó-tàng,25
果膠,kó-ka,25
枝豆,ki-tāu,25
柔術,jiû-su̍t,25
柔道,jiû-tō,25
柴狗,tshâ-káu,25
栓窒,sng-that,25
桌球,toh-kiû,25
桌遊,toh-iû,25
條碼,tiâu-bé,25
棍術,kùn-su̍t,25
棒球,pāng-kiû,25
棗仔,tsó-á,25
棲地,tshe-tuē,25
棲地,tshe-tē,25
椰果,iâ-kó,25
椰漿,iâ-tsiunn,25
槌球,thuî-kiû,25
槍術,tshiunn-su̍t,25
槓鈴,kǹg-lîng,25
標槍,pio-tshiunn,25
標題,piau-tuê,25
標題,piau-tê,25
模板,bôo-pán,25
樹掛,tshiū-kuà,25
橋牌,kiô-pâi,25
檢視,kiám-sī,25
歇暝,hioh-mê,25
歇暝,hioh-mî,25
正向,tsiànn-hiòng,25
正子,tsiànn-jí,25
正子,tsiànn-lí,25
正投,tsiànn-tâu,25
正拍,tsiànn-phah,25
正支,tsiànn-ki,25
正齒,tsiànn-khí,25
武術,bú-su̍t,25
歹球,pháinn-kiû,25
殘壘,tsân-luí,25
段位,tuānn-uī,25
段落,tuānn-lo̍h,25
殺球,sat-kiû,25
毛筅,mn̂g-tshíng,25
毛豆,môo-tāu,25
氣糋,khì-tsìnn,25
水球,tsuí-kiû,25
水蓮,tsuí-liân,25
水螅,tsuí-sik,25
水豬,tsuí-ti,25
水豬,tsuí-tu,25
決賽,kuat-sài,25
沉球,tîm-kiû,25
沙拉,sa-la,25
河內,hô-luē,25
油鯃,iû-ngôo,25
法鬥,huat-tàu,25
泛舟,huàn-tsiu,25
泡芙,phàu-hû,25
泰拳,thài-kûn,25
浮粉,phû-hún,25
浸油,tsìm-iû,25
液化,i̍k-huà,25
涼麵,liâng-mī,25
淋巴,lîm-pa,25
淡斑,tām-pan,25
深跍,tshim-khû,25
游標,iû-phiau,25
游標,iû-piau,25
湯餃,thng-kiáu,25
滑球,ku̍t-kiû,25
滑鼠,ku̍t-tshí,25
滑鼠,ku̍t-tshú,25
滾輪,kún-lûn,25
漏球,lāu-kiû,25
漸層,tsiām-tsân,25
灌籃,kuàn-nâ,25
火腿,hué-thuí,25
火腿,hé-thuí,25
炊飯,tshe-pn̄g,25
炊飯,tshue-pn̄g,25
烏麥,oo-be̍h,25
烘焙,hang-puē,25
烘焙,hang-pē,25
烘箱,hang-siunn,25
烘雞,hang-ke,25
烘雞,hang-kue,25
焐卡,ù-khah,25
焙果,puē-kó,25
焙果,pē-kó,25
焙茶,puē-tê,25
焙茶,pē-tê,25
焦距,tsiau-kī,25
焦距,tsiau-kū,25
煎包,tsian-pau,25
煎餅,tsian-piánn,25
煙雞,ian-ke,25
煙雞,ian-kue,25
熊市,hîm-tshī,25
熱量,jia̍t-liōng,25
熱量,lia̍t-liōng,25
熱點,jia̍t-tiám,25
熱點,lia̍t-tiám,25
熱齒,jia̍t-khí,25
燕麥,iàn-be̍h,25
牚夯,thènn-giâ,25
牚夯,thìnn-giâ,25
牛市,gû-tshī,25
牛棚,gû-pênn,25
牛棚,gû-pînn,25
牽制,khan-tsè,25
犯規,huān-kui,25
狐獴,hôo-bông,25
狒狒,huì-huì,25
猴珠,kâu-tsu,25
珠光,tsu-kng,25
球童,kiû-tông,25
球迷,kiû-bê,25
球速,kiû-sok,25
甘地,kam-tī,25
甜菜,tinn-tshài,25
田徑,tiân-kìng,25
甲烷,kah-uân,25
甲醇,kah-sûn,25
番鼠,huan-tshí,25
番鼠,huan-tshú,25
畫素,uē-sòo,25
畫素,uī-sòo,25
畫質,uē-tsit,25
畫質,uī-tsit,25
病尾,pēnn-bué,25
病尾,pēnn-bé,25
登入,ting-ji̍p,25
登出,ting-tshut,25
登板,ting-pán,25
發球,huat-kiû,25
白醬,pe̍h-tsiùnn,25
盜壘,tō-luí,25
監交,kàm-kau,25
盤舌,puânn-tsi̍h,25
目巡,ba̍k-sûn,25
目彩,ba̍k-tshái,25
直播,ti̍t-pò,25
直球,ti̍t-kiû,25
相偃,sio-ián,25
眼影,gán-iánn,25
眼膜,gán-mo̍oh,25
眼霜,gán-song,25
短跑,té-pháu,25
石滬,tsio̍h-hōo,25
矽砂,si̍k-sua,25
硩線,teh-suànn,25
硬夯,ngē-giâ,25
硬夯,ngī-giâ,25
硬體,ngī-thé,25
磕網,kha̍p-bāng,25
磕著,kha̍p-tio̍h,25
社畜,siā-thiok,25
移工,î-kang,25
競行,kìng-kiânn,25
競行,kīng-kiânn,25
笑痕,tshiò-hûn,25
笑豆,tshiò-tāu,25
箭靶,tsìnn-pé,25
篩選,thai-suán,25
米線,bí-suànn,25
粉刺,hún-tshì,25
粉底,hún-tué,25
粉底,hún-té,25
粉條,hún-tiâu,25
粉肝,hún-kuann,25
粉腸,hún-tshiâng,25
粉膏,hún-ko,25
粉餅,hún-piánn,25
粗體,tshoo-thé,25
糋路,tsìnn-lōo,25
糖霜,thn̂g-sng,25
紅牌,âng-pâi,25
紅醬,âng-tsiùnn,25
紋斑,bûn-pan,25
級差,kip-tsha,25
素肉,sòo-bah,25
素顏,sòo-gân,25
組手,tsoo-tshiú,25
網址,bāng-tsí,25
網球,bāng-kiû,25
網紅,bāng-âng,25
網衝,bāng-tshìng,25
緩刑,uān-hîng,25
縮圖,sok-tôo,25
總匯,tsóng-huē,25
罰球,hua̍t-kiû,25
美白,bí-pe̍h,25
翻糖,huan-thn̂g,25
老妝,lāu-tsong,25
老茶,lāu-tê,25
考銃,khó-tshìng,25
職場,tsit-tiûnn,25
聽牌,thiann-pâi,25
肉叉,bah-tshah,25
肉桂,lio̍k-kuì,25
胡桃,ôo-thô,25
脂肪,tsi-hong,25
脆球,tshè-kiû,25
脫單,thuat-tuann,25
腰果,io-kó,25
腹地,pak-tuē,25
腹地,pak-tē,25
腿捒,thuí-sak,25
腿法,thuí-huat,25
膠質,ka-tsit,25
膨粉,phòng-hún,25
臍帶,tsâi-tuà,25
航線,hâng-suànn,25
船桮,tsûn-pe,25
船桮,tsûn-pue,25
色票,sik-phiò,25
色素,sik-sòo,25
芋泥,ōo-nî,25
花椒,hua-tsio,25
花椒,hue-tsio,25
芳料,phang-liāu,25
茶凍,tê-tàng,25
落妝,lak-tsong,25
落球,lak-kiû,25
蒲燒,pôo-sio,25
蒸餾,tsing-liū,25
蓄水,thiok-tsuí,25
蕨貓,keh-niau,25
蕨貓,kueh-niau,25
薄妝,po̍h-tsong,25
薰雞,hun-ke,25
薰雞,hun-kue,25
藍牙,nâ-gê,25
藍莓,nâ-m̂,25
藏獒,tsōng-ngôo,25
藤球,tîn-kiû,25
虎鯨,hóo-king,25
蝦皮,he-phî,25
螢幕,îng-bōo,25
血油,hueh-iû,25
血油,huih-iû,25
血角,hueh-kak,25
行拳,kiânn-kûn,25
街友,ke-iú,25
街友,kue-iú,25
街舞,ke-bú,25
街舞,kue-bú,25
衝懸,tshìng-kuân,25
衝湧,tshiong-íng,25
表單,pió-tuann,25
裁判,tshâi-phuànn,25
補位,póo-uī,25
製程,tsè-thîng,25
複製,ho̍k-tsè,25
視窗,sī-thang,25
角球,kak-kiû,25
角球,khòo-nah,25
角膜,kak-mo̍oh,25
觱卡,pi-khah,25
讀取,tho̍k-tshí,25
讀取,tho̍k-tshú,25
豁免,hat-bián,25
豆包,tāu-pau,25
豆枝,tāu-ki,25
豆皮,tāu-phuê,25
